basename,null_count,actual_mean,actual_p90,actual_beats_rate,actual_strict_promote,null_mean_best,null_mean_median,null_p90_best,null_p90_median,actual_mean_dominance,actual_p90_dominance,null_strict_promote_rate
submission_e331_localresid_Q1_jepa_resid_dateblock_abs_q75_s0p4_b5d2a430.csv,12,2.535670552565111e-06,5.86293520411064e-05,0.6111111111111112,False,1.4879583047574538e-05,2.3828638184917302e-05,5.1500098014652545e-05,8.508577401759274e-05,1.0,0.9166666666666666,0.0
submission_e331_localresid_S2_jepa_resid_dateblock_abs_q75_s0p4_3dee5dcc.csv,12,4.7343578365345065e-06,1.3801680732694486e-05,0.1111111111111111,False,-8.428196049413631e-06,1.0939945397133472e-05,1.0380539543803606e-05,2.5526897712016078e-05,0.75,0.8333333333333334,0.0
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q80_s0p4_db9e2c3b.csv,12,-0.00019442875000990435,3.145360061760126e-05,0.4861111111111111,False,-0.00019511971404520708,-0.00018133510203152437,2.9113082108412003e-05,4.3755434410049095e-05,0.9166666666666666,0.8333333333333334,0.0
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q80_s0p7_3276d49e.csv,12,-0.00030849603568621994,7.985346459337356e-05,0.4722222222222222,False,-0.00030037818593618097,-0.00029022710306925636,6.975515372072507e-05,8.928160538466539e-05,1.0,0.8333333333333334,0.0
submission_e331_localresid_S2_jepa_resid_dateblock_abs_q75_s0p7_3117892c.csv,12,3.370659502154206e-05,4.505850387530376e-05,0.05555555555555555,False,-2.724295648281751e-05,3.557134680615407e-05,3.2070986224451215e-05,5.550624804531391e-05,0.5,0.75,0.0
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q90_s0p4_f93bacb8.csv,12,-5.132938902024132e-05,1.0271562941692624e-05,0.4722222222222222,False,-5.924374484080195e-05,-5.2918802989343554e-05,6.286817849564161e-06,1.1280357802555536e-05,0.4166666666666667,0.6666666666666666,0.0
submission_e331_localresid_Q1_jepa_resid_dateblock_blockabs_q65_s0p4_eaaa6d0d.csv,12,6.684132803663643e-06,4.884116692506881e-05,0.5,False,2.5070990500698945e-06,1.8053793524555203e-05,1.6310884462788295e-05,5.896441525174155e-05,0.8333333333333334,0.6666666666666666,0.0
submission_e331_localresid_Q2_jepa_resid_subject_pos_q80_s0p4_8fe92177.csv,12,-0.00013987213183356103,6.020491135582801e-05,0.4305555555555556,False,-0.00017013472561717023,-0.00014127717692212418,-3.031753095375422e-07,6.457740209476077e-05,0.25,0.6666666666666666,0.0
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q90_s1p0_5d7f5eb2.csv,12,-0.00010932238399153499,4.1000009318215965e-05,0.4722222222222222,False,-0.00012273196026709005,-0.00010690266712364357,1.2141381314219288e-05,4.7565786991678907e-05,0.5833333333333334,0.5833333333333334,0.0
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q90_s0p7_56200896.csv,12,-8.364397287337096e-05,2.3488559544365282e-05,0.4722222222222222,False,-9.660424732478184e-05,-8.644430303167298e-05,8.953106160302487e-06,2.040323765125435e-05,0.25,0.3333333333333333,0.0
submission_e331_localresid_S1_family_story_subject_abs_q75_s0p4_d1b8887b.csv,12,-4.314488227690369e-06,3.8244710715585927e-05,0.3888888888888889,False,-3.5254500350170176e-05,-1.1905836751886597e-06,8.245667054637706e-06,3.263165583807285e-05,0.5833333333333334,0.25,0.0
submission_e331_localresid_S1_family_story_subject_abs_q75_s0p7_757d2f5a.csv,12,-2.7178949861864754e-05,7.24987103414305e-05,0.4444444444444444,False,-2.3897633767346032e-05,-1.3877892271298578e-05,2.379425725635109e-05,6.042770282027788e-05,1.0,0.16666666666666666,0.0
