dominant_axis,rows,strict,deployable,loose,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate,strict_alpha_q2_min,strict_alpha_q2_max,strict_alpha_s3_min,strict_alpha_s3_max
s3_higher,45,23,23,45,-1.2367636337495824e-05,-7.602103884840616e-06,9.454789875351644e-06,-0.0006984573442809089,-0.0004992306964374915,0.7222222222222222,8.0,20.0,16.0,28.0
s3_only,10,6,6,10,-1.1710927869001964e-05,-6.945395416346756e-06,9.946533957805315e-06,-0.0002813257776203004,-9.237924384298277e-05,0.5833333333333334,0.0,0.0,16.0,26.0
q2_higher,45,5,5,44,-1.0400713393199368e-05,-5.63518094054416e-06,9.73176538443532e-06,-0.0007223132672974225,-0.0005475740532104088,0.7222222222222222,18.0,22.0,16.0,20.0
equal,10,3,3,10,-1.0726078925937799e-05,-5.960546473282591e-06,9.529141069219982e-06,-0.0007545214150647406,-0.0005571906245355419,0.7222222222222222,16.0,20.0,16.0,20.0
q2_only,10,0,0,0,-5.431659962584767e-06,-6.661275099295594e-07,1.088007984828554e-05,-0.00047319563744444015,-0.0004612932519356737,0.3888888888888889,,,,
