family,start,end,columns,components,explained_variance
deep,0,10,1291,10,0.41522234691022997
prectx,10,20,3240,10,0.43791670237134533
presleep,20,30,406,10,0.5853984448769796
proxy,30,34,158,4,0.4094528485265933
quiet,34,44,600,10,0.9470467609351982
