component,description,n_cells,n_rows,targets,subjects,expected_delta_focus,expected_focus_share,drop_remaining_focus_delta,drop_remaining_focus_share,expected_delta_visible,expected_visible_share,swing_share,top33_coverage,top8_coverage,cells_to_cover_e95_edge_focus,support_visible_swing_weighted,support_focus_swing_weighted,all_prior_support_rate,prior_split_rate,flank_conflict_rate,e72_active_rate,between_train_runs_rate,mean_safe_density,rank_expected_share,rank_top33,rank_visible_support,role
S4,target S4,116,116,S4,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-1.683964637491857e-05,0.21577683940805487,-6.120230854997108e-05,0.7842231605919451,-1.2156960458689035e-05,0.2391974868113049,0.1325641758626985,0.09090909090909091,0.125,38,0.4348749336066358,0.47780032100889525,0.07758620689655173,0.8275862068965517,0.45689655172413796,0.3448275862068966,0.8362068965517241,0.43511440511000915,1,4,3,mixed_component
S1,target S1,95,95,S1,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-1.6281858581034694e-05,0.2086295582511347,-6.176009634385496e-05,0.7913704417488653,-1.140845333671043e-05,0.2244700372118717,0.1606521243348836,0.3939393939393939,0.375,41,0.26751709104984284,0.3043801545227486,0.021052631578947368,0.4631578947368421,0.14736842105263157,0.5368421052631579,0.8315789473684211,0.4551041700079057,2,1,6,hard_tail_uncertain
Q1,target Q1,121,121,Q1,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-1.2999894402964397e-05,0.1665757145047937,-6.504206052192526e-05,0.8334242854952063,-1.0372778614615389e-05,0.20409234563995676,0.12375078064672515,0.15151515151515152,0.0,-1,0.4065515089836765,0.43234895056317124,0.04132231404958678,0.7355371900826446,0.2892561983471074,0.3884297520661157,0.8181818181818182,0.4331378329886356,3,2,4,mixed_component
S3,target S3,168,168,S3,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-1.1619080374255925e-05,0.1488824874445872,-6.642287455063373e-05,0.8511175125554128,-4.02020044571875e-06,0.07910051582065528,0.1711531605871154,0.09090909090909091,0.0,-1,0.21650266080359398,0.27045496896579413,0.08928571428571429,0.39285714285714285,0.16666666666666666,0.05357142857142857,0.8392857142857143,0.1788042348872494,4,6,7,secondary_or_guard
Q3,target Q3,117,117,Q3,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-7.384491969081944e-06,0.09462207829351585,-7.065746295580771e-05,0.905377921706484,-6.584163262960344e-06,0.12954844351161676,0.11655475395542415,0.12121212121212122,0.5,-1,0.5567984446779274,0.5651426267688139,0.4017094017094017,0.5213675213675214,0.41025641025641024,0.4017094017094017,0.8376068376068376,0.4369226777147144,5,3,1,mixed_component
Q2,target Q2,165,165,Q2,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-7.329823267452131e-06,0.09392157429304036,-7.071213165743753e-05,0.9060784257069596,-4.52522714605068e-06,0.08903730206771943,0.16359963201209127,0.06060606060606061,0.0,-1,0.4593119356650133,0.48014405127466736,0.09090909090909091,0.6121212121212121,0.2787878787878788,0.006060606060606061,0.8242424242424242,0.18409262988253347,6,7,2,secondary_or_guard
S2,target S2,122,122,S2,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-5.587159955181994e-06,0.07159174780487335,-7.245479496970766e-05,0.9284082521951267,-1.7561640130930568e-06,0.03455386893687517,0.13172537260106196,0.09090909090909091,0.0,-1,0.3461023570928857,0.38144407260842983,0.23770491803278687,0.4016393442622951,0.1557377049180328,0.39344262295081966,0.7459016393442623,0.4530146132698209,7,5,5,secondary_or_guard
