target,view_id,split,method,min_train_cluster_count,max_train_cluster_count,std_score
Q2,family,subject,kmeans6_train_residual,12,208,0.04310158970655723
Q2,family,subject,kmeans8_train_residual,13,169,0.08262638121395634
Q2,family,subject,kmeans10_train_residual,14,153,0.08606563192546617
Q2,family,subject,kmeans12_train_residual,10,131,0.06674134237375111
Q2,jepa_resid,subject,kmeans6_train_residual,37,141,0.06064773245848125
Q2,jepa_resid,subject,kmeans8_train_residual,30,133,0.07242324802282969
Q2,jepa_resid,subject,kmeans10_train_residual,12,93,0.0889387351503176
Q2,jepa_resid,subject,kmeans12_train_residual,11,87,0.10321311982000488
Q2,story_bundle,subject,kmeans6_train_residual,50,110,0.051973245900916655
Q2,story_bundle,subject,kmeans8_train_residual,35,66,0.04514754451449224
Q2,story_bundle,subject,kmeans10_train_residual,17,63,0.049251127280548104
Q2,story_bundle,subject,kmeans12_train_residual,13,67,0.07652431965809811
Q2,raw_day,subject,kmeans6_train_residual,14,196,0.04520323658152799
Q2,raw_day,subject,kmeans8_train_residual,15,189,0.08361291920826472
Q2,raw_day,subject,kmeans10_train_residual,12,96,0.10697888125443854
Q2,raw_day,subject,kmeans12_train_residual,13,115,0.10038240227303745
Q2,family_story,subject,kmeans6_train_residual,57,113,0.04430310342737507
Q2,family_story,subject,kmeans8_train_residual,31,74,0.03465219066516524
Q2,family_story,subject,kmeans10_train_residual,17,69,0.06190831634091892
Q2,family_story,subject,kmeans12_train_residual,18,60,0.06966329041751936
Q2,family_jepa_story,subject,kmeans6_train_residual,57,113,0.043982341748540245
Q2,family_jepa_story,subject,kmeans8_train_residual,22,98,0.09471417126811235
Q2,family_jepa_story,subject,kmeans10_train_residual,21,71,0.09064443827071764
Q2,family_jepa_story,subject,kmeans12_train_residual,7,63,0.10127969493751876
Q2,family,dateblock,kmeans6_train_residual,29,193,0.0469188303962903
Q2,family,dateblock,kmeans8_train_residual,30,162,0.04513295592136253
Q2,family,dateblock,kmeans10_train_residual,17,153,0.08159142250903681
Q2,family,dateblock,kmeans12_train_residual,5,157,0.1087850667225337
Q2,jepa_resid,dateblock,kmeans6_train_residual,37,141,0.04012018153957683
Q2,jepa_resid,dateblock,kmeans8_train_residual,28,102,0.04995185476498118
Q2,jepa_resid,dateblock,kmeans10_train_residual,24,80,0.06490203770282243
Q2,jepa_resid,dateblock,kmeans12_train_residual,10,93,0.08739883582509396
Q2,story_bundle,dateblock,kmeans6_train_residual,50,104,0.04943307951195134
Q2,story_bundle,dateblock,kmeans8_train_residual,35,74,0.04777742489032917
Q2,story_bundle,dateblock,kmeans10_train_residual,15,65,0.0428766994355626
Q2,story_bundle,dateblock,kmeans12_train_residual,12,62,0.06010625807400395
Q2,raw_day,dateblock,kmeans6_train_residual,14,140,0.035708043738536546
Q2,raw_day,dateblock,kmeans8_train_residual,15,139,0.06619740878730956
Q2,raw_day,dateblock,kmeans10_train_residual,12,80,0.09741461459180852
Q2,raw_day,dateblock,kmeans12_train_residual,12,74,0.10794907256363484
Q2,family_story,dateblock,kmeans6_train_residual,57,110,0.0434208410494304
Q2,family_story,dateblock,kmeans8_train_residual,25,89,0.04013569607782906
Q2,family_story,dateblock,kmeans10_train_residual,18,58,0.052227900685078404
Q2,family_story,dateblock,kmeans12_train_residual,13,58,0.05421041529025722
Q2,family_jepa_story,dateblock,kmeans6_train_residual,37,117,0.043568375028283146
Q2,family_jepa_story,dateblock,kmeans8_train_residual,23,94,0.06092584308824147
Q2,family_jepa_story,dateblock,kmeans10_train_residual,20,67,0.0718058823588376
Q2,family_jepa_story,dateblock,kmeans12_train_residual,17,63,0.05920877057043728
S1,family,subject,kmeans6_train_residual,30,210,0.08521715522059078
S1,family,subject,kmeans8_train_residual,14,163,0.10746265781346952
S1,family,subject,kmeans10_train_residual,12,138,0.13173221076885186
S1,family,subject,kmeans12_train_residual,10,135,0.10931460801546926
S1,jepa_resid,subject,kmeans6_train_residual,36,145,0.09619228965610055
S1,jepa_resid,subject,kmeans8_train_residual,27,100,0.09637547075685128
S1,jepa_resid,subject,kmeans10_train_residual,12,84,0.12532810904173883
S1,jepa_resid,subject,kmeans12_train_residual,13,83,0.12094661112934792
S1,story_bundle,subject,kmeans6_train_residual,57,110,0.040875092176099026
S1,story_bundle,subject,kmeans8_train_residual,31,67,0.04311047882535061
S1,story_bundle,subject,kmeans10_train_residual,24,73,0.0631134972344952
S1,story_bundle,subject,kmeans12_train_residual,17,61,0.050838618859728256
S1,raw_day,subject,kmeans6_train_residual,15,190,0.037950067680053746
S1,raw_day,subject,kmeans8_train_residual,14,141,0.1282720232093552
S1,raw_day,subject,kmeans10_train_residual,12,107,0.14910814104703482
S1,raw_day,subject,kmeans12_train_residual,13,76,0.15755826216132895
S1,family_story,subject,kmeans6_train_residual,57,113,0.0400240361475895
S1,family_story,subject,kmeans8_train_residual,30,67,0.04752694965636894
S1,family_story,subject,kmeans10_train_residual,21,61,0.07763006443379049
S1,family_story,subject,kmeans12_train_residual,16,59,0.07644641676180625
S1,family_jepa_story,subject,kmeans6_train_residual,33,117,0.04844178834435155
S1,family_jepa_story,subject,kmeans8_train_residual,24,97,0.06282877709720566
S1,family_jepa_story,subject,kmeans10_train_residual,22,58,0.07845925267440558
S1,family_jepa_story,subject,kmeans12_train_residual,10,59,0.08580301286616651
S1,family,dateblock,kmeans6_train_residual,12,204,0.05786939152907276
S1,family,dateblock,kmeans8_train_residual,25,176,0.05493782631106982
S1,family,dateblock,kmeans10_train_residual,12,150,0.054347534175880556
S1,family,dateblock,kmeans12_train_residual,12,143,0.06935353522066691
S1,jepa_resid,dateblock,kmeans6_train_residual,37,144,0.031241693271963817
S1,jepa_resid,dateblock,kmeans8_train_residual,31,130,0.048852684581652255
S1,jepa_resid,dateblock,kmeans10_train_residual,14,91,0.0695529493548296
S1,jepa_resid,dateblock,kmeans12_train_residual,11,93,0.0753377532290442
S1,story_bundle,dateblock,kmeans6_train_residual,56,111,0.04533619518049235
S1,story_bundle,dateblock,kmeans8_train_residual,24,89,0.05357736319419057
S1,story_bundle,dateblock,kmeans10_train_residual,12,67,0.051598465684806576
S1,story_bundle,dateblock,kmeans12_train_residual,20,59,0.06230618824367036
S1,raw_day,dateblock,kmeans6_train_residual,14,159,0.025614016642611984
S1,raw_day,dateblock,kmeans8_train_residual,14,125,0.04066313114302549
S1,raw_day,dateblock,kmeans10_train_residual,12,121,0.05214663903834294
S1,raw_day,dateblock,kmeans12_train_residual,13,92,0.042622056590986
S1,family_story,dateblock,kmeans6_train_residual,57,110,0.045953585426478184
S1,family_story,dateblock,kmeans8_train_residual,34,66,0.04715782865277738
S1,family_story,dateblock,kmeans10_train_residual,25,60,0.05668232956143925
S1,family_story,dateblock,kmeans12_train_residual,15,66,0.06832461515080974
S1,family_jepa_story,dateblock,kmeans6_train_residual,36,118,0.04358166017404881
S1,family_jepa_story,dateblock,kmeans8_train_residual,25,97,0.05989406326628282
S1,family_jepa_story,dateblock,kmeans10_train_residual,17,65,0.05564101299298854
S1,family_jepa_story,dateblock,kmeans12_train_residual,17,66,0.07537473897222306
