prior,target,prior_mean,projected_mean,mean_delta,mean_abs_delta,p90_abs_delta,prior_ge_0p5_rate,projected_ge_0p5_rate,projected_entropy
raw05,Q1,0.4980136412508163,0.48965210747813487,-0.008361533772681347,0.024350480171936396,0.045113244176812686,0.492,0.48,0.5859371324738107
raw05,Q2,0.5485933050756782,0.5477286553074109,-0.0008646497682672956,0.011247052382290196,0.02036315038751685,0.628,0.624,0.6514504258246957
raw05,Q3,0.6095651733289065,0.6082067616375373,-0.0013584116913691923,0.020361454260145045,0.04168465763355358,0.812,0.824,0.6283874331824306
raw05,S1,0.660478612426372,0.6576435953887293,-0.0028350170376425393,0.011157499925399111,0.021872759006515707,0.728,0.72,0.495136779784855
raw05,S2,0.6338123155953885,0.639094157151745,0.005281841556356483,0.01912564548176714,0.04526344570575907,0.76,0.792,0.551539348966262
raw05,S3,0.6405074698554039,0.6584489528050557,0.017941482949651786,0.022522955227064736,0.05112584853264249,0.704,0.74,0.5188797841004725
raw05,S4,0.5649557191035942,0.5648094421103556,-0.00014627699323868139,0.017970838375352998,0.034817108340930575,0.596,0.608,0.6009127547533372
stage2,Q1,0.5010085636669341,0.48965210747850957,-0.011356456188424619,0.026781134036971337,0.05421836018396133,0.492,0.48,0.5859371324677581
stage2,Q2,0.5485933050756782,0.5477286553098436,-0.000864649765834505,0.011247052381921677,0.020363150393116924,0.628,0.624,0.6514504258227127
stage2,Q3,0.6106028157755145,0.608206761639694,-0.0023960541358203917,0.02361065041385106,0.04880262008832185,0.816,0.824,0.6283874331785936
stage2,S1,0.6612811281547154,0.657643595392456,-0.0036375327622594268,0.013062329020639524,0.029144970924718804,0.728,0.72,0.49513677977471665
stage2,S2,0.6346826130614714,0.6390941571530647,0.004411544091593389,0.021671909013134132,0.05583726850797509,0.748,0.792,0.5515393489593662
stage2,S3,0.6400366060799666,0.6584489528074859,0.018412346727519447,0.025156699159618625,0.06208429789774914,0.704,0.74,0.5188797840925662
stage2,S4,0.5644674018290384,0.5648094421118276,0.00034204028278907736,0.0216523942811058,0.044277004255009814,0.604,0.608,0.6009127547480733
