story_id,source,mapped_family,split,target,base_loss,state_loss,delta_logloss,state_oof_r2,state_oof_corr,context_cols
single_app_monotony,human_social,routine_calendar,subject5,Q3,0.694562290161845,0.6755510282210321,-0.01901126194081293,0.14015796389281454,0.6217425180837004,117
app_entropy_scattered_day,human_social,routine_calendar,subject5,Q3,0.694562290161845,0.6766106648141972,-0.017951625347647826,0.4190103570245278,0.7511441718681486,117
app_entropy_scattered_day,human_social,routine_calendar,dateblock5,Q2,0.7039531870021892,0.6979658779618135,-0.005987309040375699,0.7283466143311701,0.8534825404452421,117
bright_light_late,human_social,bedtime_phone,subject5,S1,0.6621792348492731,0.6571520012273292,-0.005027233621943905,-0.704670640656403,0.2291998789565964,117
single_app_monotony,human_social,routine_calendar,dateblock5,Q2,0.7039531870021892,0.6994108210620085,-0.004542365940180759,0.5636991770596237,0.7530376097513694,117
heart_stress_late,human_social,physiology_activity,dateblock5,Q3,0.6811935568856443,0.6767236058136938,-0.004469951071950473,0.08959478217694794,0.3966877665313356,117
single_app_monotony,human_social,routine_calendar,dateblock5,Q3,0.6811935568856443,0.6776029603735919,-0.003590596512052402,0.5636991770596237,0.7530376097513694,117
app_entropy_scattered_day,human_social,routine_calendar,dateblock5,S2,0.5800292810825479,0.5765387108171548,-0.0034905702653931225,0.7283466143311701,0.8534825404452421,117
commute_workday,human_social,mobility_context,subject5,Q2,0.7158492250983057,0.7130718095641658,-0.0027774155341399043,0.19924570610768388,0.5841203146795481,117
commute_workday,human_social,mobility_context,dateblock5,S4,0.6650293040672156,0.6623590042827813,-0.002670299784434338,0.4998603543288721,0.7126466716757597,117
heart_stress_late,human_social,physiology_activity,subject5,S2,0.6836444874170926,0.6814674617980337,-0.002177025619058859,-0.5482125383571812,0.28002593600440295,117
vehicle_noise_day,human_social,mobility_context,dateblock5,S3,0.5337854556868376,0.5316676257879858,-0.0021178298988517863,0.6168286901279783,0.7873270994530149,117
app_entropy_scattered_day,human_social,routine_calendar,subject5,Q2,0.7158492250983057,0.7139401694775339,-0.0019090556207718157,0.4190103570245278,0.7511441718681486,117
app_entropy_scattered_day,human_social,routine_calendar,dateblock5,Q3,0.6811935568856443,0.6793010367016951,-0.0018925201839492534,0.7283466143311701,0.8534825404452421,117
heart_stress_late,human_social,physiology_activity,subject5,S3,0.6363938446306157,0.6350046868805238,-0.0013891577500918517,-0.5482125383571812,0.28002593600440295,117
single_app_monotony,human_social,routine_calendar,dateblock5,S2,0.5800292810825479,0.578965967441328,-0.0010633136412199207,0.5636991770596237,0.7530376097513694,117
bright_light_late,human_social,bedtime_phone,dateblock5,S4,0.6650293040672156,0.6642151097936102,-0.0008141942736054064,0.10526633188386414,0.37483144832329335,117
single_app_monotony,human_social,routine_calendar,dateblock5,Q1,0.6733314718456856,0.6726124583544697,-0.0007190134912159474,0.5636991770596237,0.7530376097513694,117
single_app_monotony,human_social,routine_calendar,subject5,S4,0.7203119011912373,0.719868928263195,-0.0004429729280422956,0.14015796389281454,0.6217425180837004,117
app_entropy_scattered_day,human_social,routine_calendar,subject5,S4,0.7203119011912373,0.7199156399490355,-0.000396261242201823,0.4190103570245278,0.7511441718681486,117
commute_workday,human_social,mobility_context,dateblock5,S2,0.5800292810825479,0.579633617631726,-0.0003956634508218704,0.4998603543288721,0.7126466716757597,117
commute_workday,human_social,mobility_context,dateblock5,Q3,0.6811935568856443,0.6809545213222415,-0.00023903556340276744,0.4998603543288721,0.7126466716757597,117
app_entropy_scattered_day,human_social,routine_calendar,subject5,Q1,0.7086849472657867,0.7086116249685288,-7.332229725787176e-05,0.4190103570245278,0.7511441718681486,117
app_entropy_scattered_day,human_social,routine_calendar,dateblock5,Q1,0.6733314718456856,0.6733203087083924,-1.1163137293213055e-05,0.7283466143311701,0.8534825404452421,117
single_app_monotony,human_social,routine_calendar,subject5,Q1,0.7086849472657867,0.7087299936801167,4.504641433000778e-05,0.14015796389281454,0.6217425180837004,117
commute_workday,human_social,mobility_context,subject5,S1,0.6621792348492731,0.6623342003511046,0.00015496550183147217,0.19924570610768388,0.5841203146795481,117
single_app_monotony,human_social,routine_calendar,subject5,Q2,0.7158492250983057,0.7160772867360371,0.00022806163773136934,0.14015796389281454,0.6217425180837004,117
app_entropy_scattered_day,human_social,routine_calendar,subject5,S2,0.6836444874170926,0.6840675255410672,0.00042303812397459506,0.4190103570245278,0.7511441718681486,117
vehicle_noise_day,human_social,mobility_context,subject5,S4,0.7203119011912373,0.721002084757956,0.0006901835667186829,0.39792264928503485,0.7089112970958625,117
bright_light_late,human_social,bedtime_phone,dateblock5,Q1,0.6733314718456856,0.6741099407768146,0.0007784689311289839,0.10526633188386414,0.37483144832329335,117
vehicle_noise_day,human_social,mobility_context,dateblock5,S2,0.5800292810825479,0.5808430717105173,0.0008137906279693796,0.6168286901279783,0.7873270994530149,117
