group_kind,target,n_cells,n_rows,focus_cost_e172_to_e169,visible_delta_e172_to_e169,abs_swing,top_swing,mean_support_focus,mean_safe_density,e72_active_rate,group,target_group,context_type,e72_active,safe_low,support_low
support_low,,73,64,1.859844872293279e-06,-2.1997841552104706e-06,7.884992846279157e-05,2.9962304040837944e-06,0.7177554072298451,0.280980341565937,0.0821917808219178,False,,,,,False
e72_active,,69,60,1.6593557084945288e-06,-2.0004171588050376e-06,7.370449578078346e-05,2.9962304040837944e-06,0.7088416010996588,0.2669716243325119,0.0,False,,,False,,
context_type,,58,51,1.5030865989556155e-06,-1.7355225246317033e-06,6.575105660740748e-05,2.9962304040837944e-06,0.7170829070015377,0.2709711327386455,0.08620689655172414,between_train_runs,,between_train_runs,,,
target_group,,45,41,1.4129776722489277e-06,-1.4047808680119645e-06,5.533932112360984e-05,2.9962304040837944e-06,0.7387285144616175,0.2902272181062523,0.06666666666666667,S,S,,,,
safe_low,,46,43,9.74910030527531e-07,-1.2776099438231515e-06,4.508535286770928e-05,2.496133173320663e-06,0.7196199778649807,0.18420596196132247,0.021739130434782608,True,,,,True,
safe_low,,29,28,8.856648517375541e-07,-9.425001000859489e-07,3.5371316200210516e-05,2.9962304040837944e-06,0.691105521070172,0.42785249776289247,0.1724137931034483,False,,,,False,
target,S3,25,25,7.246280202720691e-07,-7.088786819310076e-07,2.697783187428864e-05,1.9886344419411157e-06,0.773909771719271,0.18369363457567955,0.04,S3,,,,,
target_context,S3,22,22,6.783980795773999e-07,-5.793735681285059e-07,2.3950081630026336e-05,1.9886344419411157e-06,0.7727777389660756,0.18354060172022776,0.045454545454545456,S3:between_train_runs,,between_train_runs,,,
target_group,,30,28,4.475972100161575e-07,-8.153291758971359e-07,2.5117347944309958e-05,2.496133173320663e-06,0.6633931980683769,0.2606990623521121,0.1,Q,Q,,,,
target,S2,11,11,4.1319412980130704e-07,-4.0868328797639853e-07,1.5983660795652465e-05,2.9962304040837944e-06,0.6607701340295575,0.4253419154647609,0.18181818181818182,S2,,,,,
context_type,,17,14,3.574882833094696e-07,-4.84587519277397e-07,1.4705612460512321e-05,2.496133173320663e-06,0.67963355804323,0.3038159403825458,0.058823529411764705,after_train_run,,after_train_run,,,
target_context,S2,8,8,3.482711467756822e-07,-3.424890314714696e-07,1.370011728814562e-05,2.9962304040837944e-06,0.6659658577646382,0.42696501375250473,0.25,S2:between_train_runs,,between_train_runs,,,
target,S1,7,7,2.7533484058353635e-07,-2.8458690910955015e-07,1.1819143489295422e-05,2.378183387392263e-06,0.752425248598718,0.4210136533641106,0.0,S1,,,,,
target,Q2,21,21,2.50282010255462e-07,-5.687312618921438e-07,1.8107520993420644e-05,2.496133173320663e-06,0.6549892708955872,0.1848158755156593,0.0,Q2,,,,,
target_context,S1,6,6,2.0585889521413682e-07,-2.49550518599918e-07,1.046528252417294e-05,2.378183387392263e-06,0.7406226665750474,0.4210136533641106,0.0,S1:between_train_runs,,between_train_runs,,,
e72_active,,6,6,2.0121917377055637e-07,-2.1969288510406256e-07,6.752173287136335e-06,2.296895080032676e-06,0.7057514361579402,0.4100257677335654,1.0,True,,,True,,
target_context,Q2,6,6,1.6099669546976437e-07,-2.018119507668901e-07,6.835507713198757e-06,2.496133173320663e-06,0.603549386317893,0.18481587551565934,0.0,Q2:after_train_run,,after_train_run,,,
target,Q3,4,4,1.002754834141033e-07,-5.712272272925189e-08,3.3838180182395676e-06,1.605108824034878e-06,0.6678124658468048,0.42259798464061327,0.25,Q3,,,,,
target,Q1,5,5,9.703971634659223e-08,-1.8947519127574025e-07,3.626008932649749e-06,1.292700249028167e-06,0.6951542779713511,0.4498893092344128,0.4,Q1,,,,,
target_context,Q1,3,3,9.55446255980035e-08,-1.551792472609001e-07,3.109108956268845e-06,1.292700249028167e-06,0.7067724867724868,0.4246667864981277,0.3333333333333333,Q1:between_train_runs,,between_train_runs,,,
