basename,source_path,family,tag,nonzero_rows,pos_rows,neg_rows,mean_abs_s4_delta,max_abs_s4_delta,active_block_S4_mean,inactive_block_S4_mean,active_row_center_mean,inactive_row_center_mean,active_row_rank_mean,active_minus_inactive_block_S4,active_minus_inactive_row_center
submission_e306_withinblock_s4_topblock4_rowtop1_up_a0_0180_6901d95d.csv,analysis_outputs/submission_e306_withinblock_s4_topblock4_rowtop1_up_a0_0180_6901d95d.csv,topblock_rowtop,topblock4_rowtop1_up_a0.0180,4,4,0,0.00028799999999999995,0.018,0.6460739818770469,-0.0689486058892712,0.1701987953989276,-0.002767460087787443,0.5,0.7150225877663181,0.17296625548671504
submission_e306_withinblock_s4_signedblock4_row1_a0_0180_193e259c.csv,analysis_outputs/submission_e306_withinblock_s4_signedblock4_row1_a0_0180_193e259c.csv,signed_block_row,signedblock4_row1_a0.0180,8,4,4,0.0005759999999999999,0.018,0.061976754097715664,-0.06145816179352997,-0.04340943569071025,0.0014350226674614923,0.12499999999999999,0.12343491589124564,-0.04484445835817174
submission_e306_withinblock_s4_control_topblock4_rowbottom1_up_a0_0180_8e290517.csv,analysis_outputs/submission_e306_withinblock_s4_control_topblock4_rowbottom1_up_a0_0180_8e290517.csv,control_wrong_row,control_topblock4_rowbottom1_up_a0.0180,4,4,0,0.00028799999999999995,0.018,0.6460739818770469,-0.0689486058892712,-0.15711841226988937,0.0025547709312177115,-0.1375,0.7150225877663181,-0.15967318320110707
submission_e306_withinblock_s4_topblock4_rowtop1_up_a0_0250_2385cf45.csv,analysis_outputs/submission_e306_withinblock_s4_topblock4_rowtop1_up_a0_0250_2385cf45.csv,topblock_rowtop,topblock4_rowtop1_up_a0.0250,4,4,0,0.0004,0.025,0.6460739818770469,-0.0689486058892712,0.1701987953989276,-0.002767460087787443,0.5,0.7150225877663181,0.17296625548671504
submission_e306_withinblock_s4_signedblock4_row1_a0_0250_1c79faa5.csv,analysis_outputs/submission_e306_withinblock_s4_signedblock4_row1_a0_0250_1c79faa5.csv,signed_block_row,signedblock4_row1_a0.0250,8,4,4,0.0008,0.025,0.061976754097715664,-0.06145816179352997,-0.04340943569071025,0.0014350226674614923,0.12499999999999999,0.12343491589124564,-0.04484445835817174
submission_e306_withinblock_s4_control_topblock4_rowbottom1_up_a0_0250_4bab4f10.csv,analysis_outputs/submission_e306_withinblock_s4_control_topblock4_rowbottom1_up_a0_0250_4bab4f10.csv,control_wrong_row,control_topblock4_rowbottom1_up_a0.0250,4,4,0,0.0004,0.025,0.6460739818770469,-0.0689486058892712,-0.15711841226988937,0.0025547709312177115,-0.1375,0.7150225877663181,-0.15967318320110707
submission_e306_withinblock_s4_topblock4_rowtop1_up_a0_0388_7fb788e3.csv,analysis_outputs/submission_e306_withinblock_s4_topblock4_rowtop1_up_a0_0388_7fb788e3.csv,topblock_rowtop,topblock4_rowtop1_up_a0.0388,4,4,0,0.0006208,0.0388,0.6460739818770469,-0.0689486058892712,0.1701987953989276,-0.002767460087787443,0.5,0.7150225877663181,0.17296625548671504
submission_e306_withinblock_s4_signedblock4_row1_a0_0388_9353f021.csv,analysis_outputs/submission_e306_withinblock_s4_signedblock4_row1_a0_0388_9353f021.csv,signed_block_row,signedblock4_row1_a0.0388,8,4,4,0.0012416,0.0388,0.061976754097715664,-0.06145816179352997,-0.04340943569071025,0.0014350226674614923,0.12499999999999999,0.12343491589124564,-0.04484445835817174
submission_e306_withinblock_s4_control_topblock4_rowbottom1_up_a0_0388_57bd838b.csv,analysis_outputs/submission_e306_withinblock_s4_control_topblock4_rowbottom1_up_a0_0388_57bd838b.csv,control_wrong_row,control_topblock4_rowbottom1_up_a0.0388,4,4,0,0.0006208,0.0388,0.6460739818770469,-0.0689486058892712,-0.15711841226988937,0.0025547709312177115,-0.1375,0.7150225877663181,-0.15967318320110707
submission_e306_withinblock_s4_topblock4_rowtop1_up_a0_0520_04c4cd50.csv,analysis_outputs/submission_e306_withinblock_s4_topblock4_rowtop1_up_a0_0520_04c4cd50.csv,topblock_rowtop,topblock4_rowtop1_up_a0.0520,4,4,0,0.000832,0.052,0.6460739818770469,-0.0689486058892712,0.1701987953989276,-0.002767460087787443,0.5,0.7150225877663181,0.17296625548671504
submission_e306_withinblock_s4_signedblock4_row1_a0_0520_49d10c34.csv,analysis_outputs/submission_e306_withinblock_s4_signedblock4_row1_a0_0520_49d10c34.csv,signed_block_row,signedblock4_row1_a0.0520,8,4,4,0.001664,0.052,0.061976754097715664,-0.06145816179352997,-0.04340943569071025,0.0014350226674614923,0.12499999999999999,0.12343491589124564,-0.04484445835817174
submission_e306_withinblock_s4_control_topblock4_rowbottom1_up_a0_0520_347b4755.csv,analysis_outputs/submission_e306_withinblock_s4_control_topblock4_rowbottom1_up_a0_0520_347b4755.csv,control_wrong_row,control_topblock4_rowbottom1_up_a0.0520,4,4,0,0.000832,0.052,0.6460739818770469,-0.0689486058892712,-0.15711841226988937,0.0025547709312177115,-0.1375,0.7150225877663181,-0.15967318320110707
