role,file,family,public_lb,public_delta_vs_mixmin,mean_abs_logit_move_vs_mixmin,mean_prob,prediction_entropy,conditional_bce,conditional_bce_delta_vs_mixmin,conditional_logit_resid_rms,conditional_logit_resid_rms_delta_vs_mixmin,pattern_mixture_nll,pattern_mixture_nll_delta_vs_mixmin,nearest_pattern_nll,nearest_pattern_nll_delta_vs_mixmin,pair_corr_l1_gap,pair_corr_l1_gap_delta_vs_mixmin,pair_corr_max_abs_gap_delta_vs_mixmin,target_manifold_delta_mean,posterior_ce_delta_all_vs_mixmin,e72_direction_mass_agree,block_target_r2,hidden_block_alignment_score,rank_conditional_bce_delta_vs_mixmin,rank_conditional_logit_resid_rms_delta_vs_mixmin,rank_pattern_mixture_nll_delta_vs_mixmin,rank_nearest_pattern_nll_delta_vs_mixmin,rank_pair_corr_l1_gap_delta_vs_mixmin,rank_target_manifold_delta_mean
final9,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,known_public,0.5784273528,0.002120712299999994,0.15638793946693838,0.599014568625791,0.5772953157007112,0.6972888964618139,-0.008227214694898954,0.7828049383471061,-0.053129683396413,4.317482736631299,-0.01277040443300681,2.7585688998726137,0.05226454387662205,0.10165873339860146,0.003495995354442394,0.017817265855861374,-0.020801364158325803,,,,,1.0,1.0,1.0,14.0,15.0,1.0
bad_q2_jepa,submission_jepa_latent_q2_w0p45.csv,known_public,0.5798012862,0.003494645700000021,0.09360039163942636,0.5975415600704572,0.572861047871229,0.7040985240193999,-0.0014175871373129922,0.8295819887107221,-0.006352633032796984,4.325175305269619,-0.005077835794686791,2.7076636236024907,0.0013592676064990705,0.1007170974336795,0.002554359389520436,0.026998375128021557,-0.0029587031459877796,,,,,2.0,3.0,2.0,11.0,14.0,2.0
failed_e72,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,known_public,0.5764077772,0.00010113670000000408,0.006684221643935942,0.5945516761424967,0.572903179304772,0.7048842715549459,-0.000631839601766937,0.8315730555716875,-0.004361566171831588,4.33003938875457,-0.00021375230973585957,2.7111578151417826,0.004853459145790939,0.09833199571323642,0.00016925766907735507,0.0015490533454259325,-0.0014686869374966975,-0.0002872997115254,1.0,0.3499840239523777,5.988367480232958,5.0,4.0,8.0,12.0,11.0,3.0
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,known_public,0.5779449757,0.0016383352000000073,0.0666787983091393,0.5943817762347597,0.5726303294251893,0.7048469366771057,-0.0006691744796071264,0.8326060465156742,-0.00332857522784491,4.330860315262404,0.0006071741980981926,2.6985140715543463,-0.007790284441645312,0.0976046524908438,-0.0005580855533152684,0.004194179262714232,-0.0010931621943539953,,,,,4.0,5.0,11.0,3.0,1.0,4.0
max_upside_e86,submission_e86_e85_consensus_a3f7c96f.csv,live,,,0.006064145347338554,0.5944104522710386,0.5723722815308478,0.7051625232186837,-0.0003535879380291984,0.8338138848459106,-0.0021207368976084995,4.329762155784651,-0.0004909852796552983,2.7066762085560305,0.00037185256003891,0.09800911257858354,-0.00015362546557552703,0.0007734855515928452,-0.0009217825476131083,-0.0002556211126174,0.6681660788178457,0.3521790305256595,5.562668034557709,7.0,6.0,6.0,10.0,3.0,5.0
noq2_contrast,submission_e87_noq2_source_consensus_a85c4e39.csv,live,,,0.00582710107715536,0.5944113378232874,0.5723461788796388,0.70518112132865,-0.0003349898280629038,0.8338754139069203,-0.002059207836598742,4.329710217941944,-0.0005429231223619269,2.705896169164376,-0.0004081868316156978,0.09802231569638906,-0.0001404223477700084,0.0007735000768587241,-0.0009141844355768924,-0.0002571956700652,0.6505032321780749,0.342147564092787,5.605187660919492,8.0,7.0,3.0,6.0,4.0,6.0
balanced_e90,submission_e90_e72pareto_28925de5.csv,live,,,0.005777398679573552,0.5944108180621726,0.5723612773885943,0.705183900546659,-0.00033221061005384023,0.8339451755992968,-0.001989446144222251,4.329744627879034,-0.0005085131852720082,2.7064583551547488,0.00015399915875713432,0.09802686153933561,-0.00013587650482345393,0.0007618779234168094,-0.0008779452781059044,-0.0002507669975615,0.657990030135714,0.3480137364303803,5.471509048002834,9.0,8.0,5.0,9.0,5.0,7.0
min_contam_e89,submission_e89_e72decontam_00d7807f.csv,live,,,0.0053930142218942476,0.5944088608762914,0.5723226376444487,0.7052176752399849,-0.0002984359167279571,0.8341687815123785,-0.0017658402311405696,4.329734226069068,-0.0005189149952382621,2.7057702219148876,-0.0005341340811040318,0.09802809305915347,-0.0001346449850055942,0.0007186747249196546,-0.000806466737128142,-0.0002359030997179,0.6358381147226713,0.3562043276173561,5.197812380876569,10.0,9.0,4.0,5.0,6.0,8.0
conservative_e85,submission_e85_inverse_conflict_pruned_58b23ed1.csv,live,,,0.004748083752526344,0.594400535328504,0.5723358002283695,0.7052448548144781,-0.00027125634223479356,0.8342570064849251,-0.0016776152585940007,4.329820819437255,-0.00043232162705120203,2.705987997585772,-0.0003163584102194861,0.09804633630242178,-0.00011640174173728479,0.00061052175222992,-0.0007421128757941625,-0.0002070231923834,0.64946937670813,0.3395986937987986,4.599781515067494,11.0,10.0,7.0,7.0,7.0,9.0
frontier_mixmin,submission_mixmin_0c916bb4.csv,known_public,0.5763066405,0.0,0.0,0.594372307027878,0.5723035713143617,0.7055161111567129,0.0,0.8359346217435191,0.0,4.330253141064306,0.0,2.7063043559959916,0.0,0.09816273804415906,0.0,0.0,0.0,,,,,12.0,12.0,10.0,8.0,9.0,10.0
previous_a2c8,submission_frontier_cvjepa_refine_a2c8d2c8.csv,known_public,0.577439321,0.0011326804999999274,0.04561420000223732,0.5939736183404366,0.5726948420403275,0.7051560858562081,-0.00036002530050471826,0.8344256257086433,-0.0015089960348757536,4.332334974664611,0.0020818336003047833,2.7039563033372978,-0.0023480526586938666,0.09807157807013948,-9.115997401958065e-05,0.003389027635104236,0.000160559197136483,,,,,6.0,11.0,12.0,4.0,8.0,11.0
raw05,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,known_public,0.5775263072,0.001219666699999955,0.049029823053049724,0.5937037480908799,0.5721425865965465,0.7058109056463258,0.0002947944896128929,0.8385356932296528,0.0026010714861337547,4.3327912338536425,0.002538092789336588,2.6980600288851107,-0.008244327110880967,0.09779568941345163,-0.00036704863070743943,0.003684551993110838,0.0015907052149209677,,,,,13.0,13.0,13.0,2.0,2.0,12.0
