candidate_id,role,rule_family,pruned_cells,e237_like_gate,e237_like_score,expected_loss_vs_e224,adverse_reduction_vs_e224,support_gain_vs_e224,q3_top1_over_abs_expected,selected_smooth_gain_sum,overlap_e247,jaccard_e247,symmetric_diff_vs_e247,overlap_e237,overlap_e230_swing25,overlap_amp_top25,information_score
top50_amp_then_smooth25,amplitude_constrained_smoothing_sensor,feature_nn1_amp,25,True,0.0684417967143597,-4.741797885452262e-05,0.0006156024544262,0.0030379279013005,0.6154258031079762,2.6023204625418854,21,0.5526315789473685,17,14,14,14,0.07738916513541233
nn_smooth_sum_top25,breadth_ablation_same_score_axis,feature_nn1,25,True,0.0627157982782809,-7.13145693446277e-05,0.0005219593521792,0.0066977919013297,0.5353620898086812,3.04192161416037,25,0.7352941176470589,9,10,10,10,0.06800991592533973
incoming_smooth_top25,incoming_pair_mechanism_sensor,feature_nn1,25,True,0.0441889755533353,-4.4639721827859926e-05,0.0003785914577306,0.0010033590546484,0.6263155500725348,2.4174888592341226,19,0.475,21,2,4,4,0.0546889755533353
control_e230_swing25,reference_or_negative_control,control,25,False,0.0608435578477533,2.330801250893116e-05,0.000633168019431,0.0098734706987191,0.4903959906554339,0.008367930321033,10,0.20408163265306123,39,13,25,25,
control_e237_learned_cell25,reference_or_negative_control,control,25,True,0.0589416058073127,-5.611507748198071e-06,0.0005763997403527,0.0064502585911332,0.7471398112170139,0.2006621396322477,13,0.2826086956521739,33,25,13,13,
control_e230_risk21,reference_or_negative_control,control,21,True,0.0556641245076398,-6.789233039270891e-05,0.0004447304060198,0.0210769706333834,0.4695249789927824,-0.0989316858649859,7,0.14583333333333334,41,11,11,11,
nn_smooth_mean_top25,same_family_variant,feature_nn1,25,True,0.0650295679866426,-6.457603750097997e-05,0.0005558250392503,0.0050802351434139,0.5557498114412598,2.874644816183629,24,0.6857142857142857,11,13,10,10,0.07131528227235688
amp_smooth_mean_top25,same_family_variant,feature_nn1_amp,25,True,0.0631238334214588,-3.851914599902362e-05,0.0005737826266287,0.00441112898397,0.6517208036017271,2.8228324461916317,23,0.6388888888888888,13,14,12,12,0.07034605564368103
nn_amp_smooth_top25,same_family_variant,feature_nn1_amp,25,True,0.0647915103669236,-6.737146608700275e-05,0.0005486160925003,0.0062236983088525,0.5471065801313695,2.9651578607865865,25,0.7352941176470589,9,13,10,10,0.07008562801398242
nn_smooth_mean_top21,same_family_variant,feature_nn1,21,True,0.0602118135705281,-6.828641605386993e-05,0.0005024307828279,0.0051079630023634,0.5443357327852204,2.553030588943198,21,0.6176470588235294,13,13,10,10,0.06785887239405751
nn_amp_smooth_top21,same_family_variant,feature_nn1_amp,21,True,0.0599058782285418,-7.263960770488261e-05,0.0004921332082118,0.0065376541084402,0.5315278562189438,2.7031990970726696,21,0.6176470588235294,13,11,10,10,0.06755293705207122
nn_smooth_sum_top21,same_family_variant,feature_nn1,21,True,0.0533766562696633,-6.274348569098741e-05,0.0004400021409019,0.0074044272841638,0.5615656533821325,2.7523511506822462,21,0.6176470588235294,13,8,10,10,0.06102371509319271
nn_smooth_mean_top13,same_family_variant,feature_nn1,13,True,0.0441976928847673,-6.279839785440684e-05,0.0003485532118363,0.0068824500190025,0.5613896139588525,1.872218844050394,13,0.38235294117647056,21,8,10,10,0.056550634061237885
smooth_dist_top25,same_family_variant,feature_nn1,25,True,0.0471177715591115,-3.8357359106825045e-05,0.0004142839109146,0.0039918774086601,0.652420337684852,2.801734813034956,23,0.6388888888888888,13,5,6,6,0.05433999378133372
nn_amp_smooth_top13,same_family_variant,feature_nn1_amp,13,True,0.040553870778189,-4.902805434883815e-05,0.0003320139077534,0.0061069049250905,0.6092864875097188,2.02091808685251,13,0.38235294117647056,21,7,9,9,0.052906811954659586
nn_smooth_sum_top13,same_family_variant,feature_nn1,13,True,0.0366597519383144,-4.579362409100492e-05,0.0002969903452252,0.0068701255380965,0.6217462271682799,2.089730819994519,13,0.38235294117647056,21,5,6,6,0.04901269311478499
nn_smooth_sum_top10,same_family_variant,feature_nn1,10,True,0.0327118716331547,-4.525264395051191e-05,0.0002589458265354,0.0060239853317354,0.6238801175105675,1.7615748576879218,10,0.29411764705882354,24,5,6,6,0.046829518691978225
source_smooth_top25,source_pair_mechanism_sensor,feature_nn1,25,True,0.0636115086671453,-5.9823618811309784e-05,0.000546458493238,0.0073794088719688,0.5710879801484918,2.377745355802375,21,0.5526315789473685,17,13,11,11,0.07255887708819793
nn_smooth_sum_top34,submitted_winner,feature_nn1,34,True,0.0730349390299703,-6.65190691797919e-05,0.000632591525867,0.005788959476231,0.5497134939421922,3.5558895700071007,34,1.0,0,13,10,10,
