file,oof,gain_vs_stage2,projection,orth_ratio,linear_public_est,linear_public_delta
submission_orthcap005c000_exact_q3_exact_value_nearest_w1.csv,0.5628104475641666,0.004720477125650491,-0.005703931967559708,0.9999069830774117,0.5779429314706741,-2.044229325887742e-06
submission_orthcap005c000_exact_q2q3_exact_value_nearest_w1.csv,0.5621668978785174,0.005364026811299771,-0.0011033491421403767,0.9999967068706271,0.5779445802712526,-3.954287473771189e-07
submission_orthcap_s005_cap000_sc100.csv,0.5636475137535021,0.003883410936315057,-1.9420363363434766e-16,1.0,0.5779449757,-6.960054315639712e-20
submission_orthcap_s001_cap000_sc100.csv,0.5629020918294192,0.004628832860397947,0.0021343475175327783,0.9999901960588303,0.5779457406277396,7.649277396348145e-07
submission_orthcap_s009_cap005_sc100.csv,0.5629052156931568,0.0046257089966603715,0.05000000000000004,0.9949625444164815,0.577962895175,1.7919475000000032e-05
submission_orthcap_s001_cap005_sc100.csv,0.5624337674767413,0.005097157213075798,0.05010559570112193,0.9946950453313557,0.5779629330193906,1.7957319390527255e-05
submission_orthcap009c005_exact_q3_exact_value_nearest_w1.csv,0.5618563527857893,0.00567457190402787,0.05087578732697196,0.9953563243611959,0.5779632090479823,1.8233347982219835e-05
submission_orthcap009c005_exact_q2q3_exact_value_nearest_w1.csv,0.5617290471497165,0.005801877540100642,0.0516155937612203,0.995441616631808,0.5779634741868404,1.8498486840286883e-05
submission_orthcap_s001_cap010_sc100.csv,0.5619886867236242,0.005542237966192909,0.09999999999999987,0.9793686029325392,0.5779808146500001,3.583894999999999e-05
submission_orthcap010_exact_q3_exact_value_nearest_w1.csv,0.5609249620622331,0.006605962627584061,0.10117715397240618,0.9812489452482445,0.5779812365296236,3.62608296235937e-05
submission_orthcap010_exact_q2_exact_value_nearest_w1.csv,0.5615119430852104,0.006018981604606788,0.10431267317788842,0.9783825908566859,0.577982360266784,3.738456678388688e-05
submission_orthcap010_exact_q2q3_exact_value_nearest_w1.csv,0.5604482184238192,0.00708270626599794,0.10548982715029473,0.980289607015175,0.5779827821464075,3.780644640748059e-05
submission_orthcap010_exact_qall_exact_value_nearest_w1.csv,0.5611251205022042,0.00640580418761294,0.10762243750807758,0.980497295465658,0.5779835464515674,3.857075156730121e-05
submission_orthcap_s001_cap020_sc100.csv,0.5611653607790761,0.006365563910741057,0.19999999999999996,0.924380538164745,0.5780166536,7.167790000000006e-05
submission_orthcap_s001_cap030_sc100.csv,0.5604271644171386,0.007103760272678561,0.3,0.8502767119441947,0.57805249255,0.0001075168500000001
submission_orthcap030_exact_q3_exact_value_nearest_w1.csv,0.5596021973038845,0.007928727385932643,0.30228453794264276,0.858926799641031,0.5780533113044111,0.00010833560441099487
submission_orthcap030_exact_q2_exact_value_nearest_w1.csv,0.5601799236919444,0.007351000997872781,0.3031146256241984,0.8516816257324132,0.5780536087991202,0.00010863309912014376
submission_orthcap030_exact_q2q3_exact_value_nearest_w1.csv,0.5593549565786903,0.008175968111126863,0.3053991635668411,0.8599709983617395,0.5780544275535312,0.00010945185353113851
