model,file,public_lb,loo_pred,loo_error,abs_error,rank_actual
bad_axes_only,submission_jepa_latent_q2_w0p45.csv,0.5798012862,0.5801104197337958,0.00030913353379580233,0.00030913353379580233,8
bad_axes_only,submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,0.5875948750073033,0.007348055807303355,0.007348055807303355,9
bad_axes_only,submission_jepa_latent_residual_probe.csv,0.5812273278,0.582053397485731,0.0008260696857310679,0.0008260696857310679,10
target_move_core,submission_mixmin_0c916bb4.csv,0.5763066405,0.5779561736094115,0.0016495331094115162,0.0016495331094115162,1
target_move_core,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,0.5779827076112495,0.0015749304112494533,0.0015749304112494533,2
target_move_core,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.577439321,0.576974226292091,-0.0004650947079088974,0.0004650947079088974,3
target_move_core,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5775263072,0.5770039840234216,-0.0005223231765784098,0.0005223231765784098,4
target_move_core,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,0.5779449757,0.5770757100380057,-0.0008692656619943007,0.0008692656619943007,5
target_move_core,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,0.5783033652,0.578141548515925,-0.00016181668407500016,0.00016181668407500016,6
target_move_core,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,0.5784273528,0.5805442759593218,0.0021169231593217708,0.0021169231593217708,7
target_move_core,submission_jepa_latent_q2_w0p45.csv,0.5798012862,0.5818300053452387,0.002028719145238611,0.002028719145238611,8
target_move_core,submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,0.5791767056972061,-0.0010701135027938458,0.0010701135027938458,9
target_move_core,submission_jepa_latent_residual_probe.csv,0.5812273278,0.5783903299605734,-0.0028369978394265916,0.0028369978394265916,10
compact_energy,submission_mixmin_0c916bb4.csv,0.5763066405,0.577973053940355,0.001666413440355008,0.001666413440355008,1
compact_energy,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,0.5779724749218583,0.0015646977218582991,0.0015646977218582991,2
compact_energy,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.577439321,0.5768380392571743,-0.0006012817428256989,0.0006012817428256989,3
compact_energy,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5775263072,0.5767273381404743,-0.0007989690595257004,0.0007989690595257004,4
compact_energy,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,0.5779449757,0.5781106808172176,0.00016570511721758496,0.00016570511721758496,5
compact_energy,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,0.5783033652,0.5789941941975774,0.0006908289975773307,0.0006908289975773307,6
compact_energy,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,0.5784273528,0.5800832090593719,0.001655856259371924,0.001655856259371924,7
compact_energy,submission_jepa_latent_q2_w0p45.csv,0.5798012862,0.6261158316697883,0.046314545469788304,0.046314545469788304,8
compact_energy,submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,0.5787646423158779,-0.0014821768841221106,0.0014821768841221106,9
compact_energy,submission_jepa_latent_residual_probe.csv,0.5812273278,0.5785418079309947,-0.002685519869005226,0.002685519869005226,10
