target,feature,mode,corr,c_value,base_loss,corrected_loss,best_weight,best_loss,delta_vs_base,mean_delta,median_delta,p25_delta,p75_delta,win_rate,mean_selected_weight,zero_weight_rate,geometry_delta_mean,geometry_win_rate,geometry_target_delta,geometry_target_win_rate,passes_e208_probe
Q3,e208_resid_self_pc10,subject_center,-0.1692804890542979,0.2,0.6303484889503163,0.6237251795248548,0.45,0.6238909164414952,-0.006457572508821063,-0.006331628020390921,-0.006405699692395905,-0.009026148179923643,-0.003909495330940316,0.95,0.425923076923077,0.007692307692307693,-0.0004056035184302337,0.625,-0.002839224629011969,0.625,True
Q3,e208_resid_self_pc10,subject_z,-0.1658280117449449,0.2,0.6303484889503163,0.6268727411245226,0.45,0.6245382834051111,-0.0058102055452051715,-0.00515223354332043,-0.005698627521617872,-0.007579692605808208,-0.0031128100792576774,0.926923076923077,0.39969230769230774,0.007692307692307693,-0.0005098349236483668,0.75,-0.0035688444655387064,0.75,True
Q3,e208_resid_self_pc10,subject_center,-0.1692804890542979,0.1,0.6303484889503163,0.6249808366111685,0.45,0.6245731767600037,-0.005775312190312576,-0.005514767659860239,-0.0058611109742851,-0.007827194843537555,-0.003581976494148209,0.95,0.41650000000000004,0.007692307692307693,-0.00010944852266911442,0.625,-0.0007661396586841618,0.625,True
Q3,e208_resid_self_pc10,subject_rank,-0.16210086756319636,0.2,0.6303484889503163,0.6248411278382003,0.45,0.6245790986637999,-0.0057693902865163516,-0.004836832177850873,-0.005329280574914996,-0.007304690907965039,-0.002770201864905092,0.9038461538461539,0.391423076923077,0.011538461538461539,-0.0003787144466826514,0.625,-0.002651001126778449,0.625,True
Q3,e208_resid_self_pc10,global_z,-0.16264060157393745,0.2,0.6303484889503163,0.6258373699621589,0.45,0.6251284457583769,-0.005220043191939361,-0.004664831904145514,-0.0050810263162416325,-0.007077922227551325,-0.002755321996862875,0.926923076923077,0.40142307692307694,0.019230769230769232,-0.00022144422534579877,0.625,-0.001550109577420633,0.625,True
Q3,e208_resid_self_pc10,subject_z,-0.1658280117449449,0.1,0.6303484889503163,0.627948957181301,0.45,0.6251864713607376,-0.005162017589578682,-0.004508790348483006,-0.004946660347527998,-0.006742126281466587,-0.0028250209352031486,0.926923076923077,0.3935,0.007692307692307693,-0.00021189273734315006,0.625,-0.0014832491614023974,0.625,True
Q3,e208_resid_self_pc10,subject_rank,-0.16210086756319636,0.1,0.6303484889503163,0.6261655064840336,0.45,0.6252646384542949,-0.005083850496021336,-0.004232142298886115,-0.0048850882670341544,-0.006460117284891043,-0.0024733531082139493,0.8961538461538462,0.38884615384615395,0.011538461538461539,-8.535633318070002e-05,0.5,-0.0005974943322652193,0.5,True
Q3,e208_resid_self_pc10,global_z,-0.16264060157393745,0.1,0.6303484889503163,0.6271703138857366,0.45,0.6258365175450996,-0.0045119714052166415,-0.003905030395745807,-0.004328963709619105,-0.005883552989153107,-0.0020722740207818613,0.9192307692307692,0.39188461538461544,0.019230769230769232,8.303698848315111e-05,0.5,0.0005812589193819051,0.5,False
Q3,e208_resid_self_pc10,subject_center,-0.1692804890542979,0.05,0.6303484889503163,0.6289346788358126,0.45,0.6261152535241686,-0.004233235426147619,-0.0036147419156309373,-0.004335245967406753,-0.005464880461125754,-0.0022303363176928714,0.9076923076923077,0.3829230769230769,0.019230769230769232,0.00033864304219720365,0.5,0.0023705012953802035,0.5,False
S2,e208_pred_pc12,subject_z,-0.13607981988692905,0.2,0.5389534496173579,0.5352916125553697,0.45,0.5347381672332938,-0.004215282384064101,-0.0036473583744225627,-0.004125817185822084,-0.005391980929312229,-0.002275397573734461,0.9423076923076923,0.41884615384615387,0.007692307692307693,0.00026355503563510463,0.375,0.0018448852494455381,0.375,False
S2,e208_pred_pc12,subject_rank,-0.1394700563308327,0.2,0.5389534496173579,0.5357630551260928,0.45,0.5352359448234645,-0.0037175047938934336,-0.0029935728158170215,-0.0034313472192049055,-0.004355280267915082,-0.0016599471592684267,0.8769230769230769,0.409423076923077,0.011538461538461539,0.00010467609643043108,0.375,0.0007327326750126775,0.375,False
Q3,e208_resid_self_pc10,subject_z,-0.1658280117449449,0.05,0.6303484889503163,0.6315910249799771,0.45,0.6266673738961858,-0.0036811150541304904,-0.002806759348813481,-0.0036301041969252212,-0.004338989985548047,-0.0017606262875126677,0.8884615384615384,0.35469230769230775,0.007692307692307693,0.00024267230945898555,0.5,0.00169870616621276,0.5,False
