group_kind,target,n_cells,n_rows,expected_delta_focus_mean,abs_expected_share,swing_sum,top1_swing,support_prob_swing_weighted,mean_safe_density,e72_active_rate,group,target_group,context_type,edge_like,e72_active,safe_density_bin
target,S1,95,95,-2.383779573353141e-05,0.1978950919659192,0.00015068752816047568,5.831957756260338e-06,0.36107440520955364,0.45510417000790576,0.5368421052631579,S1,,,,,
target,S3,168,168,-2.2960680788588044e-05,0.19061351506868587,0.00018175320119099214,3.935892347215614e-06,0.361719227326244,0.17880423488724936,0.05357142857142857,S3,,,,,
target,Q2,165,165,-1.884687743689425e-05,0.1564618048303103,0.00019938293335200664,3.6046363311961524e-06,0.5332220741612331,0.18409262988253347,0.006060606060606061,Q2,,,,,
target,S4,116,116,-1.881207172874926e-05,0.15617285702274927,0.00012953472851369517,4.431570249905037e-06,0.49504663920066755,0.43511440511000904,0.3448275862068966,S4,,,,,
target,Q1,121,121,-1.4339902461183727e-05,0.11904608748477871,0.00014026133293374896,3.7916903077560728e-06,0.471280949607113,0.43313783298863556,0.3884297520661157,Q1,,,,,
target,S2,122,122,-1.3954372965015494e-05,0.1158455233070906,0.00016389820586559225,3.994973872111499e-06,0.4437286605189865,0.4530146132698209,0.39344262295081966,S2,,,,,
target,Q3,117,117,-7.705029251218731e-06,0.06396512032046603,0.00013041015477124925,4.561672802748853e-06,0.5720541261848242,0.4369226777147143,0.4017094017094017,Q3,,,,,
target_group,,501,192,-7.95649212158842e-05,0.6605269873644449,0.0006258736637307554,5.831957756260338e-06,0.4106341508773883,0.3573154918632498,0.2954091816367265,S,S,,,,
target_group,,403,184,-4.089180914929671e-05,0.33947301263555507,0.0004700544210570048,4.561672802748853e-06,0.5255126460257725,0.33227026058279036,0.23573200992555832,Q,Q,,,,
context_type,,741,156,-9.770096875102934e-05,0.8110876698614979,0.000916187724597232,5.831957756260338e-06,0.45800392319108213,0.3448892965306312,0.26720647773279355,between_train_runs,,between_train_runs,,,
context_type,,163,37,-2.275576161415158e-05,0.18891233013850203,0.00017974036019052818,3.914537352039933e-06,0.46960555055003733,0.35188348287825094,0.27607361963190186,after_train_run,,after_train_run,,,
edge_like,,552,118,-7.806040410897463e-05,0.6480368832220825,0.0006583623613580468,5.831957756260338e-06,0.4697348704544285,0.34791099439092116,0.2971014492753623,True,,,True,,
edge_like,,352,75,-4.239632625620629e-05,0.3519631167779175,0.00043756572342971343,4.431570249905037e-06,0.44511915375169936,0.34338951004137547,0.22443181818181818,False,,,False,,
e72_active,,661,193,-8.883440748004817e-05,0.7374798171155287,0.000785318059851251,5.831957756260338e-06,0.46084533287618384,0.30559476948355124,0.0,False,,,,False,
e72_active,,243,147,-3.1622322885132744e-05,0.2625201828844713,0.00031061002493650903,4.561672802748853e-06,0.4575334629704837,0.45646845189187363,1.0,True,,,,True,
target_context,S3,141,141,-2.0977189763115187e-05,0.17414709580377943,0.00015754776837236824,3.935892347215614e-06,0.36405883769879094,0.17765306966053257,0.06382978723404255,S3:between_train_runs,,between_train_runs,,,
