policy,n_cells,n_rows,n_subjects,n_blocks,expected_delta,benefit_sum,risk_sum,expected_abs_share_vs_all,benefit_share_vs_all_focus,top_benefit_focus_cells_kept,top_benefit_focus_share_kept,top_benefit_focus_expected_kept,cells_to_flip_expected,top1_expected_ratio,q_share,s_share,q2s3_share,edge_like_rate,between_train_runs_rate,all_veto_null_rate,all_low_adverse75_rate,all_safe_density_mean,broad_low_alpha_mass_sum,e101_plausible_mass_sum,e72_active_rate,context_gain_vs_all,veto_gain_vs_all,density_gain_vs_all,e72_reduction_vs_all,decoupling_pass
context_high__veto,904,193,10,36,-0.00012045673036518505,0.0001459286242450225,2.547189387983746e-05,0.3627377809790067,1.2656086577151304,19,0.25675675675675674,-2.3794688488620796e-05,32,0.04841537487012778,0.44579646017699115,0.5542035398230089,0.36836283185840707,0.6106194690265486,0.8196902654867256,1.0,1.0,0.346150416414107,17.322542957254214,2.6344407557316707,0.2688053097345133,0.19569026548672563,0.3285714285714286,0.11278205019860277,0.24148040455120096,True
context_high__high_density_p50,894,193,10,36,-0.00011907987592431586,0.0001443844298260616,2.5304553901745746e-05,0.3585915857178714,1.2522161801532858,19,0.25675675675675674,-2.3794688488620796e-05,32,0.04897517494867883,0.44966442953020136,0.5503355704697986,0.36129753914988816,0.610738255033557,0.8176733780760627,1.0,1.0,0.3492182425483609,15.23107258661359,2.622506936791442,0.2606263982102908,0.19367337807606266,0.3285714285714286,0.1158498763328567,0.2496593160754234,True
all_e166,1750,250,10,36,-0.0003320766037661691,0.0003726831657675184,4.060656200134921e-05,1.0,3.232203713426995,74,1.0,-0.00011530311787569082,74,0.023369627333927487,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.472,0.624,0.6714285714285714,0.7497142857142857,0.23336836621550422,66.016980925002,10.088385825000305,0.5102857142857142,0.0,0.0,0.0,0.0,False
context_edge_or_between,1351,193,10,36,-0.0002710718294575898,0.0003047881902915828,3.3716360833993e-05,0.8162930672721055,2.6433646887170674,68,0.918918918918919,-0.00010532676772603285,58,0.0286289670596178,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.6113989637305699,0.8082901554404145,0.6691339748334567,0.7483345669874167,0.23162100402542757,48.58493191194714,7.556189719697246,0.5107327905255367,0.1842901554404145,-0.002294596595114662,-0.0017473621900766512,-0.0004470762398224304,False
target_no_q2s3,1250,250,10,36,-0.00026881074717011703,0.0002992081371368782,3.03973899667612e-05,0.8094841495048517,2.5949700463387018,70,0.9459459459459459,-0.00011074694535647718,57,0.028869777559229922,0.4,0.6,0.0,0.472,0.624,0.5944,0.704,0.2638490197792716,49.48596273715445,8.267305440622017,0.6512,0.0,-0.07702857142857134,0.03048065356376739,-0.14091428571428577,False
target_s_only,1000,250,10,36,-0.0002370857939160441,0.0002563143120034865,1.9228518087442416e-05,0.7139491045957199,2.222960807354932,52,0.7027027027027027,-8.233429938435032e-05,53,0.03273290376512307,0.0,1.0,0.25,0.472,0.624,0.661,0.743,0.2377824977584026,45.368711388913525,5.735416935016811,0.538,0.0,-0.010428571428571343,0.004414131542898381,-0.027714285714285802,False
context_between_only,1092,156,10,26,-0.00022540217503342567,0.0002540396337476464,2.8637458714220705e-05,0.6787655994944529,2.203232995152208,59,0.7972972972972973,-9.318078602705955e-05,47,0.03442959889442433,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.5192307692307693,1.0,0.6785714285714286,0.7554945054945055,0.23403202264578546,39.31818552480448,6.270558290284021,0.5027472527472527,0.376,0.0071428571428572285,0.0006636564302812398,0.007538461538461494,False
transfer_plausible_pos,892,249,10,36,-0.00022029422149077733,0.00024090439401512552,2.0610172524348192e-05,0.6633837463776789,2.0893137883300468,62,0.8378378378378378,-9.995572387523627e-05,45,0.035227916664425846,0.39798206278026904,0.602017937219731,0.08856502242152467,0.4910313901345291,0.6154708520179372,0.35650224215246634,0.5089686098654709,0.16482646235234027,66.01698092500202,10.088385825000305,1.0,0.019031390134529147,-0.31492632927610503,-0.06854190386316394,-0.48971428571428577,False
context_high__transfer_pos,690,193,10,36,-0.00018223742197753757,0.00019914275583187089,1.6905333854333307e-05,0.5487812748948119,1.7271237716795154,58,0.7837837837837838,-9.271916348629417e-05,36,0.042584593175863876,0.3927536231884058,0.6072463768115942,0.09130434782608696,0.6347826086956522,0.7956521739130434,0.3521739130434783,0.5072463768115942,0.16075628088365984,48.58493191194713,7.556189719697245,1.0,0.17165217391304344,-0.3192546583850931,-0.07261208533184438,-0.48971428571428577,False
context_edge_only,826,118,10,36,-0.00017741790729442912,0.00019822292367708291,2.080501638265384e-05,0.5342680131098831,1.7191462583933643,51,0.6891891891891891,-7.826309062650853e-05,37,0.04374139338400003,0.42857142857142855,0.5714285714285714,0.2857142857142857,1.0,0.6864406779661016,0.6682808716707022,0.7493946731234867,0.2325022625953856,28.64800424465398,4.069174291884824,0.5302663438256658,0.528,-0.0031476997578692156,-0.0008661036201186301,-0.01998062953995161,False
