name,file,role,view,predicted_delta_vs_mixmin,predicted_public_lb,neighbor_indices,view_strict_gate,view_loose_gate
lejepa_bad,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,bad_lejepa_anchor,anchor_shape,0.00394017869999996,0.5802468192,"7,8,4",False,False
jepa_residual_bad,jepa/submission_jepa_latent_residual_probe.csv,bad_all_target_jepa_anchor,anchor_shape,0.004920687299999938,0.5812273278,"8,7,6",False,False
mixmin,analysis_outputs/submission_mixmin_0c916bb4.csv,active_frontier,contextall_anchor_residual,8.374331169144414e-18,0.5763066405,"0,3,2",False,False
blend_m0p50_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p50_s0p50.csv,raw-structure bridge,contextall_anchor_residual,0.0009531261610190755,0.5772597666610191,"2,0,3",False,False
inverse7blend_1040,analysis_outputs/submission_inverse7blend_1040423d.csv,raw-structure bridge,contextall_anchor_residual,0.001011270189298787,0.5773179106892988,"2,3,0",False,False
inv7_s1p00,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s1p00.csv,raw-structure bridge,contextall_anchor_residual,0.0010112701892987885,0.5773179106892988,"2,3,0",False,False
blend_m0p25_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p25_s0p50.csv,raw-structure bridge,contextall_anchor_residual,0.0010262431444955998,0.5773328836444956,"2,3,0",False,False
a2c8,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,previous_frontier,contextall_anchor_residual,0.00113268049999993,0.577439321,"1,2,3",False,False
raw05,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,raw05_positive_anchor,contextall_anchor_residual,0.0012196666999999596,0.5775263072,"2,3,1",False,False
inv7_s0p25,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s0p25.csv,raw-structure bridge,contextall_anchor_residual,0.0013242493511023204,0.5776308898511023,"2,3,1",False,False
pair_sensor_1bb_s0p65,analysis_outputs/submission_label_flow_sensorcurve_conservative_1bb_full_s0p65_0ee928c4.csv,S4/Q3 selector disambiguation,contextall_anchor_residual,0.001324710001900219,0.5776313505019003,"1,2,3",False,False
pair_sensor_1bb,analysis_outputs/submission_label_flow_focused_1bbfb735.csv,S4/Q3 selector disambiguation,contextall_anchor_residual,0.0013266089200782416,0.5776332494200782,"1,2,3",False,False
pair_sensor_6b,analysis_outputs/submission_label_flow_focused_6b9335b1.csv,S4/Q3 selector disambiguation,contextall_anchor_residual,0.0013284505732926116,0.5776350910732926,"2,1,3",False,False
inv7_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s0p50.csv,raw-structure bridge,contextall_anchor_residual,0.0013301850920885625,0.5776368255920886,"2,3,1",False,False
stage2,analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,stage2_local_cv_anchor,contextall_anchor_residual,0.0016383352000000006,0.5779449757,"3,2,1",False,False
ordinal,analysis_outputs/submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,ordinal_constraint_anchor,contextall_anchor_residual,0.0019967247000000094,0.5783033652,"4,3,6",False,False
final9,analysis_outputs/submission_hybrid_0p578_logit_after_subject_final9_strict.csv,subject_logit_anchor,contextall_anchor_residual,0.002120712299999996,0.5784273528,"5,4,7",False,False
q2_jepa_bad,jepa/submission_jepa_latent_q2_w0p45.csv,bad_q2_jepa_anchor,contextall_anchor_residual,0.0034946457000000083,0.5798012862,"6,3,2",False,False
lejepa_bad,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,bad_lejepa_anchor,contextall_anchor_residual,0.003940178699999962,0.5802468192,"7,8,4",False,False
jepa_residual_bad,jepa/submission_jepa_latent_residual_probe.csv,bad_all_target_jepa_anchor,contextall_anchor_residual,0.004920687299999944,0.5812273278,"8,6,7",False,False
mixmin,analysis_outputs/submission_mixmin_0c916bb4.csv,active_frontier,contextall_anchor_shape,8.731271413339258e-18,0.5763066405,"0,3,2",False,False
blend_m0p50_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p50_s0p50.csv,raw-structure bridge,contextall_anchor_shape,0.0009431163407029108,0.5772497568407029,"2,0,3",False,False
blend_m0p25_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p25_s0p50.csv,raw-structure bridge,contextall_anchor_shape,0.0010161603651623395,0.5773228008651624,"2,3,0",False,False
inverse7blend_1040,analysis_outputs/submission_inverse7blend_1040423d.csv,raw-structure bridge,contextall_anchor_shape,0.001025238767280964,0.577331879267281,"2,3,0",False,False
inv7_s1p00,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s1p00.csv,raw-structure bridge,contextall_anchor_shape,0.0010252387672809668,0.577331879267281,"2,3,0",False,False
a2c8,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,previous_frontier,contextall_anchor_shape,0.00113268049999993,0.577439321,"1,2,3",False,False
raw05,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,raw05_positive_anchor,contextall_anchor_shape,0.0012196666999999594,0.5775263072,"2,3,1",False,False
