base_index,tag,strategy,source,base,fallback,selector,target_scope,graft_alpha,selected_cells,selected_rows,prior,outcome,candidate,n_worlds,active_mean_vs_e95,active_p05_vs_e95,active_p50_vs_e95,active_p95_vs_e95,active_beat_e95_rate,active_mean_vs_e101,active_p95_vs_e101,active_beat_e101_rate,rank_vs_e101,pred_index
0,e110_control_0c916bb4,control,mixmin,mixmin,,,,,550,250,subject,tie,p0,25103,3.6587997678446364e-06,-7.316757396703777e-06,3.768586486819722e-06,1.4251615715485143e-05,0.3422698482253117,3.590263313973861e-06,1.153487527470382e-05,0.2964984264828905,45.0,0
0,e110_control_541e3973,control,e95,e95,,,,,0,0,subject,tie,p1,25103,0.0,0.0,0.0,0.0,0.0,-6.85364538707754e-08,2.675352837265094e-06,0.5165916424331753,4.0,1
0,e110_control_177569bc,control,e101,e101,,,,,50,48,subject,tie,p2,25103,6.85364538707754e-08,-2.6753528372650944e-06,9.598313361358573e-08,2.7167404407813234e-06,0.4834083575668247,0.0,0.0,0.0,38.0,2
0,e110_control_079aab57,control,e108_amp050,e108_amp050,,,,,50,48,subject,tie,p3,25103,7.02834773020919e-07,-4.7849438092538606e-06,7.577281325076591e-07,5.999242746842614e-06,0.4368800541767916,6.342983191501435e-07,3.2825023060612905e-06,0.388479464605824,44.0,3
0,e110_control_64514c53,control,e108_strict_amp038,e108_strict_amp038,,,,,50,48,subject,tie,p4,25103,3.279212688648337e-07,-3.842790453662366e-06,3.6964022207485053e-07,4.353191328968938e-06,0.46102059514799026,2.593848149940583e-07,1.6364508881876147e-06,0.41166394454846034,43.0,4
0,e110_control_00d7807f,control,e89,e89,,,,,158,135,subject,tie,p5,25103,7.405857626196747e-06,-1.0241509007458799e-05,6.893021294774522e-06,2.5807421936936533e-05,0.2753455762259491,7.3373211723259715e-06,2.6369876243300796e-05,0.26307612635939925,46.0,5
0,e110_control_58b23ed1,control,e85,e85,,,,,445,248,subject,tie,p6,25103,7.405857626196785e-06,-1.0241509007458989e-05,6.893021294774713e-06,2.5807421936936686e-05,0.2753455762259491,7.33732117232601e-06,2.6369876243300986e-05,0.26307612635939925,47.0,6
0,e110_control_28925de5,control,e90,e90,,,,,162,119,subject,tie,p7,25103,-5.176666782958054e-07,-5.476062422797414e-06,-8.088334028730473e-07,5.574484950355397e-06,0.5957455284228976,-5.862031321665808e-07,6.197432028872497e-06,0.5758275903278492,1.0,7
0,e110_control_a3f7c96f,control,e86,e86,,,,,134,115,subject,tie,p8,25103,1.8228402258144904e-07,-2.178101134866829e-06,-1.447008480386228e-07,3.5645048544170476e-06,0.536668924032984,1.1374756871067363e-07,4.880496777616148e-06,0.49077799466199257,40.0,8
0,e110_active_restored_tail_aa8e2df0,active_restored_tail,e89,e89,e95,restore_e101_active,active_q2s3,1.0,50,48,subject,tie,p9,25103,0.0,0.0,0.0,0.0,0.0,-6.85364538707754e-08,2.675352837265094e-06,0.5165916424331753,5.0,9
0,e110_active_restored_tail_4f647a1a,active_restored_tail,e89,e89,e90,restore_e101_active,active_q2s3,1.0,50,48,subject,tie,p10,25103,-5.176666782958054e-07,-5.476062422797414e-06,-8.088334028730473e-07,5.574484950355397e-06,0.5957455284228976,-5.862031321665808e-07,6.197432028872497e-06,0.5758275903278492,2.0,10
0,e110_active_restored_tail_cdd3201e,active_restored_tail,e89,e89,e86,restore_e101_active,active_q2s3,1.0,50,48,subject,tie,p11,25103,1.8228402258144904e-07,-2.178101134866829e-06,-1.447008480386228e-07,3.5645048544170476e-06,0.536668924032984,1.1374756871067363e-07,4.880496777616148e-06,0.49077799466199257,41.0,11
