basename,source_path,old_promotion_decision,old_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,incremental_bad_axis_vs_current,null_count,null_strict_rate,null_p90_q20,null_p90_median,null_p90_best,p90_dominance,mean_dominance,worst_mode_p90_dominance,matched_placebo_gate,train_policy_id,train_support_gate,train_gate_splits,train_actual_delta_mean,train_min_dominance,public_lb_if_known,public_delta_vs_current,known_public_worse_than_current,final_governor_decision,public_free_submission_ready,dateblock_p90_dominance,dateblock_null_strict_rate,dateblock_best_null_p90,row_p90_dominance,row_null_strict_rate,row_best_null_p90,subject_p90_dominance,subject_null_strict_rate,subject_best_null_p90
submission_mixmin_0c916bb4.csv,analysis_outputs/submission_mixmin_0c916bb4.csv,below_selector_resolution,False,-1.900796095830587e-05,-6.33111293214105e-05,5.91670009751272e-05,0.5294117647058824,0.014065559175398423,21.0,0.2857142857142857,-8.931974675421232e-05,1.0310510702865022e-05,-0.00018741501192965368,0.23809523809523808,0.14285714285714285,0.0,False,,,,,,0.5763066405,0.00014769110000001362,True,blocked_known_public_worse_than_current,False,0.5714285714285714,0.0,-4.776964516398549e-05,0.0,0.7142857142857143,-0.00018741501192965368,0.14285714285714285,0.14285714285714285,-6.504398830290678e-05
submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,analysis_outputs/submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,below_selector_resolution,False,5.137861603396653e-05,3.46675500438389e-05,6.521121715191591e-05,0.0,0.0008778503369258339,21.0,0.0,3.7232987307057045e-05,4.1601983490035475e-05,3.301440213184817e-05,0.047619047619047616,0.047619047619047616,0.0,False,,,,,,0.5762805676,0.00012161820000000656,True,blocked_known_public_worse_than_current,False,0.14285714285714285,0.0,3.998879706292547e-05,0.0,0.0,3.301440213184817e-05,0.0,0.0,3.424328446675964e-05
submission_e267_humansocial_tail_balanced_2936100f.csv,analysis_outputs/submission_e267_humansocial_tail_balanced_2936100f.csv,below_selector_resolution,False,3.091292025324595e-05,-2.6585372378752234e-07,6.698862836261027e-05,0.11764705882352941,0.004508382281702944,21.0,0.0,4.2137714608691116e-05,4.96141771609662e-05,2.8849805266287724e-05,0.09523809523809523,0.3333333333333333,0.0,False,,,,,,0.5763294974,0.00017054799999993708,True,blocked_known_public_worse_than_current,False,0.14285714285714285,0.0,4.2137714608691116e-05,0.14285714285714285,0.0,3.835933664081118e-05,0.0,0.0,2.8849805266287724e-05
submission_e276_only_media_game_m160_8f065696.csv,analysis_outputs/submission_e276_only_media_game_m160_8f065696.csv,below_selector_resolution,False,4.288851460156601e-05,-1.8379821242149237e-05,7.631684903180087e-05,0.11764705882352941,0.008126646946368332,21.0,0.0,5.499146364329648e-05,6.0662514545176354e-05,3.653476668786304e-05,0.0,0.0,0.0,False,only_media_game,False,0.0,-0.00015468853087,0.5733333333333334,,,False,below_selector_resolution,False,0.0,0.0,3.653476668786304e-05,0.0,0.0,4.403282766352909e-05,0.0,0.0,5.499146364329648e-05
submission_e95_hardtail_541e3973.csv,analysis_outputs/submission_e95_hardtail_541e3973.csv,below_selector_resolution,False,3.765679968502469e-05,-4.465112586322654e-06,8.267101046147977e-05,0.14705882352941177,-0.01237349062643911,21.0,0.047619047619047616,1.9546950753527958e-05,4.7074682249802785e-05,-0.00012275232998284268,0.19047619047619047,0.0,0.0,False,,,,,,0.5762913298,0.0001323803999999651,True,blocked_known_public_worse_than_current,False,0.42857142857142855,0.0,2.9186233891238484e-05,0.14285714285714285,0.14285714285714285,-0.00012275232998284268,0.0,0.0,-3.725356170336472e-05
submission_e101_q2s3tail_177569bc.csv,analysis_outputs/submission_e101_q2s3tail_177569bc.csv,below_selector_resolution,False,3.8001040801705036e-05,-4.62867323097779e-06,8.310874551914702e-05,0.14705882352941177,-0.011259605144943868,21.0,0.0,5.762544494963552e-06,4.4847232402742795e-05,-0.00010033168906776732,0.19047619047619047,0.0,0.0,False,,,,,,0.576300366,0.00014141659999999945,True,blocked_known_public_worse_than_current,False,0.42857142857142855,0.0,3.048514197573516e-05,0.0,0.0,-0.00010033168906776732,0.14285714285714285,0.0,5.762544494963552e-06
submission_e274_energy_top18_balanced_238aa96b.csv,analysis_outputs/submission_e274_energy_top18_balanced_238aa96b.csv,below_selector_resolution,False,4.8164557033861374e-05,2.6360881561892513e-07,8.319919792829695e-05,0.11764705882352941,0.0013637402946496402,21.0,0.0,5.56791195673222e-05,7.615179852407749e-05,2.5790763772542037e-05,0.3333333333333333,0.23809523809523808,0.0,False,,,,,,,,False,below_selector_resolution,False,0.2857142857142857,0.0,4.939611698408175e-05,0.0,0.0,2.5790763772542037e-05,0.7142857142857143,0.0,5.56791195673222e-05
submission_e276_only_bedtime_phone_m160_1e694a7d.csv,analysis_outputs/submission_e276_only_bedtime_phone_m160_1e694a7d.csv,below_selector_resolution,False,6.346294288917327e-05,3.045584935325571e-05,8.370646518050924e-05,0.0,0.0013898543186771362,21.0,0.0,4.3824611363506694e-05,7.17635048996728e-05,3.6556654818429996e-05,0.23809523809523808,0.23809523809523808,0.0,False,only_bedtime_phone,True,2.0,-0.00032714809447300004,0.9983333333333332,,,False,below_selector_resolution,False,0.2857142857142857,0.0,6.940251027256443e-05,0.0,0.0,3.6556654818429996e-05,0.42857142857142855,0.0,6.431814890442952e-05
submission_e176_abl_q2_to0p75_91e49725.csv,analysis_outputs/submission_e176_abl_q2_to0p75_91e49725.csv,below_selector_resolution,False,3.742142326902293e-05,-1.541843491298009e-06,8.611690892074154e-05,0.11764705882352941,-0.01572071552465948,21.0,0.19047619047619047,-3.562600564606299e-05,3.4177824921561996e-05,-9.254001230080887e-05,0.19047619047619047,0.0,0.0,False,,,,,,0.576311831,0.00015288160000004325,True,blocked_known_public_worse_than_current,False,0.42857142857142855,0.0,1.9552540781936957e-05,0.0,0.5714285714285714,-9.254001230080887e-05,0.14285714285714285,0.0,-1.925998781250241e-06
submission_e276_only_cognitive_money_m160_0de79a2d.csv,analysis_outputs/submission_e276_only_cognitive_money_m160_0de79a2d.csv,below_selector_resolution,False,7.013061173585187e-05,4.240158931822347e-05,9.000663344947468e-05,0.0,0.0008213905950809064,21.0,0.0,5.4472376122477744e-05,8.816878285524302e-05,4.8301288402641325e-05,0.47619047619047616,0.47619047619047616,0.0,False,only_cognitive_money,False,0.0,-9.344667109543694e-05,0.5216666666666666,,,False,below_selector_resolution,False,0.5714285714285714,0.0,7.849802525555144e-05,0.0,0.0,4.8301288402641325e-05,0.8571428571428571,0.0,8.816878285524302e-05
submission_e250_featnn1_decisive_all3_latent_no_targetid_featnn1_hgb_shallow_row5_risk_q0p10_drop_q3_p05_5173ecf6.csv,analysis_outputs/submission_e250_featnn1_decisive_all3_latent_no_targetid_featnn1_hgb_shallow_row5_risk_q0p10_drop_q3_p05_5173ecf6.csv,block_or_reject,False,8.33270500590079e-05,5.8492973351114425e-05,0.00010395380990731728,0.0,0.0017780536374398248,21.0,0.0,7.533500613087849e-05,7.875586932643527e-05,7.222869262818564e-05,0.14285714285714285,0.14285714285714285,0.0,False,,,,,,,,False,block_or_reject,False,0.2857142857142857,0.0,7.329059085045839e-05,0.14285714285714285,0.0,7.222869262818564e-05,0.0,0.0,7.455354583323063e-05
submission_e250_featnn1_decisive_all3_latent_no_targetid_featnn1_hgb_shallow_subject5_risk_q0p10_drop_q3_p05_5173ecf6.csv,analysis_outputs/submission_e250_featnn1_decisive_all3_latent_no_targetid_featnn1_hgb_shallow_subject5_risk_q0p10_drop_q3_p05_5173ecf6.csv,block_or_reject,False,8.33270500590079e-05,5.8492973351114425e-05,0.00010395380990731728,0.0,0.0017780536374398248,21.0,0.0,7.65108582517483e-05,8.273022037065552e-05,7.228463489227066e-05,0.0,0.0,0.0,False,,,,,,,,False,block_or_reject,False,0.0,0.0,7.370433636229098e-05,0.0,0.0,7.737283934712872e-05,0.0,0.0,7.228463489227066e-05
submission_e252_e237_e250_union_q3top31_67707aef.csv,analysis_outputs/submission_e252_e237_e250_union_q3top31_67707aef.csv,below_selector_resolution,False,7.20180739762424e-05,-2.863761871208988e-06,0.0001159878947053706,0.11764705882352941,-0.0022647832520354128,21.0,0.0,-5.902386358212212e-06,-1.0760987400861581e-06,-1.2503510566522898e-05,0.0,0.0,0.0,False,,,,,,,,False,below_selector_resolution,False,0.0,0.0,-7.861828096835883e-06,0.0,0.0,-1.2503510566522898e-05,0.0,0.0,-7.1913007337969785e-06
submission_e250_featnn1_decisive_all3_latent_no_targetid_featnn1_hgb_shallow_row5_risk_q0p10_drop_q3_top13_8ae24a48.csv,analysis_outputs/submission_e250_featnn1_decisive_all3_latent_no_targetid_featnn1_hgb_shallow_row5_risk_q0p10_drop_q3_top13_8ae24a48.csv,block_or_reject,False,9.534673799416155e-05,6.504937421221232e-05,0.00011728176645926523,0.0,0.001960473302600352,21.0,0.0,8.382499019286487e-05,9.245676384931064e-05,7.979014836757926e-05,0.09523809523809523,0.09523809523809523,0.0,False,,,,,,,,False,block_or_reject,False,0.14285714285714285,0.0,8.290871468489773e-05,0.0,0.0,7.979014836757926e-05,0.14285714285714285,0.0,8.275960027593363e-05
