source,field,scope,modifier,mask_kind,quantile,rows,evaluated,strict,strict_actionable,post101_submit_gate,best_all_minus_e95,best_all_delta_vs_mixmin,best_tail,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_sensor_beat
e86,low_alpha,s_all,raw,hard,0.7,4,4,4,0,0,-8.386890119060908e-07,-2.7046080239845338e-05,0.0008775652776202937,1.1518974128511443e-06,2.91036542612846e-06,0.05263157894736842
e90,low_alpha,all,raw,hard,0.85,4,4,4,0,0,-9.456358702752965e-07,-2.7153027098214544e-05,0.0009167088780559412,2.2118010777199066e-06,5.272376980291943e-06,0.05263157894736842
e90,low_alpha,all,raw,hard,0.7,4,4,4,0,0,-1.0228592116634516e-06,-2.72302504396027e-05,0.0009281620336553424,2.446908376274876e-06,6.176605910586562e-06,0.0
e86,low_alpha,e95_fallback,raw,hard,0.7,4,4,4,0,0,-5.111798971890735e-07,-2.671857112512832e-05,0.0009039143365043635,2.5389311977013915e-06,7.552144425686326e-06,0.10526315789473684
e86,low_alpha,all,raw,hard,0.85,4,4,4,0,0,-1.3442858095569221e-06,-2.755167703749617e-05,0.0009870159534612327,3.520897117634816e-06,9.168040505049968e-06,0.03508771929824561
e86,low_alpha,all,raw,hard,0.7,4,4,4,0,0,-1.5119576247668576e-06,-2.7719348852706105e-05,0.0010039927066377837,3.863127448355578e-06,9.806519540633958e-06,0.017543859649122806
noq2,low_alpha,s_all,raw,hard,0.7,4,1,1,0,0,-2.6459793855959646e-07,-2.6471989166498844e-05,0.000820915057284297,1.12415904020986e-06,2.9136249269234827e-06,0.05263157894736842
e90,low_alpha,s_all,nonactive_low_e72,hard,0.7,4,2,0,0,0,-2.4013764199359855e-08,-2.6231404992138607e-05,0.0007886584238275682,3.3743026207728505e-09,4.910832078590967e-07,0.8947368421052632
e90,low_alpha,non_q2s3,nonactive_low_e72,hard,0.7,4,1,0,0,0,-1.895937384865931e-08,-2.6226350601787907e-05,0.0007888958585142539,3.094450029138379e-08,6.594608913365951e-07,0.8947368421052632
noq2,low_alpha,s_all,nonactive_low_e72,hard,0.7,4,2,0,0,0,-2.1468628541576606e-08,-2.6228859856480824e-05,0.0007895361528661863,6.251042690219574e-08,5.571475373126786e-07,0.8596491228070176
noq2,low_alpha,non_q2s3,nonactive_low_e72,hard,0.7,4,2,0,0,0,-2.1419911955256055e-08,-2.6228811139894503e-05,0.0007895360568287442,6.256589754110784e-08,5.571793960054702e-07,0.8596491228070176
e86,low_alpha,non_q2s3,nonactive_low_e72,hard,0.7,4,2,0,0,0,-2.1186491561131504e-08,-2.622857771950038e-05,0.0007895366722858433,6.32395226258407e-08,5.591118175991745e-07,0.8596491228070176
e86,low_alpha,s_all,nonactive_low_e72,hard,0.7,4,2,0,0,0,-2.1186491561131504e-08,-2.622857771950038e-05,0.0007895366722858433,6.32395226258407e-08,5.591118175991745e-07,0.8596491228070176
noq2,tail_equal,e95_fallback,soft_nonactive,soft,0.7,4,4,0,0,0,-7.145155078713827e-08,-2.6278842778726386e-05,0.0007941886589625331,1.5198080352895759e-07,5.716763885871871e-07,0.15789473684210525
noq2,tail_equal,e95_fallback,soft_nonactive,soft,0.85,4,3,0,0,0,-3.6882864651310854e-08,-2.6244274092590558e-05,0.0007914122002346434,1.5316707189955701e-07,6.382509524195521e-07,0.543859649122807
e89,tail_equal,e95_fallback,soft_nonactive,soft,0.7,4,2,0,0,0,-2.0595019800673242e-08,-2.622798624773992e-05,0.0007912717783116037,1.7194129477692188e-07,5.713465822584087e-07,0.3684210526315789
e90,tail_equal,e95_moved,soft_nonactive,soft,0.85,4,4,0,0,0,-6.08929272560843e-08,-2.626828415519533e-05,0.0007955052089542638,1.7897134313681466e-07,5.169939890777908e-07,0.03508771929824561
e90,tail_equal,non_q2s3,soft_nonactive,soft,0.85,4,4,0,0,0,-6.682301545435365e-08,-2.62742142433936e-05,0.0007956744224602065,1.8217682572870732e-07,5.193952399359177e-07,0.017543859649122806
