variant,family,file,candidate_origin,gate_count,rank_mean,rank_median,rank_min,top1_count,top5_count,top10_count,score_mean,score_std,pred_mean,pred_std_mean,gate_rate,top1_rate,top5_rate,top10_rate
e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,e371_generated,95,1.7789473684210526,2.0,1.0,47,94,94,7.885303809395612,0.42597904592201,0.0003401213995821603,0.00013742198719331623,0.9693877551020408,0.47959183673469385,0.9591836734693877,0.9591836734693877
e371_identity_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q21p08_s11p15_3fcd04a5.csv,e371_generated,95,2.8210526315789473,2.0,1.0,46,82,94,7.887116166375018,0.4328978336599598,0.0003366197833118084,0.00013713708784205618,0.9693877551020408,0.46938775510204084,0.8367346938775511,0.9591836734693877
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_3aeb0277.csv,e364_existing,98,190.46938775510205,196.0,1.0,2,2,2,5.765511769925362,0.28837922124863014,0.000369499080772194,0.0001576612577527418,1.0,0.02040816326530612,0.02040816326530612,0.02040816326530612
e371_transfer_floor0.65_g1.0_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g1_0_q21p08_s11p15_7b41c9fd.csv,e371_generated,95,3.7473684210526317,4.0,1.0,1,95,95,7.868516624040919,0.4246496518897677,0.0003401627334961185,0.0001377121329132903,0.9693877551020408,0.01020408163265306,0.9693877551020408,0.9693877551020408
e371_riskdamp0.25_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,analysis_outputs/submission_e371_q2rowsafe_e371_riskdamp0_25_q21p08_s11p15_a0e78083.csv,e371_generated,95,3.3157894736842106,3.0,1.0,1,93,94,7.874313097321308,0.42614710008945317,0.0003396396394401306,0.00013822795714139686,0.9693877551020408,0.01020408163265306,0.9489795918367347,0.9591836734693877
e371_identity_q20p85_s11p15,q2_rowwise_safety_lifestyle_gate,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q20p85_s11p15_a39f6623.csv,e371_generated,95,50.084210526315786,50.0,1.0,1,1,1,7.536710728227218,0.3937624651148176,0.0003394701656664593,0.0001422443964064218,0.9693877551020408,0.01020408163265306,0.01020408163265306,0.01020408163265306
e371_transfer_floor0.5_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_5_g0_7_q21p08_s11p15_9744285a.csv,e371_generated,95,4.71578947368421,5.0,2.0,0,88,95,7.855722439090052,0.4218324836526086,0.00034029919518442495,0.0001377750858999388,0.9693877551020408,0.0,0.8979591836734694,0.9693877551020408
e371_transfer_floor0.65_g1.5_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g1_5_q21p08_s11p15_57dc6e86.csv,e371_generated,95,5.863157894736842,6.0,3.0,0,16,95,7.843274464934715,0.4225153145185603,0.0003403673692721893,0.0001377363092289825,0.9693877551020408,0.0,0.16326530612244897,0.9693877551020408
e371_transfer_floor0.5_g1.0_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_5_g1_0_q21p08_s11p15_221d9678.csv,e371_generated,95,8.536842105263158,8.0,5.0,0,2,91,7.8096803069053715,0.41929705018701025,0.00034055649827791534,0.00013793590220160382,0.9693877551020408,0.0,0.02040816326530612,0.9285714285714286
e371_badtop0.7_weaktransfer_damp45_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,analysis_outputs/submission_e371_q2rowsafe_e371_badtop0_7_weaktransfer_damp45_q21p08_s11p15_4df128c0.csv,e371_generated,95,19.68421052631579,19.0,2.0,0,2,2,7.7303564409745595,0.41055331117728555,0.0003405974883720987,0.0001379616810230237,0.9693877551020408,0.0,0.02040816326530612,0.02040816326530612
e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_1198dfee.csv,e364_existing,89,188.9438202247191,198.0,2.0,0,2,2,5.522111037673497,0.34110156384450174,0.00035197926669357845,0.00015450450291320899,0.9081632653061225,0.0,0.02040816326530612,0.02040816326530612
