role,file,family,public_lb,public_delta_vs_mixmin,mean_abs_logit_move_vs_mixmin,moved_cell_frac,entropy_delta_vs_mixmin,confidence_delta_vs_mixmin,kl_if_mixmin_calibrated,hard_worst_tail_mean,hard_worst_tail_p95,hard_best_case_mean,break_even_shift_from_mixmin_mean,e72_adverse_exposure_all,e72_adverse_positive_exposure_all,e72_adverse_negative_exposure_all,e72_adverse_active_mean,e72_adverse_active_positive_mean,e72_adverse_weighted_mean,e72_adverse_weighted_positive_mean,e72_adverse_weighted_p90,e72_adverse_weighted_p99,e72_adverse_positive_weight_frac,e72_same_direction_weight_frac,posterior_ce_delta_all_vs_mixmin,e72_direction_mass_agree,target_manifold_delta_mean,conditional_logit_resid_rms_delta_vs_mixmin,soft_health_gain_sum,soft_health_per_e72_tail,e72_tail_required_fraction_of_full_exposure
frontier_mixmin,submission_mixmin_0c916bb4.csv,known_public,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0,-0.0,101136700.00000408
conservative_e85,submission_e85_inverse_conflict_pruned_58b23ed1.csv,live,,,0.004748083752526344,0.308,3.2228914007804525e-05,1.3514171933253438e-05,9.25476585901615e-06,0.00230043360777214,0.01533019681064526,-0.0024476501447542164,0.007349494276522917,0.0003722622685365901,0.0007392011614654666,-0.0003669388929288765,0.0006204371142276501,0.0012320019357757775,0.0017890029958822916,0.0024102306289520226,0.007023363106418587,0.03898195599869436,0.30341782887740576,0.30341782887740887,-0.0002070231923834,0.64946937670813,-0.0007421128757941,-0.001677615258594,0.0009491360681774999,1.2840024020144054,0.13681891362654464
min_contam_e89,submission_e89_e72decontam_00d7807f.csv,live,,,0.0053930142218942476,0.308,1.9066330087003805e-05,3.1524207205601295e-05,1.1194028181833474e-05,0.002650949913921968,0.01835996222927264,-0.0027420643079722846,0.008922415532579813,0.00038130353279034346,0.0007991094803102651,-0.00041780594751992167,0.0006355058879839058,0.0013318491338504418,0.001804332237941461,0.002497429776024249,0.007577293927482243,0.03898195599869436,0.30725806782426884,0.30725806782427373,-0.0002359030997179,0.6358381147226713,-0.0008064667371281,-0.0017658402311405,0.001042369836846,1.3044143027021424,0.12656175701253677
noq2_contrast,submission_e87_noq2_source_consensus_a85c4e39.csv,live,,,0.00582710107715536,0.308,4.26075652771459e-05,1.7136171933345758e-05,1.3741663919056323e-05,0.0028202888393072793,0.018746937600580823,-0.0030068122378480878,0.008210548214271989,0.0004582671694032835,0.0009067982716429349,-0.00044853110223965154,0.0007637786156721389,0.001511330452738225,0.002166745211031603,0.002924101791929996,0.008482561198173033,0.04664908912410115,0.3156268001192566,0.3198463735507366,-0.0002571956700652,0.6505032321780749,-0.0009141844355768,-0.0020592078365987,0.001171380105642,1.2917758458316428,0.11153164165744736
balanced_e90,submission_e90_e72pareto_28925de5.csv,live,,,0.005777398679573552,0.32285714285714284,5.7706074232520514e-05,-3.0196214086081166e-05,1.2516592119249648e-05,0.00279194413055124,0.01849442073465566,-0.002985454549022319,0.008737875439803373,0.0004925265271984368,0.0009340306314570177,-0.000441504104258581,0.0008208775453307282,0.0015567177190950298,0.002244561454807519,0.0029883889789963968,0.008690628135270884,0.03898195599869436,0.37181946833365975,0.3730150015186626,-0.0002507669975615,0.657990030135714,-0.0008779452781059,-0.0019894461442222,0.0011287122756674,1.2084317542115954,0.10827985344972954
max_upside_e86,submission_e86_e85_consensus_a3f7c96f.csv,live,,,0.006064145347338554,0.33085714285714285,6.871021648613731e-05,-4.988349809442529e-05,1.333451444160868e-05,0.00292307752318128,0.0186171621677805,-0.0031410678241572784,0.009171982937461434,0.0005618282757048287,0.0010102416357210917,-0.000448413360016263,0.0009363804595080475,0.0016837360595351525,0.00256811321340045,0.0033252470618392728,0.009001706453525243,0.04218777884227154,0.40808492206760344,0.4092804552526066,-0.0002556211126174,0.6681660788178457,-0.0009217825476131,-0.0021207368976084,0.0011774036602305,1.165467366848946,0.10011139545610113
failed_e72,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,known_public,0.5764077772,0.00010113670000000408,0.006684221643935942,0.5102857142857142,0.0005996079904102672,-0.0005105945422115677,1.040724746404702e-05,0.0023309447220718226,0.0087567651670725,-0.0043532769218641255,0.009544586762519673,0.002330944722071791,0.002330944722071791,0.0,0.0038849078701196516,0.0038849078701196516,0.005738281117941713,0.005738281117941713,0.010083712960457847,0.02583799584208768,0.9999999999999925,1.0,-0.0002872997115254,1.0,-0.0014686869374966,-0.0043615661718315,0.001755986649022,0.7533368902493348,0.04338871660016159
raw05,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,known_public,0.5775263072,0.001219666699999955,0.049029823053049724,0.9994285714285714,-0.00016098471781524285,0.0007072771815651766,0.0003255572107400582,0.02506467890944378,0.07402425164393012,-0.02396514414360595,0.004587709639883956,-0.0006519446249022791,0.003864338285373145,-0.004516282910275424,-0.0010865743748371317,0.006440563808955241,-0.000710473871934232,0.007437919485040135,0.024087175615430723,0.05093157380748625,0.46706686165816474,0.4670668616581693,,,0.0015907052149209,0.0026010714861337,-0.0,-0.0,0.02617180290779496
previous_a2c8,submission_frontier_cvjepa_refine_a2c8d2c8.csv,known_public,0.577439321,0.0011326804999999274,0.04561420000223732,0.7177142857142857,0.00039127072596578064,0.00012501731929034633,0.000290920327493302,0.0225491143600051,0.06932595441272747,-0.023065085642232225,0.004311975389912513,0.0004828633952345149,0.004146122907110905,-0.00366325951187639,0.0008047723253908584,0.006910204845184842,0.0014434522838158803,0.00799269069923988,0.026562067119092925,0.04873485573126035,0.42052675197482337,0.4205267519748269,,,0.0001605591971364,-0.0015089960348757,-0.0,-0.0,0.024393078121768684
stage2,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,known_public,0.5779449757,0.0016383352000000073,0.0666787983091393,0.9994285714285714,0.0003267581108275971,0.0004793134487176239,0.0006648864241462402,0.03291621497393391,0.11095032357424058,-0.033762583335205376,0.006216595495101832,0.00028877081101970033,0.005983138997572111,-0.00569436818655241,0.00048128468503283374,0.009971898329286851,0.0024674628053283363,0.012371008797647867,0.03776515931302532,0.10706882276854268,0.543639268841742,0.5436392688417463,,,-0.0010931621943539,-0.0033285752278449,0.0010931621943539,0.1827071366075208,0.01690361865638431
bad_q2_jepa,submission_jepa_latent_q2_w0p45.csv,known_public,0.5798012862,0.003494645700000021,0.09360039163942636,1.0,0.000557476556867397,-0.00030720796560770706,0.002427909421469494,0.04616123590790222,0.13957736052108993,-0.04743915573152415,0.009396576190092168,0.001728232867473783,0.007744391394005141,-0.0060161585265313565,0.002880388112456305,0.012907318990008566,0.007982092583220612,0.019271409500273912,0.04845858063925368,0.247731015116547,0.5733128997491743,0.5733128997491784,,,-0.0029587031459877,-0.0063526330327969,0.0029587031459877,0.38204463011721734,0.013059347706164964
bad_residual_jepa,submission_jepa_latent_residual_probe.csv,known_public,0.5812273278,0.0049206872999999485,0.13532358447411616,1.0,0.0007182666952390588,-0.0024917901768698636,0.003185001069710098,0.06878974070877732,0.21623232937814338,-0.06653384376533884,0.013175108891645347,-0.0007666403262534115,0.01103984842752702,-0.011806488753780433,-0.0012777338770890191,0.0183997473792117,0.002367036265333617,0.023829141262571567,0.07463647572992549,0.20490708170882543,0.5251166186215293,0.5251166186215337,,,0.0048592875103643,0.005546233360817,-0.0,-0.0,0.009161058745939515
bad_lejepa,submission_lejepa_targetwise_strict_best_scale0p5.csv,known_public,0.5802468192,0.003940178699999963,0.1392746863885416,1.0,0.006696083241239965,-0.008725269609540962,0.0029818829703442407,0.06228302969120106,0.17334785732216756,-0.07699165669734052,0.013392199278993778,-0.0027772109819045646,0.011812807879462943,-0.014590018861367507,-0.00462868496984094,0.019688013132438238,-0.0009463160398269835,0.024472668262978454,0.08189183986657489,0.1520156642285556,0.541954695644979,0.5419546956449831,,,0.008571196611137,-0.0117935902232225,-0.0,-0.0,0.008561613887522272
ordinal_q,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,known_public,0.5783033652,0.0019967247000000077,0.1154966574217845,1.0,-0.0033161639064055418,0.0028353063211509163,0.0030500764957244043,0.06328318079824181,0.2139274969851432,-0.0522134766235427,0.011107415033382487,0.002971263782754631,0.012885880192328475,-0.009914616409573845,0.004952106304591052,0.021476466987214126,0.007602323389263834,0.02467362352531062,0.0731444846781677,0.32411039771504857,0.544061649680088,0.5440616496800921,,,0.0083915982812094,0.0247859399744808,-0.0,-0.0,0.007848645065966584
final9,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,known_public,0.5784273528,0.002120712299999994,0.15638793946693838,1.0,0.004991744386349493,-0.005050113851311814,0.004134252183768665,0.07013421418749712,0.21008140907967607,-0.08625372527944124,0.014992058806786706,0.01941185137493507,0.025058260452180982,-0.00564640907724591,0.03235308562489178,0.041763767420301634,0.040179710111325526,0.04994272478482826,0.12170100368752401,0.5828225543980998,0.732018128015294,0.7320181280152971,,,-0.0208013641583258,-0.053129683396413,0.0208013641583258,0.8301200395450915,0.004036062287283212
