model,known_rows,feature_count,loo_spearman,loo_mae,perm_spearman_mean,perm_spearman_p95,beats_perm_p95
extratrees,13,123,0.8296703296703297,0.0002157337156517091,,,False
ridge_10,13,123,0.6593406593406593,0.001019056684995751,0.021565934065934073,0.6217032967032967,True
ridge_1,13,123,0.6208791208791209,0.0010455530277681912,0.021565934065934066,0.37939560439560444,True
knn3,13,123,0.4725274725274725,0.00036886853865367375,-0.0728021978021978,0.44752747252747244,True
