selector,feature_type,feature,level,n_valid,selected_n,selected_mean,population_mean,diff,lift,perm_p_two_sided,z,abs_z
e230_risk21,continuous,abs_logit_e224_minus_e95_q3,,250.0,21.0,0.10226372973353595,0.03805550213370384,0.06420822759983211,2.687225867406934,0.0001999600079984003,9.364095182334282,9.364095182334282
e230_risk21,continuous,prob_gap,,250.0,21.0,-0.04326620365490134,-0.0051130200102018535,-0.03815318364469948,8.461966426306873,0.0001999600079984003,-8.81847932185223,8.81847932185223
e230_risk21,continuous,abs_logit_e224_minus_e154_q3,,250.0,21.0,0.09561662948537815,0.03577790455005223,0.05983872493532592,2.672505019094699,0.0001999600079984003,8.81592722592462,8.81592722592462
e230_risk21,continuous,abs_logit_step,,250.0,21.0,0.19123325897075633,0.0715558091001045,0.11967744987065182,2.672505019132046,0.0001999600079984003,8.76215024864189,8.76215024864189
e230_risk21,continuous,logit_step,,250.0,21.0,-0.19123325897075633,-0.023001195264644468,-0.16823206370611185,8.314057455658329,0.0001999600079984003,-8.563276584313085,8.563276584313085
e230_risk21,continuous,e208_resid_self_pc10,,250.0,21.0,1.540533497990179,0.11412073272593633,1.4264127652642427,13.499155334695475,0.0001999600079984003,8.437171324746851,8.437171324746851
e230_risk21,continuous,e224_top_abs_50,,250.0,21.0,0.8571428571428571,0.2,0.657142857142857,4.2857142856928565,0.0001999600079984003,7.969147212458344,7.969147212458344
e230_risk21,continuous,abs_logit_e237_minus_e224_q3,,250.0,21.0,0.05711209386720307,0.009282638642174058,0.04782945522502901,6.15257105900596,0.0001999600079984003,7.767335253498771,7.767335253498771
e230_risk21,continuous,e224_top_abs_25,,250.0,21.0,0.5238095238095238,0.1,0.42380952380952386,5.238095238042857,0.0001999600079984003,6.892815863873684,6.892815863873684
e230_risk21,continuous,e208_resid_self_abs_mean,,250.0,21.0,0.8935643121333184,0.6597890847464398,0.23377522738687861,1.3543181189112354,0.0001999600079984003,4.005632769326195,4.005632769326195
e230_risk21,continuous,min_train_gap,,250.0,21.0,9.095238095238095,5.244,3.851238095238095,1.7344084849802366,0.0003999200159968006,3.936199116298166,3.936199116298166
e230_risk21,continuous,e208_resid_self_norm,,250.0,21.0,9.035908747144608,6.739938672280147,2.295970074864462,1.3406514786708565,0.0011997600479904018,3.8327728662246234,3.8327728662246234
e230_risk21,continuous,e208_nn_target_dist,,250.0,21.0,8.928423234769872,7.051430716636272,1.8769925181335996,1.2661860540874337,0.0013997200559888023,3.6272625346884584,3.6272625346884584
e230_risk21,continuous,e208_resid_nn_norm,,250.0,21.0,6.272908395342351,5.191660639152297,1.081247756190054,1.2082662622504143,0.0005998800239952009,3.6042528213118463,3.6042528213118463
e230_risk21,continuous,prev_train_gap,,250.0,21.0,10.952380952380953,6.916,4.036380952380952,1.5836294031780462,0.0003999200159968006,3.5986346881553395,3.5986346881553395
e230_risk21,continuous,e215_pred_pc10,,250.0,21.0,0.4440790771143507,-0.05931576106490911,0.5033948381792598,-7.486696101494553,0.01279744051189762,2.4424228644278947,2.4424228644278947
e230_risk21,continuous,between_train_runs,,250.0,21.0,0.38095238095238093,0.624,-0.24304761904761907,0.6105006104996321,0.020995800839832032,-2.3812196472068123,2.3812196472068123
e230_risk21,category,subject_id,id02,250.0,21.0,0.2857142857142857,0.128,0.1577142857142857,2.2321428571254183,0.03559288142371526,2.2375796892846718,2.2375796892846718
e230_risk21,continuous,e215_resid_norm,,250.0,21.0,5.033344909997489,4.190743714461499,0.8426011955359902,1.2010624492800943,0.04619076184763048,2.2126033812475137,2.2126033812475137
e230_risk21,continuous,e215_resid_pc10,,250.0,21.0,-0.4813414674409612,-0.03041229540065952,-0.45092917204030164,15.827199529514962,0.03079384123175365,-2.1890083073757394,2.1890083073757394
e230_risk21,continuous,e208_pred_to_self_cos,,250.0,21.0,0.45993890790506486,0.5243012857163201,-0.0643623778112552,0.8772416174333845,0.03679264147170566,-2.0948756971338547,2.0948756971338547
e230_risk21,continuous,subject_pos_frac,,250.0,21.0,0.6262532880856208,0.5,0.12625328808562075,1.2525065761687366,0.041191761647670466,2.0224357597745355,2.0224357597745355
e230_risk21,continuous,gap_adjacent_2,,250.0,21.0,0.14285714285714285,0.344,-0.20114285714285712,0.4152823920253709,0.05538892221555689,-2.0218461493176085,2.0218461493176085
e230_risk21,category,subject_id,id01,250.0,21.0,0.23809523809523808,0.108,0.1300952380952381,2.204585537898458,0.060587882423515295,2.0180555158739932,2.0180555158739932
e230_risk21,continuous,subject_test_pos_frac,,250.0,21.0,0.6262532880856208,0.5,0.12625328808562075,1.2525065761687366,0.04499100179964007,2.0048584694454954,2.0048584694454954
e230_risk21,continuous,full_margin,,250.0,21.0,0.11374358906670472,0.14982600580313932,-0.0360824167364346,0.7591712029979395,0.05538892221555689,-1.8995420492760686,1.8995420492760686
