outcome,target_delta_vs_e95,tolerance,selection_mode,n_scenarios,e101_delta_mean,e101_delta_min,e101_delta_p05,e101_delta_p50,e101_delta_p95,e101_delta_max,model_tension
strong_win_5e_minus5,-5e-05,7.5e-06,nearest,240,-3.8411533891749626e-05,-5.187247942192179e-05,-4.241064674678465e-05,-3.80239643392599e-05,-3.503424298653357e-05,-3.462693382709424e-05,True
e95_edge_win,-1.53107e-05,4e-06,within_tolerance,841,-1.4942134365284326e-05,-1.9284904724585004e-05,-1.8780235335413503e-05,-1.4677131202061234e-05,-1.1601243058258053e-05,-1.1318876080868321e-05,False
small_win_5e_minus6,-5e-06,3e-06,within_tolerance,742,-5.2325197462978826e-06,-7.99491914028712e-06,-7.6927425356077e-06,-5.30935589508766e-06,-2.515856875584586e-06,-2.0117266617106096e-06,False
tie,0.0,3e-06,within_tolerance,305,-1.2178799310222333e-06,-2.9937060567191705e-06,-2.8469568945560315e-06,-1.3834933596238725e-06,6.278376935136552e-07,2.673782332455213e-06,False
small_loss_1e_minus5,1e-05,5e-06,nearest,240,-8.209301910443471e-07,-2.298919586101193e-06,-2.10443204043545e-06,-9.58343182661105e-07,6.861110743942674e-07,2.673782332455213e-06,True
large_loss_4e_minus5,4e-05,1e-05,nearest,240,-8.209301910443471e-07,-2.298919586101193e-06,-2.10443204043545e-06,-9.58343182661105e-07,6.861110743942674e-07,2.673782332455213e-06,True
