step,kind,n_folds,mean_selected,mean_fit_delta,mean_val_delta,median_val_delta,val_win_rate,mean_cumulative_val_delta,final_val_loss
1,subject,10,3.0,-0.0005452363950775863,0.0006947746318628934,0.00031873779337066033,0.3,0.0006947746318628934,0.5751452281996753
2,logit,10,3.0,-0.00037445916937096647,0.0007630664419578159,0.0008606082665146286,0.0,0.0014578410738207092,0.5759082946416332
3,subject,10,3.0,-0.0003565513987219937,9.422537670192855e-05,-3.0584305280356716e-05,0.5,0.0015520664505226378,0.5760025200183351
4,logit,10,3.0,-0.00026415060387210423,0.000675427894468128,0.0006631820084476159,0.0,0.002227494344990766,0.5766779479128031
5,subject,10,3.0,-0.0002609868327734244,-0.0001373505496896299,-0.00017617621716331522,0.8,0.0020901437953011357,0.5765405973631135
6,logit,10,3.0,-0.00019903006156531954,0.00044002837786210057,0.00044453439612374135,0.1,0.0025301721731632366,0.5769806257409756
7,subject,10,2.9,-0.00020517309577597898,2.9590355520303646e-06,-0.00010621065144167385,0.6,0.002533131208715267,0.5769835847765277
8,logit,10,2.9,-0.00016283239336056798,0.0004206836145451365,0.0003995816338802638,0.1,0.0029538148232604033,0.5774042683910727
