fold,target,feature,mode,corr,abs_corr,c_value,base_loss,best_weight,best_blend_loss,inner_delta
geom_r00,Q1,deep__phone_screen_m_screen_use_afternoon_count,subject_z,0.22038338969455323,0.22038338969455323,0.5,0.5806958487980484,0.45,0.5663294419648242,-0.01436640683322421
geom_r00,Q1,deep__phone_screen_m_screen_use_afternoon_count,subject_z,0.22038338969455323,0.22038338969455323,0.2,0.5806958487980484,0.45,0.5673186636422424,-0.013377185155805993
geom_r00,Q1,deep__phone_activity_m_activity_afternoon_count,subject_z,0.1978896256168224,0.1978896256168224,0.5,0.5806958487980484,0.45,0.5680780307340731,-0.012617818063975217
geom_r00,Q1,deep__phone_screen_m_screen_use_afternoon_count,subject_z,0.22038338969455323,0.22038338969455323,0.1,0.5806958487980484,0.45,0.5690233804377481,-0.011672468360300225
geom_r00,Q1,deep__phone_activity_m_activity_afternoon_count,subject_z,0.1978896256168224,0.1978896256168224,0.2,0.5806958487980484,0.45,0.5690291932828374,-0.011666655515210955
geom_r00,Q1,deep__phone_activity_m_activity_afternoon_count,subject_z,0.1978896256168224,0.1978896256168224,0.1,0.5806958487980484,0.45,0.570615170481782,-0.010080678316266356
geom_r00,Q1,deep__ambience_len_afternoon_sum,subject_z,0.19133562586381078,0.19133562586381078,0.5,0.5806958487980484,0.45,0.5711925316041767,-0.009503317193871652
geom_r00,Q1,deep__usage_early_time_sum_max,subject_rank,-0.20295018977342374,0.20295018977342374,0.5,0.5806958487980484,0.45,0.5713813897822687,-0.009314459015779653
geom_r00,Q1,deep__phone_screen_m_screen_use_afternoon_count,subject_rank,0.19816837389638153,0.19816837389638153,0.5,0.5806958487980484,0.45,0.5714668972022086,-0.009228951595839807
geom_r00,Q1,deep__ambience_len_afternoon_sum,subject_z,0.19133562586381078,0.19133562586381078,0.2,0.5806958487980484,0.45,0.5717773217923375,-0.00891852700571083
geom_r00,Q1,deep__usage_early_time_sum_max,subject_rank,-0.20295018977342374,0.20295018977342374,0.2,0.5806958487980484,0.45,0.5721576928831578,-0.0085381559148906
geom_r00,Q1,deep__phone_screen_m_screen_use_afternoon_count,subject_z,0.22038338969455323,0.22038338969455323,0.05,0.5806958487980484,0.45,0.5722424694686369,-0.008453379329411481
geom_r00,Q1,deep__phone_screen_m_screen_use_afternoon_count,subject_rank,0.19816837389638153,0.19816837389638153,0.2,0.5806958487980484,0.45,0.5722626596329561,-0.00843318916509228
