band,worlds,random_fit_worlds,median_anchor_energy,median_postmix_world_energy,median_mixmin_error_over_gap,min_mixmin_delta_vs_a2c8,median_mixmin_delta_vs_a2c8,max_mixmin_delta_vs_a2c8
all,29,19,-0.1893239137115223,0.11519299158516583,3.771037172644892,-0.010180034055743,-0.0008066753908312,0.0087741114596292
old_low_anchor_half,15,12,-1.1172832535213684,-0.4283806761375867,3.7477796382486392,-0.0012749277387569,-0.0008066753908312,-0.0005370960828407
old_low_anchor_quarter,7,7,-2.07509575561779,-1.123973006008594,1.960778020888062,-0.0012749277387569,-0.0009621198709193,-0.0005370960828407
mixmin_fit_gap,5,5,-1.011736139214893,-1.321182792253355,0.3260534106957603,-0.0012094669420733,-0.0011437608295659,-0.0011028506470425
mixmin_fit_2gap,8,7,-1.2697599714166976,-1.24871323951955,0.6128345359997687,-0.0012749277387569,-0.00115240173837965,-0.0009621198709193
mixmin_fit_5gap,18,12,-0.2669918127017882,-0.044354107941645717,2.242495016009298,-0.0013728869948056,-0.0010324852589809,-0.0007401590818712
mixmin_fit_gap_low_anchor_half,5,5,-1.011736139214893,-1.321182792253355,0.3260534106957603,-0.0012094669420733,-0.0011437608295659,-0.0011028506470425
mixmin_fit_2gap_low_anchor_half,7,7,-1.5277838036185023,-1.2507442963182456,0.34292626827494427,-0.0012749277387569,-0.0011437608295659,-0.0009621198709193
mixmin_fit_2gap_low_anchor_quarter,4,4,-1.763704257906122,-1.3812520469751333,0.989105695583583,-0.0012749277387569,-0.0011233057383042001,-0.0009621198709193
mixmin_fit_gap_random_fit,5,5,-1.011736139214893,-1.321182792253355,0.3260534106957603,-0.0012094669420733,-0.0011437608295659,-0.0011028506470425
postmix_energy_half,14,11,-1.0645096963681306,-0.7047134205887982,2.028367890010959,-0.0012749277387569,-0.0009562404850458,-0.0006021143171672
postmix_energy_quarter,7,7,-1.5277838036185023,-1.2507442963182456,0.34292626827494427,-0.0012749277387569,-0.0011437608295659,-0.0009621198709193
postmix_energy_half_random_fit,11,11,-1.5277838036185023,-1.123973006008594,1.6352851228922216,-0.0012749277387569,-0.0011028506470425,-0.0006021143171672
