pair,set_type,n_focus,set_name,n_cells,n_rows,n_subjects,n_blocks,expected_delta,benefit_sum,risk_sum,swing_sum,mean_support_prob,swing_weighted_support_prob,q_share,s_share,q2s3_share,edge_like_rate,between_train_runs_rate,long_block_rate,weekend_rate,e101_active_rate,e95_fallback_rate,e72_active_rate,all_veto_null_rate,all_low_adverse75_rate,all_co_vetonull_density_mean,all_safe_density_mean,broad_low_alpha_mass_sum,e101_plausible_mass_sum,top_subject_share,top_block_share,top_subject,top_block
e166_vs_e95,all_moved,74,e166_vs_e95:all_moved,1750,250,10,36,-0.0003320766037661691,0.00037268316576751827,4.060656200134921e-05,0.0022439863912539367,0.4806100610685751,0.46574683619408486,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.472,0.624,0.596,0.272,0.02857142857142857,0.07657142857142857,0.5102857142857142,0.6714285714285714,0.7497142857142857,8.792413121268608e-12,0.23336836621550422,66.016980925002,10.088385825000305,0.128,0.064,id02,id02_b2
e166_vs_e95,top_benefit_nfocus,74,e166_vs_e95:top_benefit_nfocus,74,64,9,24,-0.00011530311787569082,0.00011530311787569082,0.0,0.0003108395836035046,0.5196903000561538,0.5069923579956717,0.2972972972972973,0.7027027027027027,0.05405405405405406,0.6891891891891891,0.7972972972972973,0.33783783783783783,0.17567567567567569,0.013513513513513514,0.02702702702702703,0.8378378378378378,0.2972972972972973,0.5405405405405406,2.1584310549612895e-12,0.1170971661438941,1.3213654404835309,0.2382042929487919,0.24324324324324326,0.0945945945945946,id06,id01_b2
e166_vs_e95,top_swing_nfocus,74,e166_vs_e95:top_swing_nfocus,74,67,10,22,-0.00010144215480939747,0.00010154366937097538,1.0151456157790738e-07,0.0003322599793896773,0.4567613576629256,0.4590461009382524,0.3108108108108108,0.6891891891891891,0.06756756756756757,0.5945945945945946,0.8243243243243243,0.4864864864864865,0.16216216216216217,0.02702702702702703,0.02702702702702703,0.7837837837837838,0.35135135135135137,0.5945945945945946,7.542468467608556e-12,0.14231069524276846,1.3543171925605606,0.23253485659522619,0.22972972972972974,0.0945945945945946,id06,id06_b2
e154_vs_e95,all_moved,3,e154_vs_e95:all_moved,294,139,9,15,-2.983755801312066e-05,0.00013717446291528659,0.00010733690490216593,0.0020176469477509833,0.4802044857096966,0.47278238590354293,0.5612244897959183,0.4387755102040816,0.19047619047619047,0.3231292517006803,0.47278911564625853,0.9591836734693877,0.29931972789115646,0.017006802721088437,0.023809523809523808,0.3163265306122449,0.9217687074829932,0.9761904761904762,2.698999686179852e-11,0.3564400263755113,5.688204615947642,0.7512670599578724,0.2857142857142857,0.16666666666666666,id07,id02_b4
e154_vs_e95,top_benefit_nfocus,3,e154_vs_e95:top_benefit_nfocus,3,3,2,2,-1.2542797404141865e-05,1.2542797404141865e-05,0.0,3.749046026097602e-05,0.5676844323998795,0.569085816784858,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,5.0061162519619815e-11,0.4210136533641106,0.0,0.0,0.6666666666666666,0.6666666666666666,id01,id01_b4
e154_vs_e95,top_swing_nfocus,3,e154_vs_e95:top_swing_nfocus,3,3,3,3,5.138446754607716e-06,0.0,5.138446754607716e-06,4.3627421410451254e-05,0.3868558657757264,0.38959100293266874,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.031198881529856e-09,0.4210136533641106,0.0,0.0,0.3333333333333333,0.3333333333333333,id03,id03_b2
e101_vs_e95,all_moved,5,e101_vs_e95:all_moved,50,48,10,26,4.639793716350395e-05,7.629985846694792e-06,5.4027923010198745e-05,0.0003083554101459689,0.5037192537621109,0.5360009201562888,0.22,0.78,1.0,0.62,0.6,0.48,0.26,1.0,0.62,1.0,0.22,0.22,5.1906306744433255e-14,0.015517651219004922,7.949815532088158,0.1133352704476781,0.2,0.08,id04,id02_b4
e101_vs_e95,top_benefit_nfocus,5,e101_vs_e95:top_benefit_nfocus,5,5,3,4,-5.888424857637651e-06,5.888424857637651e-06,0.0,3.817515338167299e-05,0.46755555555555556,0.487296178080776,0.0,1.0,1.0,0.6,0.6,0.8,0.2,1.0,1.0,1.0,0.4,0.4,2.2503571836640304e-13,0.04622510621541508,1.6019711382704305,0.0,0.6,0.4,id01,id01_b4
e101_vs_e95,top_swing_nfocus,5,e101_vs_e95:top_swing_nfocus,5,5,3,5,1.2969832757390326e-05,0.0,1.2969832757390326e-05,5.529633581556495e-05,0.6622222222222223,0.6622222222222224,0.0,1.0,1.0,0.6,0.8,0.4,0.0,1.0,0.4,1.0,0.2,0.2,0.0,0.0,0.3824544785736455,0.011247234651476,0.6,0.2,id06,id06_b2
e95_vs_mixmin,all_moved,4,e95_vs_mixmin:all_moved,550,250,10,36,-0.00014454265478081838,0.000617148591559857,0.00047260593677903864,0.005548278423068663,0.5178158586483261,0.5130046508362573,0.02,0.98,0.09090909090909091,0.48545454545454547,0.6218181818181818,0.5854545454545454,0.27090909090909093,0.09090909090909091,0.19090909090909092,0.72,0.5472727272727272,0.6290909090909091,7.480536579463447e-12,0.24339351674480666,42.58026672106106,4.659647867127014,0.1290909090909091,0.06545454545454546,id02,id02_b4
e95_vs_mixmin,top_benefit_nfocus,4,e95_vs_mixmin:top_benefit_nfocus,4,4,2,4,-6.658292230010096e-05,6.658292230010096e-05,0.0,0.0001647755644822759,0.5,0.4819576233502973,0.0,1.0,1.0,0.75,1.0,0.0,0.25,1.0,0.5,1.0,0.25,0.25,0.0,0.0,0.2189773591258567,0.0027003011929468,0.5,0.25,id05,id05_b6
e95_vs_mixmin,top_swing_nfocus,4,e95_vs_mixmin:top_swing_nfocus,4,4,2,4,-5.0118819782656475e-05,5.0118819782656475e-05,0.0,0.000178931464079634,0.33777777777777773,0.33777777777777773,0.0,1.0,1.0,0.5,1.0,0.25,0.0,1.0,0.25,1.0,0.25,0.25,0.0,0.0,0.1788986480460571,0.011247234651476,0.75,0.25,id06,id06_b2
mixmin_vs_a2c8,all_moved,5,mixmin_vs_a2c8:all_moved,1256,250,10,36,-0.00019838809879906282,0.004003253299549859,0.0038048652007507964,0.04561420000223732,0.5057714607611158,0.510005080433072,0.4156050955414013,0.5843949044585988,0.2587579617834395,0.4872611464968153,0.6305732484076433,0.5732484076433121,0.27070063694267515,0.026273885350318472,0.08280254777070063,0.5095541401273885,0.6751592356687898,0.7539808917197452,1.1005527195929154e-11,0.2384851082073565,43.58081501377211,6.573178460836093,0.11942675159235669,0.06050955414012739,id02,id01_b2
mixmin_vs_a2c8,top_benefit_nfocus,5,mixmin_vs_a2c8:top_benefit_nfocus,5,5,1,3,-0.000133742340384462,0.000133742340384462,0.0,0.00023459571428570994,0.6622222222222223,0.6622222222222223,0.0,1.0,1.0,0.6,0.8,0.0,0.2,0.0,0.0,0.0,1.0,1.0,2.105939390263096e-13,0.1848158755156593,0.0,0.0,1.0,0.4,id05,id05_b4
mixmin_vs_a2c8,top_swing_nfocus,5,mixmin_vs_a2c8:top_swing_nfocus,5,5,2,4,-3.9330629635051106e-05,5.316993013976162e-05,1.3839300504710506e-05,0.00023459571428573764,0.39911111111111114,0.3991111111111106,0.0,1.0,0.2,0.6,0.8,0.2,0.2,0.2,0.0,0.8,0.4,0.8,1.1785455391155811e-13,0.17009334947474314,0.07567040694616779,0.0034670804207895998,0.8,0.4,id06,id06_b4
