policy_id,policy_note,split,model,n_cells,n_rows,n_good,mean_benefit_delta,median_benefit_delta,prevalence,auc,ap,ap_lift
bedtime_q3,Q3 bedtime-phone state only,dateblock_oof,lr_l2,24,24,19,-0.015525054537759998,-0.01834781873507041,0.7916666666666666,0.8526315789473684,0.9608901117802047,0.16922344511353804
bedtime_q3,Q3 bedtime-phone state only,dateblock_oof,lr_l1,24,24,19,-0.015525054537759998,-0.01834781873507041,0.7916666666666666,0.7999999999999999,0.9336688488941219,0.1420021822274553
bedtime_q3,Q3 bedtime-phone state only,subject_oof,lr_l1,24,24,19,-0.021279106090458372,-0.019186607814070833,0.7916666666666666,0.768421052631579,0.8992853004544386,0.10761863378777192
bedtime_q3,Q3 bedtime-phone state only,subject_oof,lr_l2,24,24,19,-0.021279106090458372,-0.019186607814070833,0.7916666666666666,0.7473684210526316,0.9321291168183858,0.1404624501517192
mobility_q3,Q3 mobility/context state only,dateblock_oof,lr_l1,51,48,36,-0.006367874671432666,-0.012120917011804289,0.7058823529411765,0.6185185185185185,0.7987111736489465,0.09282882070776999
mobility_q3,Q3 mobility/context state only,subject_oof,lr_l1,51,48,36,-0.013298017497484235,-0.014653296694533746,0.7058823529411765,0.5962962962962963,0.806791519302126,0.10090916636094949
mobility_q3,Q3 mobility/context state only,dateblock_oof,hgb_shallow,51,48,36,-0.006367874671432666,-0.012120917011804289,0.7058823529411765,0.5425925925925925,0.7027703255434861,-0.0031120273976904533
attention_money_q3,Q3 cognitive-money/routine/global attention state,subject_oof,lr_l1,91,74,61,-0.010703277643529475,-0.010730307694099661,0.6703296703296703,0.5387978142076503,0.671255090549226,0.0009254202195557726
mobility_q3,Q3 mobility/context state only,subject_oof,lr_l2,51,48,36,-0.013298017497484235,-0.014653296694533746,0.7058823529411765,0.5370370370370371,0.7038614293214278,-0.0020209236197487046
q3_only,Q3-only subjective sleep row action,subject_oof,lr_l1,160,131,121,-0.011548494997564326,-0.012284787439924394,0.75625,0.5183301546937911,0.7571257711312972,0.0008757711312972205
q3_only,Q3-only subjective sleep row action,dateblock_oof,lr_l1,160,131,121,-0.007464694088306764,-0.010429729684362343,0.75625,0.5119728756092392,0.7735756848848007,0.017325684884800685
full_qsleep,all q-sleep Q1/Q2/Q3 axes,dateblock_oof,lr_l1,232,160,171,-0.007965326596211558,-0.011628875585710241,0.7370689655172413,0.5095868085514332,0.7360701495906394,-0.0009988159266018926
