heldout_set,kind,tag,translator,band,base_cell_gate,gradient_gate,row_gate,shape,scale,cap,hidden_core_mean_delta,hidden_core_delta_Q2,hidden_core_delta_S3,world_support_score,block_q2s3_core_mean_delta,block_q2s3_core_improve_rate
inverse_top,base,inverse_top_no_q2_s3_2d60cc74,no_q2_s3,low_slack_half,all,grad_core_top50,all,flat,0.13,0.12,-0.0007707207278716266,0.0,0.0,-0.001634836121311961,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_59a78abb,tail_p90_nonpos_m1.00,low_slack_half,all,grad_core_top50,all,flat,0.13,0.12,-0.0008014306836667817,-0.00012183669190896085,-9.313299865784663e-05,-0.0017433222582653007,-0.00016296328607348534,0.6944444444444444
inverse_top,base,inverse_top_no_q2_s3_8d0e3d36,no_q2_s3,low_slack_half,raw_agree,grad_all_4of6,all,flat,0.13,0.12,-0.0007795095948827102,0.0,0.0,-0.001612310820138596,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_ff0b9afd,tail_p90_nonpos_m1.00,low_slack_half,raw_agree,grad_all_4of6,all,flat,0.13,0.12,-0.0008061531602266692,-0.00012592673963843226,-6.0578217769488574e-05,-0.0017235711664642828,-0.00013413724669574512,0.6388888888888888
inverse_top,base,inverse_top_no_q2_s3_1bcc40e7,no_q2_s3,low_slack_half,all,grad_all_4of6,all,flat,0.13,0.12,-0.0007840370865672408,0.0,0.0,-0.001627874646334837,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_d95c2fd9,tail_p90_nonpos_m1.00,low_slack_half,all,grad_all_4of6,all,flat,0.13,0.12,-0.0008106806519112553,-0.00012592673963843226,-6.0578217769488574e-05,-0.0017414680020167161,-0.00013413724669574512,0.6388888888888888
inverse_top,base,inverse_top_no_q2_s3_6c74ae95,no_q2_s3,all,all,grad_all_4of6,all,flat,0.13,0.12,-0.000800086623355234,0.0,0.0,-0.001806599470848197,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_8e4f7950,tail_p90_nonpos_m1.00,all,all,grad_all_4of6,all,flat,0.13,0.12,-0.0008281446244658985,-0.0001385417000326905,-5.7864307741656296e-05,-0.0019287129279972226,-0.0001311559443995697,0.6666666666666666
inverse_top,base,inverse_top_no_q2_s3_7632e688,no_q2_s3,all,raw_agree,grad_all_4of6,all,flat,0.13,0.12,-0.0007972892712975188,0.0,0.0,-0.001784310647673365,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_1b363ae6,tail_p90_nonpos_m1.00,all,raw_agree,grad_all_4of6,all,flat,0.13,0.12,-0.000824908264249774,-0.00013546864292404703,-5.7864307741656296e-05,-0.0019038288156501214,-0.00012848836010379765,0.6388888888888888
inverse_top,base,inverse_top_no_q2_s3_912b4fe6,no_q2_s3,low_slack_half,raw_agree,grad_core_top50,all,flat,0.13,0.12,-0.0007651752767943998,0.0,0.0,-0.0016096237169817174,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_4cc82a21,tail_p90_nonpos_m1.00,low_slack_half,raw_agree,grad_core_top50,all,flat,0.13,0.12,-0.0007944068751056244,-0.00012183669190896085,-8.278449626919482e-05,-0.0017125977159339113,-0.00014499713609312807,0.6388888888888888
inverse_top,base,inverse_top_no_q2_s3_be24b8f7,no_q2_s3,low_slack_half,raw_agree,grad_all_4of6,all,flat,0.095,0.12,-0.000571371042406621,0.0,0.0,-0.001180561848552386,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_a6d0f97f,tail_p90_nonpos_m1.00,low_slack_half,raw_agree,grad_all_4of6,all,flat,0.095,0.12,-0.0005909626667953416,-9.250208730357534e-05,-4.463928341738588e-05,-0.0012620312772123553,-9.84482576526213e-05,0.6388888888888888
inverse_top,base,inverse_top_no_q2_s3_5b24d89f,no_q2_s3,all,all,grad_core_top50,all,flat,0.13,0.12,-0.0007831687053125036,0.0,0.0,-0.0017605930962440786,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_eed2280e,tail_p90_nonpos_m1.00,all,all,grad_core_top50,all,flat,0.13,0.12,-0.0008137584594939129,-0.00013446607532477395,-7.966220394595158e-05,-0.0018875313746730294,-0.0001525338798381225,0.6944444444444444
inverse_top,base,inverse_top_no_q2_s3_9708c9f9,no_q2_s3,low_slack_half,all,grad_all_4of6,all,flat,0.095,0.12,-0.0005747136057392133,0.0,0.0,-0.0011919813296675462,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_d485e9a5,tail_p90_nonpos_m1.00,low_slack_half,all,grad_all_4of6,all,flat,0.095,0.12,-0.0005943052301278784,-9.250208730357534e-05,-4.463928341738588e-05,-0.0012751556497801186,-9.84482576526213e-05,0.6388888888888888
inverse_top,base,inverse_top_no_q2_s3_939485ee,no_q2_s3,low_slack_half,all,grad_core_top50,all,flat,0.095,0.12,-0.0005648462077194605,0.0,0.0,-0.001196884674075993,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_137e6c37,tail_p90_nonpos_m1.00,low_slack_half,all,grad_core_top50,all,flat,0.095,0.12,-0.00058740269188573,-8.950157564183159e-05,-6.839381352183316e-05,-0.0012763177060066023,-0.00011957385984037375,0.6944444444444444
inverse_top,base,inverse_top_no_q2_s3_33c18a2c,no_q2_s3,all,raw_agree,grad_core_top50,all,flat,0.13,0.12,-0.0007801828297249458,0.0,0.0,-0.0017306517130732835,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_9d15356a,tail_p90_nonpos_m1.00,all,raw_agree,grad_core_top50,all,flat,0.13,0.12,-0.0008088857205550415,-0.00013446607532477395,-6.645416048586816e-05,-0.0018535752993063038,-0.0001329129028488316,0.6111111111111112
inverse_top,base,inverse_top_no_q2_s3_b9aa1b0e,no_q2_s3,all,raw_agree,grad_all_4of6,all,flat,0.095,0.12,-0.0005844144095161208,0.0,0.0,-0.0013063222411934527,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_8d5b08ee,tail_p90_nonpos_m1.00,all,raw_agree,grad_all_4of6,all,flat,0.095,0.12,-0.0006047252636407208,-9.95360432467507e-05,-4.263993562569901e-05,-0.0013938348951206658,-9.433551423713983e-05,0.6388888888888888
inverse_top,base,inverse_top_no_q2_s3_5dbf9421,no_q2_s3,all,all,grad_all_4of6,all,flat,0.095,0.12,-0.0005864831132850468,0.0,0.0,-0.001322643282052327,5.6709931353388255e-18,0.25
inverse_top,candidate,inverse_top_tail_p90_nonpos_m1.00_7ca40b67,tail_p90_nonpos_m1.00,all,all,grad_all_4of6,all,flat,0.095,0.12,-0.0006071174235422472,-0.0001018002361744541,-4.263993562569901e-05,-0.0014120560607972844,-9.63009594869163e-05,0.6666666666666666
inverse_top,base,inverse_top_no_q2_s3_738a5fd7,no_q2_s3,low_slack_half,raw_agree,grad_core_top50,all,flat,0.095,0.12,-0.0005607557024757126,0.0,0.0,-0.0011784088434527219,5.6709931353388255e-18,0.25
