policy_id,q3_mode,s4_mode,target,delta,moved_abs_logit
q3raw_s4benefit_closer,raw,closer_prob,S4,-0.00043338022604499926,0.010671239075310963
q3raw_s4benefit_closer_rank,raw,closer_rank,Q1,0.0,8.324359720054038e-17
q3raw_s4benefit_closer_rank,raw,closer_rank,Q2,0.0,6.069122827757746e-17
q3raw_s4benefit_closer_rank,raw,closer_rank,Q3,-0.005775312190312576,0.11686849670122039
q3raw_s4benefit_closer_rank,raw,closer_rank,S1,0.0,3.0658442605623213e-16
q3raw_s4benefit_closer_rank,raw,closer_rank,S2,-1.1102230246251565e-16,2.2225277174214853e-16
q3raw_s4benefit_closer_rank,raw,closer_rank,S3,1.1102230246251565e-16,2.2486449430875807e-16
q3raw_s4benefit_closer_rank,raw,closer_rank,S4,-0.0004203140888348056,0.016118152670458033
q3benefit_prob_s4benefit_prob,prob,prob,Q1,0.0,8.324359720054038e-17
q3benefit_prob_s4benefit_prob,prob,prob,Q2,0.0,6.069122827757746e-17
q3benefit_prob_s4benefit_prob,prob,prob,Q3,-0.0010384927919054876,0.023633952529869075
q3benefit_prob_s4benefit_prob,prob,prob,S1,0.0,3.0658442605623213e-16
q3benefit_prob_s4benefit_prob,prob,prob,S2,-1.1102230246251565e-16,2.2225277174214853e-16
q3benefit_prob_s4benefit_prob,prob,prob,S3,1.1102230246251565e-16,2.2486449430875807e-16
q3benefit_prob_s4benefit_prob,prob,prob,S4,-0.0006369837435877823,0.027480017809836388
q3benefit_rank_s4benefit_rank,rank,rank,Q1,0.0,8.324359720054038e-17
q3benefit_rank_s4benefit_rank,rank,rank,Q2,0.0,6.069122827757746e-17
q3benefit_rank_s4benefit_rank,rank,rank,Q3,-0.0013768931757052183,0.034657495629206336
q3benefit_rank_s4benefit_rank,rank,rank,S1,0.0,3.0658442605623213e-16
q3benefit_rank_s4benefit_rank,rank,rank,S2,-1.1102230246251565e-16,2.2225277174214853e-16
q3benefit_rank_s4benefit_rank,rank,rank,S3,1.1102230246251565e-16,2.2486449430875807e-16
q3benefit_rank_s4benefit_rank,rank,rank,S4,-0.0006474557486458865,0.044945690939859645
q3benefit_margin_s4benefit_margin,margin,margin,Q1,0.0,8.324359720054038e-17
q3benefit_margin_s4benefit_margin,margin,margin,Q2,0.0,6.069122827757746e-17
q3benefit_margin_s4benefit_margin,margin,margin,Q3,-6.574668257930405e-06,7.579016273716873e-05
q3benefit_margin_s4benefit_margin,margin,margin,S1,0.0,3.0658442605623213e-16
q3benefit_margin_s4benefit_margin,margin,margin,S2,-1.1102230246251565e-16,2.2225277174214853e-16
q3benefit_margin_s4benefit_margin,margin,margin,S3,1.1102230246251565e-16,2.2486449430875807e-16
q3benefit_margin_s4benefit_margin,margin,margin,S4,-6.919452405163007e-06,0.0008348010246940079
q3benefit_prob_s4benefit_toward,prob,toward_prob,Q1,0.0,8.324359720054038e-17
q3benefit_prob_s4benefit_toward,prob,toward_prob,Q2,0.0,6.069122827757746e-17
q3benefit_prob_s4benefit_toward,prob,toward_prob,Q3,-0.0010384927919054876,0.023633952529869075
q3benefit_prob_s4benefit_toward,prob,toward_prob,S1,0.0,3.0658442605623213e-16
q3benefit_prob_s4benefit_toward,prob,toward_prob,S2,-1.1102230246251565e-16,2.2225277174214853e-16
q3benefit_prob_s4benefit_toward,prob,toward_prob,S3,1.1102230246251565e-16,2.2486449430875807e-16
q3benefit_prob_s4benefit_toward,prob,toward_prob,S4,-0.0004414075020263697,0.011600821753522984
q3benefit_rank_s4benefit_toward_rank,rank,toward_rank,Q1,0.0,8.324359720054038e-17
q3benefit_rank_s4benefit_toward_rank,rank,toward_rank,Q2,0.0,6.069122827757746e-17
q3benefit_rank_s4benefit_toward_rank,rank,toward_rank,Q3,-0.0013768931757052183,0.034657495629206336
q3benefit_rank_s4benefit_toward_rank,rank,toward_rank,S1,0.0,3.0658442605623213e-16
q3benefit_rank_s4benefit_toward_rank,rank,toward_rank,S2,-1.1102230246251565e-16,2.2225277174214853e-16
q3benefit_rank_s4benefit_toward_rank,rank,toward_rank,S3,1.1102230246251565e-16,2.2486449430875807e-16
q3benefit_rank_s4benefit_toward_rank,rank,toward_rank,S4,-0.00042224555649428286,0.017712971349004902
