fold,target,feature,mode,c_value,weight,holdout_base_loss,holdout_candidate_loss,holdout_delta
geom_r00,Q1,deep__watch_light_w_light_all_log_mean,subject_center,0.5,0.45,0.5764285061218197,0.5727821389229821,-0.0036463671988375967
geom_r00,Q3,deep__ble_morning_unique_max,subject_rank,0.2,0.45,0.5979084380165228,0.5933901122848367,-0.00451832573168609
geom_r00,S1,deep__ambience_all_hour_mean,subject_z,0.5,0.45,0.45691436164601373,0.45360842699377246,-0.0033059346522412714
geom_r00,S2,deep__phone_light_m_light_late_median,subject_z,0.5,0.45,0.5124127190466414,0.5084283041529217,-0.003984414893719701
geom_r00,S3,deep__hr_all_rows,subject_rank,0.5,0.45,0.5306194636645225,0.5280748593197367,-0.0025446043447857614
geom_r00,S4,deep__ambience_evening_top_is_outside_mean,subject_center,0.5,0.45,0.6000713748865832,0.5926229615815715,-0.007448413305011781
geom_r01,Q1,deep__watch_light_w_light_all_log_mean,subject_center,0.5,0.45,0.6137111990393667,0.6225274339633253,0.008816234923958666
geom_r01,Q3,deep__ble_morning_unique_max,subject_rank,0.2,0.45,0.5973695113575288,0.6051630316540295,0.007793520296500711
geom_r01,S1,deep__ambience_all_hour_mean,subject_z,0.5,0.45,0.5485228760602553,0.5470631409543459,-0.0014597351059093544
geom_r01,S2,deep__phone_light_m_light_late_median,subject_z,0.5,0.45,0.4917554355968546,0.4955210266824963,0.0037655910856417285
geom_r01,S3,deep__hr_all_rows,subject_rank,0.5,0.45,0.5115918939789844,0.5044106497165916,-0.007181244262392861
geom_r01,S4,deep__ambience_evening_top_is_outside_mean,subject_center,0.5,0.45,0.6276694465941085,0.6076884201576711,-0.0199810264364374
geom_r02,Q1,deep__watch_light_w_light_all_log_mean,subject_center,0.5,0.45,0.5798315702218233,0.5719416189886346,-0.007889951233188697
geom_r02,Q3,deep__ble_morning_unique_max,subject_rank,0.2,0.45,0.6257775455258127,0.6334848072478522,0.0077072617220395045
geom_r02,S1,deep__ambience_all_hour_mean,subject_z,0.5,0.45,0.485409399096999,0.4817571743167307,-0.003652224780268276
geom_r02,S2,deep__phone_light_m_light_late_median,subject_z,0.5,0.45,0.4956002108813994,0.49447685204866726,-0.0011233588327321242
geom_r02,S3,deep__hr_all_rows,subject_rank,0.5,0.45,0.500192958617504,0.49804497489579586,-0.0021479837217081577
geom_r02,S4,deep__ambience_evening_top_is_outside_mean,subject_center,0.5,0.45,0.6366299147903259,0.6190325951865565,-0.017597319603769424
geom_r03,Q1,deep__watch_light_w_light_all_log_mean,subject_center,0.5,0.45,0.5871478134767483,0.5759242106178876,-0.011223602858860704
geom_r03,Q3,deep__ble_morning_unique_max,subject_rank,0.2,0.45,0.622334767128705,0.6294422536277904,0.007107486499085436
geom_r03,S1,deep__ambience_all_hour_mean,subject_z,0.5,0.45,0.4899426096827589,0.48290017064693436,-0.0070424390358245215
geom_r03,S2,deep__phone_light_m_light_late_median,subject_z,0.5,0.45,0.48308112350270804,0.47904207264929444,-0.004039050853413606
geom_r03,S3,deep__hr_all_rows,subject_rank,0.5,0.45,0.453587873504267,0.44789006864637043,-0.00569780485789656
geom_r03,S4,deep__ambience_evening_top_is_outside_mean,subject_center,0.5,0.45,0.6110201522815236,0.5994886108070148,-0.011531541474508855
geom_r04,Q1,deep__watch_light_w_light_all_log_mean,subject_center,0.5,0.45,0.5806077136145475,0.5764901343457154,-0.004117579268832161
geom_r04,Q3,deep__ble_morning_unique_max,subject_rank,0.2,0.45,0.6598679297154648,0.6445193725046456,-0.01534855721081918
geom_r04,S1,deep__ambience_all_hour_mean,subject_z,0.5,0.45,0.5170941001456607,0.5172946960157208,0.00020059587006004964
geom_r04,S2,deep__phone_light_m_light_late_median,subject_z,0.5,0.45,0.5528124270115984,0.5501352363405349,-0.002677190671063534
geom_r04,S3,deep__hr_all_rows,subject_rank,0.5,0.45,0.5213781284867114,0.5230338987407593,0.0016557702540479502
geom_r04,S4,deep__ambience_evening_top_is_outside_mean,subject_center,0.5,0.45,0.5674687734081351,0.5605578513513515,-0.006910922056783564
geom_r05,Q1,deep__watch_light_w_light_all_log_mean,subject_center,0.5,0.45,0.5772354745045669,0.5727470727746395,-0.0044884017299273715
geom_r05,Q3,deep__ble_morning_unique_max,subject_rank,0.2,0.45,0.567187840169729,0.5754111598384726,0.008223319668743567
geom_r05,S1,deep__ambience_all_hour_mean,subject_z,0.5,0.45,0.520574281751505,0.5213993221615603,0.0008250404100552666
geom_r05,S2,deep__phone_light_m_light_late_median,subject_z,0.5,0.45,0.5665382316936043,0.5622766104079446,-0.004261621285659656
geom_r05,S3,deep__hr_all_rows,subject_rank,0.5,0.45,0.5142650408886102,0.5074171351662926,-0.006847905722317638
geom_r05,S4,deep__ambience_evening_top_is_outside_mean,subject_center,0.5,0.45,0.6265735676967285,0.6072866448028653,-0.019286922893863134
geom_r06,Q1,deep__watch_light_w_light_all_log_mean,subject_center,0.5,0.45,0.615512589020511,0.6145640920675121,-0.0009484969529989229
geom_r06,Q3,deep__ble_morning_unique_max,subject_rank,0.2,0.45,0.6330664090305137,0.6343896491519747,0.0013232401214610112
geom_r06,S1,deep__ambience_all_hour_mean,subject_z,0.5,0.45,0.45286816731087076,0.4460141539948404,-0.006854013316030361
