pair_id,new_file,base_file,new_tag,base_tag,pair_context,e72_neighbor_label,pair_is_e95_e101,actual_delta,shape_e72_prob
submission_e101_q2s3tail_177569bc.csv__vs__submission_e72_topabs50_q2s3_gate_4e48cba2.csv,submission_e101_q2s3tail_177569bc.csv,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,e101,e72,e101__e72,1,False,-0.0001074112,0.9263188595630747
submission_e101_q2s3tail_177569bc.csv__vs__submission_e72_topabs50_q2s3_gate_4e48cba2.csv,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,submission_e101_q2s3tail_177569bc.csv,e72,e101,e101__e72,1,False,0.0001074112,0.9263188595630747
submission_e101_q2s3tail_177569bc.csv__vs__submission_frontier_cvjepa_refine_a2c8d2c8.csv,submission_e101_q2s3tail_177569bc.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,e101,a2c8_frontier,a2c8_frontier__e101,0,False,-0.0011389549999999,0.006691374582535488
submission_e101_q2s3tail_177569bc.csv__vs__submission_frontier_cvjepa_refine_a2c8d2c8.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,submission_e101_q2s3tail_177569bc.csv,a2c8_frontier,e101,a2c8_frontier__e101,0,False,0.0011389549999999,0.006691374582535488
submission_e101_q2s3tail_177569bc.csv__vs__submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,submission_e101_q2s3tail_177569bc.csv,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,e101,hybrid_stage2,e101__hybrid_stage2,0,False,-0.0016446097,0.0023972423877967625
submission_e101_q2s3tail_177569bc.csv__vs__submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,submission_e101_q2s3tail_177569bc.csv,hybrid_stage2,e101,e101__hybrid_stage2,0,False,0.0016446097,0.0023972423877967625
submission_e101_q2s3tail_177569bc.csv__vs__submission_hybrid_0p578_logit_after_subject_final9_strict.csv,submission_e101_q2s3tail_177569bc.csv,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,e101,hybrid_final9,e101__hybrid_final9,0,False,-0.0021269868,0.0012049834276566134
submission_e101_q2s3tail_177569bc.csv__vs__submission_hybrid_0p578_logit_after_subject_final9_strict.csv,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,submission_e101_q2s3tail_177569bc.csv,hybrid_final9,e101,e101__hybrid_final9,0,False,0.0021269868,0.0012049834276566134
submission_e101_q2s3tail_177569bc.csv__vs__submission_jepa_latent_q2_w0p45.csv,submission_e101_q2s3tail_177569bc.csv,submission_jepa_latent_q2_w0p45.csv,e101,jepa_latent,e101__jepa_latent,0,False,-0.0035009202,0.008086781427560294
submission_e101_q2s3tail_177569bc.csv__vs__submission_jepa_latent_q2_w0p45.csv,submission_jepa_latent_q2_w0p45.csv,submission_e101_q2s3tail_177569bc.csv,jepa_latent,e101,e101__jepa_latent,0,False,0.0035009202,0.008086781427560294
submission_e101_q2s3tail_177569bc.csv__vs__submission_jepa_latent_residual_probe.csv,submission_e101_q2s3tail_177569bc.csv,submission_jepa_latent_residual_probe.csv,e101,jepa_latent,e101__jepa_latent,0,False,-0.0049269617999999,0.0029430733309691514
submission_e101_q2s3tail_177569bc.csv__vs__submission_jepa_latent_residual_probe.csv,submission_jepa_latent_residual_probe.csv,submission_e101_q2s3tail_177569bc.csv,jepa_latent,e101,e101__jepa_latent,0,False,0.0049269617999999,0.0029430733309691514
submission_e101_q2s3tail_177569bc.csv__vs__submission_lejepa_targetwise_strict_best_scale0p5.csv,submission_e101_q2s3tail_177569bc.csv,submission_lejepa_targetwise_strict_best_scale0p5.csv,e101,bad_lejepa,bad_lejepa__e101,0,False,-0.0039464531999999,0.00017022607930040017
submission_e101_q2s3tail_177569bc.csv__vs__submission_lejepa_targetwise_strict_best_scale0p5.csv,submission_lejepa_targetwise_strict_best_scale0p5.csv,submission_e101_q2s3tail_177569bc.csv,bad_lejepa,e101,bad_lejepa__e101,0,False,0.0039464531999999,0.00017022607930040017
