component,description,n_cells,n_rows,targets,subjects,expected_delta_focus,expected_focus_share,drop_remaining_focus_delta,drop_remaining_focus_share,expected_delta_visible,expected_visible_share,swing_share,top33_coverage,top8_coverage,cells_to_cover_e95_edge_focus,support_visible_swing_weighted,support_focus_swing_weighted,all_prior_support_rate,prior_split_rate,flank_conflict_rate,e72_active_rate,between_train_runs_rate,mean_safe_density,role
full,all E176-vs-E95 moved cells,904,193,"Q1,Q2,Q3,S1,S2,S3,S4","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-7.804195492488966e-05,1.0,0.0,-0.0,-5.0823947277837684e-05,1.0,1.0,1.0,1.0,18,0.37362343875376686,0.40669857959481076,0.13495575221238937,0.5597345132743363,0.2688053097345133,0.2688053097345133,0.8196902654867256,0.34615041641410693,necessary_body
drop_Q,all except Q targets,501,192,"S1,S2,S3,S4","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-5.0327745285391196e-05,0.6448806329086503,-2.771420963949846e-05,0.3551193670913498,-2.934177825421127e-05,0.577321908780707,0.5960948333857595,0.6666666666666666,0.5,21,0.3074537682657172,0.35023556294041525,0.10978043912175649,0.5089820359281437,0.2275449101796407,0.2954091816367265,0.8143712574850299,0.3573154918632498,necessary_body
drop_Q2,all except Q2,739,193,"Q1,Q3,S1,S2,S3,S4","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-7.071213165743753e-05,0.9060784257069596,-7.329823267452132e-06,0.09392157429304038,-4.6298720131787e-05,0.9109626979322806,0.8364003679879087,0.9393939393939394,1.0,18,0.35686279744023774,0.3923326699184623,0.14479025710419485,0.5480378890392422,0.2665764546684709,0.3274695534506089,0.8186738836265224,0.38233381936093996,necessary_body
drop_S,all except S targets,403,184,"Q1,Q2,Q3","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-2.7714209639498472e-05,0.3551193670913499,-5.032774528539119e-05,0.6448806329086502,-2.148216902362641e-05,0.4226780912192929,0.4039051666142406,0.3333333333333333,0.5,31,0.471278536942783,0.4900283195612333,0.1662531017369727,0.6228287841191067,0.3200992555831266,0.23573200992555832,0.826302729528536,0.33227026058279036,mixed_component
drop_S1,all except S1,809,192,"Q1,Q2,Q3,S2,S3,S4","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-6.176009634385496e-05,0.7913704417488653,-1.6281858581034694e-05,0.2086295582511347,-3.941549394112726e-05,0.7755299627881284,0.8393478756651164,0.6060606060606061,0.625,21,0.39393231265249856,0.4262824408554364,0.14833127317676142,0.5710754017305315,0.2830655129789864,0.2373300370828183,0.8182941903584673,0.3333560942986423,necessary_body
drop_S3,all except S3,736,193,"Q1,Q2,Q3,S1,S2,S4","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-6.642287455063374e-05,0.8511175125554129,-1.1619080374255915e-05,0.14888248744458707,-4.680374683211894e-05,0.9208994841793449,0.8288468394128845,0.9090909090909091,1.0,19,0.4060681757803655,0.43483227506196637,0.1453804347826087,0.5978260869565217,0.2921195652173913,0.3179347826086957,0.8152173913043478,0.3843490013278461,necessary_body
drop_S4,all except S4,788,193,"Q1,Q2,Q3,S1,S2,S3","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-6.120230854997108e-05,0.7842231605919451,-1.6839646374918575e-05,0.2157768394080549,-3.8666986819148646e-05,0.7608025131886951,0.8674358241373016,0.9090909090909091,0.875,22,0.364262799373206,0.39583259563301754,0.1434010152284264,0.5203045685279187,0.24111675126903553,0.25761421319796957,0.817258883248731,0.3330541947279081,necessary_body
drop_between_train_runs,all except between-train-runs rows,163,37,"Q1,Q2,Q3,S1,S2,S3,S4","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-1.75965515048317e-05,0.22547553456044567,-6.044540342005796e-05,0.7745244654395543,-1.2234984917447072e-05,0.24073267766004997,0.18521891866674525,0.21212121212121213,0.0,41,0.3966913502010502,0.4318677776538235,0.09815950920245399,0.5766871165644172,0.0,0.27607361963190186,0.0,0.351883482878251,mixed_component
drop_id06_id07,all except top swing subjects id06/id07,723,152,"Q1,Q2,Q3,S1,S2,S3,S4","id01,id02,id03,id04,id05,id08,id09,id10",-5.508952383005429e-05,0.7058962564824831,-2.2952431094835366e-05,0.29410374351751695,-4.052875119859342e-05,0.7974341500284533,0.686891973485504,0.5454545454545454,0.625,19,0.4269410034334729,0.45270073595748667,0.15491009681881052,0.5905947441217151,0.3029045643153527,0.2544951590594744,0.8132780082987552,0.34431707373052733,necessary_body
drop_primary_S,all except S3/S1/S4,525,188,"Q1,Q2,Q3,S2","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-3.330136959468046e-05,0.42671111489622315,-4.4740585330209197e-05,0.5732888851037768,-2.323833303671947e-05,0.4572319601561681,0.5356305392153025,0.42424242424242425,0.5,30,0.4404944838981948,0.46332465100376446,0.18285714285714286,0.5714285714285714,0.2819047619047619,0.2723809523809524,0.8076190476190476,0.36032894825482414,mixed_component
drop_top33,all except top33 swing cells,871,193,"Q1,Q2,Q3,S1,S2,S3,S4","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-6.0371384852964176e-05,0.7735760196046824,-1.7670570071925482e-05,0.2264239803953177,-4.035513897859685e-05,0.7940181969335965,0.8481849621553645,0.0,0.0,26,0.39650748290792676,0.42518472807284,0.14006888633754305,0.5671641791044776,0.2743972445464983,0.26521239954075776,0.8208955223880597,0.3443965235394931,necessary_body
drop_top8,all except top8 swing cells,896,193,"Q1,Q2,Q3,S1,S2,S3,S4","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-7.267934279057205e-05,0.9312855227745285,-5.362612134317607e-06,0.06871447722547154,-4.787612450771562e-05,0.9419993344081031,0.9563288177662898,0.7575757575757576,0.0,20,0.37875781969063743,0.4102749133904257,0.13616071428571427,0.5591517857142857,0.2700892857142857,0.265625,0.8180803571428571,0.3453816464659281,necessary_body
only_Q,Q targets only,403,184,"Q1,Q2,Q3","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-2.7714209639498472e-05,0.3551193670913499,-5.032774528539119e-05,0.6448806329086502,-2.148216902362641e-05,0.4226780912192929,0.4039051666142406,0.3333333333333333,0.5,31,0.471278536942783,0.4900283195612333,0.1662531017369727,0.6228287841191067,0.3200992555831266,0.23573200992555832,0.826302729528536,0.33227026058279036,mixed_component
only_Q2,Q2 only,165,165,Q2,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-7.329823267452131e-06,0.09392157429304036,-7.071213165743753e-05,0.9060784257069596,-4.52522714605068e-06,0.08903730206771943,0.16359963201209127,0.06060606060606061,0.0,-1,0.4593119356650133,0.48014405127466736,0.09090909090909091,0.6121212121212121,0.2787878787878788,0.006060606060606061,0.8242424242424242,0.18409262988253347,secondary_or_guard
only_S,S targets only,501,192,"S1,S2,S3,S4","id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-5.0327745285391196e-05,0.6448806329086503,-2.771420963949846e-05,0.3551193670913498,-2.934177825421127e-05,0.577321908780707,0.5960948333857595,0.6666666666666666,0.5,21,0.3074537682657172,0.35023556294041525,0.10978043912175649,0.5089820359281437,0.2275449101796407,0.2954091816367265,0.8143712574850299,0.3573154918632498,necessary_body
only_S1,S1 only,95,95,S1,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10",-1.6281858581034694e-05,0.2086295582511347,-6.176009634385496e-05,0.7913704417488653,-1.140845333671043e-05,0.2244700372118717,0.1606521243348836,0.3939393939393939,0.375,41,0.26751709104984284,0.3043801545227486,0.021052631578947368,0.4631578947368421,0.14736842105263157,0.5368421052631579,0.8315789473684211,0.4551041700079057,hard_tail_uncertain
