pred_index,base_index,tag,strategy,source,fallback,blend_e86_weight,blend_e90_weight,tail_quantile,target_scope,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,structural_all_sets_tail_neutral,structural_all_sets_beat_base,structural_hidden_core_beats_base,structural_world_nonworse,structural_raw_energy_nonworse,structural_strict_gate,structural_loose_gate,e72_adverse_positive_exposure_all,e72_adverse_weighted_positive_mean,e72_adverse_positive_weight_frac,hard_worst_tail_mean,kl_if_mixmin_calibrated,max_abs_logit_move_vs_mixmin,moved_cells_vs_mixmin,moved_rows_vs_mixmin,active_targets_vs_mixmin,tail_reduction_vs_e86,tail_reduction_vs_e90,tail_reduction_vs_e89,margin_loss_vs_e86,margin_gain_vs_e89,beats_e90_tail_and_margin,beats_e89_tail_and_margin,beats_e85_tail_and_margin,strict_nondominated_vs_e89_e90,materialized_submission
96,0,e95_row_hardtail_fallback_ff02605b,row_hardtail_fallback,e86,e89,,,0.9,s1s2s3,-2.7553686887671347e-05,-2.7553686887671347e-05,-3.460555522616371e-05,-6.53664436756074e-06,-6.53664436756074e-06,-1.3793929578120867e-05,-3.525976007712206e-05,-3.525976007712206e-05,-3.460555522616371e-05,-4.0864656217998174e-05,-4.0864656217998174e-05,-3.460555522616371e-05,-4.0864656217998174e-05,-6.53664436756074e-06,3,3,95,-0.000300025675997484,-0.00017438858563512127,-0.00023485425452501874,-0.000290814306410897,-0.00045134790335617236,-0.0003710811048835347,-0.0005274035213109412,5.947623346206196e-17,0.7777777777777778,1.0,True,0.005999146312185815,0.005411601559084213,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009841064105838655,0.0032073930645577665,0.41750061069309113,0.0028895087941967234,1.2821282378939016e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",2.6135225137226183e-05,-5.0075779126847794e-05,-0.00018499693027360044,1.521829408046571e-07,1.6577349317703494e-06,False,False,False,False,False
79,0,e95_row_hardtail_fallback_5bc6cf07,row_hardtail_fallback,e86,e89,,,0.8,q2s3,-2.754364947943344e-05,-2.754364947943344e-05,-3.463686265092747e-05,-5.9315693661243785e-06,-5.9315693661243785e-06,-1.3118109916998577e-05,-3.5483390213086885e-05,-3.5483390213086885e-05,-3.463686265092747e-05,-4.1215988858978037e-05,-4.1215988858978037e-05,-3.463686265092747e-05,-4.1215988858978037e-05,-5.9315693661243785e-06,3,3,78,-0.0002842942611605004,-0.0001639394392964899,-0.00022886586648274143,-0.000237483714100567,-0.0004454795193176153,-0.00034148161670909116,-0.0004922956942465953,5.947623346206196e-17,0.7777777777777778,1.0,True,0.00593928192759417,0.005119366942072243,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009536194880190832,0.0030915544308422137,0.40054328977923676,0.0028664553754792752,1.270172705466825e-05,0.0816189857372911,570,250,"Q2,S1,S2,S3",5.662214770200849e-05,-1.9588856562065488e-05,-0.00015451000770881813,1.6222034904256333e-07,1.6476975235324431e-06,False,False,False,False,False
94,0,e95_cell_hardtail_fallback_86949d13,cell_hardtail_fallback,e86,e89,,,0.9,all,-2.7493576374104656e-05,-2.7493576374104656e-05,-3.459843993569578e-05,-6.22129694605178e-06,-6.22129694605178e-06,-1.3375316838093454e-05,-3.531530435396668e-05,-3.531530435396668e-05,-3.459843993569578e-05,-4.094412782207346e-05,-4.094412782207346e-05,-3.459843993569578e-05,-4.094412782207346e-05,-6.22129694605178e-06,3,3,93,-0.00029505944820261697,-0.0001733895013902309,-0.0002348532663171421,-0.000290814306410897,-0.00045217436118909216,-0.0003714943337999946,-0.0005285123776841684,5.947623346206196e-17,0.7777777777777778,1.0,True,0.006013896415664322,0.005423450339696512,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009806863701657524,0.003199326668347823,0.4186961438780894,0.0028935222576259444,1.2829197621832365e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",2.955526555533934e-05,-4.665573870873464e-05,-0.00018157688985548728,2.122934543713484e-07,1.597624418203658e-06,False,False,False,False,False
95,0,e95_row_hardtail_fallback_2af16eaf,row_hardtail_fallback,e86,e89,,,0.9,all,-2.74895929217589e-05,-2.74895929217589e-05,-3.425487597408239e-05,-6.455332106969358e-06,-6.455332106969358e-06,-1.3793929578120867e-05,-3.521517209970071e-05,-3.521517209970071e-05,-3.425487597408239e-05,-4.0798274558384584e-05,-4.0798274558384584e-05,-3.425487597408239e-05,-4.0798274558384584e-05,-6.455332106969358e-06,3,3,94,-0.0002814410697446368,-0.00016083581268433456,-0.00023099865729800384,-0.0002638251258220148,-0.00045134790335617236,-0.0003575865145890936,-0.0005092320496484864,5.947623346206196e-17,0.7777777777777778,1.0,True,0.005965096680576276,0.0052924278484508275,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009697191712560283,0.0031527098045565165,0.40886437287260585,0.0028751215548688857,1.2762579133800853e-05,0.0816189857372911,575,250,"Q2,S1,S2,S3",4.052246446506339e-05,-3.5688539799010586e-05,-0.00017060969094576323,2.1627690671710553e-07,1.593640965857901e-06,False,False,False,False,False
10,0,e95_blend_e86_e89_c73c5dcd,blend_e86_e89,e86,e89,0.8,,,,-2.7480261328927114e-05,-2.7480261328927114e-05,-3.4609644651073523e-05,-6.770139277634257e-06,-6.770139277634257e-06,-1.3643370251337217e-05,-3.504468282122808e-05,-3.504468282122808e-05,-3.4609644651073523e-05,-4.062596188780798e-05,-4.062596188780798e-05,-3.4609644651073523e-05,-4.062596188780798e-05,-6.770139277634257e-06,3,3,9,-0.0002720258845833767,-0.00014849554664453368,-0.00022691304432967407,-0.00023343205760201213,-0.00045794078289591866,-0.0003456864202489654,-0.0005038736347241391,5.947623346206196e-17,0.7777777777777778,1.0,True,0.005929517421096964,0.005237267974575113,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009678213753941802,0.0031589986214799605,0.417500610693091,0.002868322335578049,1.277760201464043e-05,0.08039961775760096,579,250,"Q2,S1,S2,S3",4.242026032691155e-05,-3.379074393716243e-05,-0.00016871189508391507,2.256084995488905e-07,1.584309373026116e-06,False,False,False,False,False
59,0,e95_row_hardtail_fallback_3d6d9def,row_hardtail_fallback,e86,e89,,,0.7,q2s3,-2.744262329423819e-05,-2.744262329423819e-05,-3.463686265092747e-05,-5.683572361303568e-06,-5.683572361303568e-06,-1.3118109916998577e-05,-3.544405311306509e-05,-3.544405311306509e-05,-3.463686265092747e-05,-4.120024440823489e-05,-4.120024440823489e-05,-3.463686265092747e-05,-4.120024440823489e-05,-5.683572361303568e-06,3,3,58,-0.0002444325642690204,-0.00013233910413290584,-0.00022222608922947695,-0.0001919430101777475,-0.00044454178246740306,-0.0003182423963225753,-0.0004784206855289177,5.947623346206196e-17,0.7777777777777778,1.0,True,0.0058712639976106545,0.0048813041871299395,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009259143824706782,0.002963425462500586,0.3855012506784897,0.0028387502699308703,1.250182585926393e-05,0.0816189857372911,564,250,"Q2,S1,S2,S3",8.432725325041351e-05,8.116248986339536e-06,-0.0001268049021604131,2.632465342378154e-07,1.546671338337191e-06,True,False,False,True,False
100,0,e95_cell_hardtail_fallback_e31c7981,cell_hardtail_fallback,e86,e85,,,0.9,all,-2.7441009740281075e-05,-2.7441009740281075e-05,-3.440724372716364e-05,-6.35165432194551e-06,-6.35165432194551e-06,-1.3375316838093454e-05,-3.518657483125853e-05,-3.518657483125853e-05,-3.440724372716364e-05,-4.078480006741714e-05,-4.078480006741714e-05,-3.440724372716364e-05,-4.078480006741714e-05,-6.35165432194551e-06,3,3,99,-0.000290099981304609,-0.0001693777243735317,-0.0002348114847145477,-0.000290814306410897,-0.00045217436118909216,-0.0003714943337999946,-0.0005285123776841684,5.947623346206196e-17,0.7777777777777778,1.0,True,0.006000254909737651,0.005423450339696512,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009710566412558715,0.0031920394981882977,0.4186961438780894,0.002883892528716064,1.2769867577199795e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",3.9184994465220183e-05,-3.702600979885379e-05,-0.00017194716094560644,2.6486008819492923e-07,1.5450577843800772e-06,False,False,False,False,False
76,0,e95_cell_hardtail_fallback_66e05bb9,cell_hardtail_fallback,e86,e89,,,0.8,s1s2s3,-2.7419884383039772e-05,-2.7419884383039772e-05,-3.459843993569578e-05,-6.0463338302785274e-06,-6.0463338302785274e-06,-1.3232701603804742e-05,-3.5268754636996746e-05,-3.5268754636996746e-05,-3.459843993569578e-05,-4.0944564681955065e-05,-4.0944564681955065e-05,-3.459843993569578e-05,-4.0944564681955065e-05,-6.0463338302785274e-06,3,3,75,-0.00028973725283374383,-0.00017003493360912003,-0.00023257422534550543,-0.000290814306410897,-0.0004475867389382715,-0.00036920052267458425,-0.0005226479187996714,5.947623346206196e-17,0.7777777777777778,1.0,True,0.005989562802180722,0.0053711199360730755,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.00097237120467121,0.003173700763443588,0.4186961438780894,0.0028852070921314018,1.2668397673700537e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",3.787043104988173e-05,-3.8340573214192247e-05,-0.0001732617243609449,2.8598544543623206e-07,1.5239324271387744e-06,False,False,False,False,False
102,0,e95_row_hardtail_fallback_8ca07310,row_hardtail_fallback,e86,e85,,,0.9,s1s2s3,-2.7415596143720578e-05,-2.7415596143720578e-05,-3.434407313795962e-05,-6.8503077990111905e-06,-6.8503077990111905e-06,-1.347318512268103e-05,-3.4984865811438226e-05,-3.4984865811438226e-05,-3.434407313795962e-05,-4.041161482049027e-05,-4.041161482049027e-05,-3.434407313795962e-05,-4.041161482049027e-05,-6.8503077990111905e-06,3,3,101,-0.00029699094258378025,-0.0001718255480130937,-0.0002326292008422437,-0.000290814306410897,-0.00045134790335617236,-0.0003710811048835347,-0.0005274035213109412,5.947623346206196e-17,0.7777777777777778,1.0,True,0.005953459737763345,0.005411601559084213,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009757113181293118,0.003195822983195634,0.41750061069309113,0.0028647016735253122,1.26838729714025e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",3.453031759177987e-05,-4.1680686672294106e-05,-0.00017660183781904675,2.902736847554266e-07,1.5196441878195799e-06,False,False,False,False,False
77,0,e95_row_hardtail_fallback_1fbbc836,row_hardtail_fallback,e86,e89,,,0.8,s1s2s3,-2.739002212903685e-05,-2.739002212903685e-05,-3.460555522616371e-05,-6.291970747418496e-06,-6.291970747418496e-06,-1.3671136717352539e-05,-3.516339682640979e-05,-3.516339682640979e-05,-3.460555522616371e-05,-4.0714698813060224e-05,-4.0714698813060224e-05,-3.460555522616371e-05,-4.0714698813060224e-05,-6.291970747418496e-06,3,3,76,-0.0002945436681591251,-0.0001730220163466134,-0.00023205126230796402,-0.000290814306410897,-0.0004454795193176153,-0.00036814691286425616,-0.0005222293891663341,5.947623346206196e-17,0.7777777777777778,1.0,True,0.0059650475378197326,0.005369862936568275,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009725452650548938,0.003178043410653619,0.41750061069309113,0.0028750600865262766,1.2629718958026164e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",3.769637066619786e-05,-3.8514633597876114e-05,-0.00017343578474462876,3.1584769943915347e-07,1.494070173135853e-06,False,False,False,False,False
