pool,base_agg,delta_agg,gate,n,pool_size,strict_consensus_gate,loose_consensus_gate,all_margin_vs_mixmin,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_sets_beating_base,best_sets_tail_neutral,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate
translator_tail_soft_max_m1.00,mean,mean,none,7,44,1,3,1,-1.0277512363709995e-05,-5.406239034777549e-06,7.79759223112908e-06,3,3,-0.0005423682721708012,-0.000488815097453127,0.9166666666666666
top100_heldout,mean,weighted_mean,none,7,100,1,3,1,-1.0100404441715227e-05,-5.311711578359635e-06,4.72486074198919e-06,3,3,-0.0008253973707146797,-0.0007967102570165252,0.9166666666666666
top100_heldout,mean,signed_p75,none,7,100,1,2,1,-1.0116116212044446e-05,-5.327423348688853e-06,5.988807377677041e-06,3,3,-0.0005139228600901102,-0.0004687405309949989,0.8888888888888888
translator_tail_soft_p90_m1.00,mean,signed_p75,none,7,34,1,2,1,-1.0110626624815211e-05,-5.2134515594604025e-06,6.512155134363873e-06,3,3,-0.0004864747541941175,-0.0004974875036664441,0.8888888888888888
translator_tail_soft_max_m1.00,median,mean,none,7,44,1,2,1,-1.0018399377642595e-05,-5.351107856266246e-06,7.132740844295604e-06,3,3,-0.0005423682721707943,-0.0004899416702529135,0.9166666666666666
all,mean,weighted_mean,none,7,155,1,2,1,-1.0005660862399957e-05,-5.147950634221132e-06,2.7721607265274173e-06,3,3,-0.0004106961438385959,-0.00042443424305992354,0.9166666666666666
all,mean,signed_p75,none,7,155,0,3,0,-9.990886392308163e-06,-5.133176164129338e-06,1.934716843177142e-06,3,3,-0.0004123732183295911,-0.00042918699965002185,0.7777777777777778
top100_heldout,median,weighted_mean,none,7,100,0,3,0,-9.968980588137555e-06,-5.332161841176131e-06,4.309560068582741e-06,3,3,-0.0008253973707147075,-0.000797828715352056,0.9166666666666666
top100_heldout,mean,mean,none,7,100,0,3,0,-9.875181247509524e-06,-5.086488384153931e-06,4.804304554406613e-06,3,3,-0.0006747115448456423,-0.0006486335441639457,0.9166666666666666
high_block,mean,mean,none,7,65,0,3,0,-9.824231990918086e-06,-5.096440156004967e-06,7.918797377604037e-06,3,3,-0.0006468626787476256,-0.0006151238053239303,0.9166666666666666
