scenario_id,feature_view,dropped_public,train_rows,feature_count,gated_count,top_variant,top_family,top_origin,top_file,top_score,generated_gated_count,train_spearman_ridge_10,train_spearman_ridge_1,train_spearman_knn3,train_spearman_extratrees,e365_rank,e365_score,top_beats_e365,top_is_e365
all__none,all,none,13,164,367,e370_q21p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,e370_generated,analysis_outputs/submission_e370_q2s1safe_e370_q21p0_s11p15_orth0p0_plain_3b8f8737.csv,8.468447071466953,0,0.967032967032967,0.9945054945054945,1.0,0.9917393003710356,,6.545491671144547,True,False
all__drop_submission_hybrid_0p578_logit_after_subjec,all,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,164,367,e370_q21p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,e370_generated,analysis_outputs/submission_e370_q2s1safe_e370_q21p0_s11p15_orth0p0_plain_3b8f8737.csv,8.463234819989253,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,,6.545652874798496,True,False
all__drop_submission_hybrid_0p567_foldsafe_stage2_q1,all,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,164,146,e370_q21p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,e370_generated,analysis_outputs/submission_e370_q2s1safe_e370_q21p0_s11p15_orth0p0_plain_3b8f8737.csv,8.465008060182697,0,0.9790209790209792,0.9930069930069931,1.0,0.9929823694376383,,6.5250725416442785,True,False
all__drop_submission_ordinal_q_constraints_ambnext_Q,all,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,164,361,e370_q21p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,e370_generated,analysis_outputs/submission_e370_q2s1safe_e370_q21p0_s11p15_orth0p0_plain_3b8f8737.csv,8.466835034927458,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,,6.5457603439011285,True,False
all__drop_submission_mixmin_0c916bb4_csv,all,submission_mixmin_0c916bb4.csv,12,164,361,e370_q21p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,e370_generated,analysis_outputs/submission_e370_q2s1safe_e370_q21p0_s11p15_orth0p0_plain_3b8f8737.csv,8.469199355185385,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,,6.547963460505106,True,False
all__drop_submission_e72_topabs50_q2s3_gate_4e48cba2,all,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,12,164,229,e370_q21p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,e370_generated,analysis_outputs/submission_e370_q2s1safe_e370_q21p0_s11p15_orth0p0_plain_3b8f8737.csv,8.440612573885009,0,0.9580419580419581,0.9930069930069931,1.0,0.9947414184151023,,6.504760881246642,True,False
all__drop_submission_e95_hardtail_541e3973_csv,all,submission_e95_hardtail_541e3973.csv,12,164,363,e370_q21p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,e370_generated,analysis_outputs/submission_e370_q2s1safe_e370_q21p0_s11p15_orth0p0_plain_3b8f8737.csv,8.47231595916174,0,0.9860139860139862,1.0,1.0,0.9964973622679555,,6.551080064481462,True,False
all__drop_submission_e101_q2s3tail_177569bc_csv,all,submission_e101_q2s3tail_177569bc.csv,12,164,363,e370_q21p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,e370_generated,analysis_outputs/submission_e370_q2s1safe_e370_q21p0_s11p15_orth0p0_plain_3b8f8737.csv,8.47231595916174,0,1.0,1.0,1.0,0.99124495269876,,6.53807630306287,True,False
all__drop_submission_e176_abl_q2_to0p75_91e49725_csv,all,submission_e176_abl_q2_to0p75_91e49725.csv,12,164,152,e370_q21p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,e370_generated,analysis_outputs/submission_e370_q2s1safe_e370_q21p0_s11p15_orth0p0_plain_3b8f8737.csv,8.477581945190758,0,0.965034965034965,0.9930069930069931,1.0,0.9947414184151023,,6.551080064481462,True,False
all__drop_submission_e216_maskfam_jepa_s2_rank_e154_,all,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,12,164,292,e370_q21p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,e370_generated,analysis_outputs/submission_e370_q2s1safe_e370_q21p0_s11p15_orth0p0_plain_3b8f8737.csv,8.33427189682966,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,,6.471767866738314,True,False
