model_split,gate,kept_rows,pruned_rows,kept_support_precision,pruned_bad_rate,pruned_mean_support_prob,kept_mean_support_prob,pruned_benefit_sum,kept_benefit_sum,q3_target_delta,loss_vs_full_q3,full_q3_target_delta,overall_delta,subject_delta_mean,subject_win_rate,oof_gate_pass,oof_score
lr_l2_c0p10__stratified5,drop_prob_low1,449,1,0.5011135857461024,0.0,0.006806895334437219,0.49099411116691777,0.13272330951245853,1.7852275831357083,-0.003967172406968422,0.000294940687805334,-0.004262113094773756,-0.0005667389152812032,-0.004468342765196265,0.6,False,0.0008038234522628751
lr_l2_c0p10__stratified5,drop_risk_top1,449,1,0.5011135857461024,0.0,0.006806895334437219,0.49099411116691777,0.13272330951245853,1.7852275831357083,-0.003967172406968422,0.000294940687805334,-0.004262113094773756,-0.0005667389152812032,-0.004468342765196265,0.6,False,0.0008038234522628751
lr_l2_c0p10__stratified5,drop_prob_low3,447,3,0.4988814317673378,0.0,0.0156697063634768,0.49310101496686815,0.1862242262423846,1.7317266664057822,-0.003848281480901883,0.0004138316138718734,-0.004262113094773756,-0.0005497544972716975,-0.004337852724391555,0.6,False,0.00026881428496344784
lr_l2_c0p10__stratified5,drop_risk_top3,447,3,0.5011185682326622,0.3333333333333333,0.24279628385517582,0.4915766755206152,0.239238560799459,1.6787123318487076,-0.0037304718485526855,0.0005316412462210707,-0.004262113094773756,-0.0005329245497932408,-0.004147504228354482,0.6,False,-0.0002613290606079399
lr_l2_c0p10__stratified5,drop_prob_low5,445,5,0.4966292134831461,0.0,0.03559729920859575,0.4950228681196349,0.228647255397245,1.6893036372509216,-0.003754008082779814,0.0005081050119939423,-0.004262113094773756,-0.0005362868689685449,-0.004263360477539923,0.6,False,-0.0001554160065858623
lr_l2_c0p10__stratified5,drop_risk_top5,445,5,0.49887640449438203,0.2,0.2563075828432208,0.4925429772922796,0.6287137400582458,1.289237152589921,-0.002864971450199927,0.0013971416445738294,-0.004262113094773756,-0.0004092816357428467,-0.0031926383400111115,0.5,False,-0.004156080853195354
lr_l2_c0p10__stratified5,drop_prob_low8,442,8,0.497737556561086,0.25,0.05563051883567918,0.4977785490013463,0.2274791632677901,1.6904717293803766,-0.0037566038430676407,0.0005055092517061155,-0.004262113094773756,-0.0005366576918668058,-0.004276976683413591,0.6,False,-0.0001437350852906416
lr_l2_c0p10__stratified5,drop_risk_top8,442,8,0.5,0.375,0.26547368494779705,0.49398048264637595,0.6272043244753167,1.29074656817285,-0.002868325707050867,0.001393787387722889,-0.004262113094773756,-0.00040976081529298103,-0.003104825762936614,0.6,False,-0.0041409866973661225
lr_l2_c0p10__stratified5,drop_prob_low13,437,13,0.4988558352402746,0.38461538461538464,0.07647979683114119,0.5022172207104707,0.2094492713331354,1.7085016213150312,-0.0037966702695890753,0.00046544282518468094,-0.004262113094773756,-0.0005423814670841536,-0.0043130628747622855,0.6,False,3.656383405581387e-05
lr_l2_c0p10__stratified5,drop_risk_top13,437,13,0.5011441647597255,0.46153846153846156,0.2519794516292483,0.49699640718100757,0.6163004573345431,1.3016504353136236,-0.0028925565229193095,0.0013695565718544467,-0.004262113094773756,-0.00041322236041704423,-0.002988953155009677,0.6,False,-0.004031948025958132
