prior,outcome,worlds,world_rate,mean_delta_vs_e95,p05_delta,p50_delta,p95_delta,support_cells_mean,support_flip_share_mean,support_flip_share_lift,top20_support_rate,fine_tail_support_rate,body_support_rate
global,breakthrough_win,165636,0.662544,-8.900183432417133e-05,-0.0001802451975681846,-8.081662613961708e-05,-2.6530911853900725e-05,92.55161317587964,0.5049587224553383,0.02083390350029568,0.5070132700620638,0.4625199735162243,0.5059076634254053
global,clean_win,16166,0.064664,-1.3440651872635823e-05,-1.8530911853903685e-05,-1.3388054711045459e-05,-7.10234042533045e-06,85.87721143139923,0.4647910221849287,-0.019333796770113987,0.46453049610293207,0.459441626458823,0.46491063600240673
global,micro_win,4588,0.018352,-4.5941824978175735e-06,-5.9594832824761905e-06,-5.3880547110391734e-06,-3.67376899675619e-06,85.25653879686138,0.4600883121588254,-0.024036506796217272,0.4603857890148213,0.46696091252542865,0.4599346391071496
global,tie,5443,0.021772,-5.018837444033e-07,-1.959483282475178e-06,-2.451975681887486e-07,1.469088146099437e-06,83.85247106375161,0.4579128799539424,-0.02621193900110025,0.459452507808194,0.415686814869251,0.45885706526018377
global,fine_loss_branch_alive,6924,0.027696,5.606003224087781e-06,2.61194528895498e-06,6.040516717525883e-06,7.754802431814541e-06,84.6421143847487,0.45466597770763023,-0.029458841247412437,0.45494656268053146,0.480592865395725,0.4540862460574615
global,branch_loss,5862,0.023448,1.1561109396768313e-05,9.469088146096308e-06,1.1183373860384467e-05,1.461194528895446e-05,83.07983623336744,0.4515002924700266,-0.03262452648501607,0.45325827362674853,0.42955333788240646,0.4519910318272652
global,hard_fail,45381,0.181524,5.341091402036228e-05,1.746908814609846e-05,4.546908814609503e-05,0.00011746908814609651,79.9061942222516,0.42925328211422775,-0.054871536840814916,0.4283642934267645,0.45348548952204665,0.4287114439361645
subject,breakthrough_win,124312,0.497248,-7.198003525768785e-05,-0.00014881662613961422,-6.253091185390525e-05,-2.481662613961532e-05,90.393445524165,0.49591007471343473,0.027854673741380676,0.47181848896325373,0.4297376091340069,0.4973897074841543
subject,clean_win,19848,0.079392,-1.3397066054397653e-05,-1.8530911853905718e-05,-1.3388054711045425e-05,-7.102340425332119e-06,85.19397420395002,0.46476785232407913,-0.003287548647974925,0.4408101571946796,0.42613655448072013,0.465631657741694
subject,micro_win,5780,0.02312,-4.547916302740889e-06,-6.530911853901247e-06,-3.6737689967621116e-06,-3.673768996757781e-06,85.03737024221454,0.4600637174317949,-0.007991683540259142,0.4353373702422145,0.4564158016147635,0.4601452857357777
subject,tie,8267,0.033068,-5.464296613642543e-07,-1.9594832824755427e-06,-2.4519756818923237e-07,1.4690881460984096e-06,83.34982460384661,0.4579365601953401,-0.010118840776713933,0.43549050441514453,0.39085621547518246,0.45943649336920644
subject,fine_loss_branch_alive,8335,0.03334,5.799604899889505e-06,2.611945288955446e-06,6.040516717525883e-06,7.754802431813083e-06,84.16628674265147,0.454563060656399,-0.01349234031565505,0.4312897420515897,0.45809838032393524,0.4544840100302921
subject,branch_loss,9167,0.036668,1.1454657502016881e-05,9.469088146095935e-06,1.1183373860383152e-05,1.4611945288954463e-05,82.31711574124577,0.45155688141772254,-0.016498519554331514,0.43057161557761536,0.391708483327879,0.4528951064681781
subject,hard_fail,74291,0.297164,5.6480504641461764e-05,1.9183373860381542e-05,4.832623100323966e-05,0.0001220405167175258,79.02570970911685,0.42762151310240376,-0.0404338878696503,0.40524760738178245,0.42349062021868955,0.4277138808935919
prev_beta,breakthrough_win,127738,0.510952,-7.206707851646823e-05,-0.0001488166261396148,-6.367376899675916e-05,-2.4816626139615993e-05,90.41774569822606,0.49595634619061146,0.02675755761223897,0.4754462258685747,0.4305554468260554,0.4974187265490728
