role,output_file,label,risk_posture,submit_condition,selector,graft_alpha,e101_pass,dominates_e101_unconditional,active_cells_vs_e95,move_cells,move_rows,move_edge_rate,all_delta_vs_mixmin,e72_adverse_positive_exposure_all,hidden_q2s3_mean_minus_base,world_support_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,mean_vs_e95_broad_plausible,p95_vs_e95_broad_plausible,beat_e95_rate_broad_plausible,mean_gain_vs_e101_unconditional,p95_gain_vs_e101_unconditional,beat_gap_vs_e101_unconditional,edge_win_mean_vs_e101,edge_win_p95_vs_e101,edge_win_beat_e101_rate,edge_win_rank_vs_e101,small_win_mean_vs_e101,small_win_p95_vs_e101,small_win_beat_e101_rate,small_win_rank_vs_e101,tie_p95_vs_e101,tie_beat_e101_rate
if_e101win_risk_amp050,submission_e108_if_e101win_amp050_079aab57.csv,e104_amp_active_all_a0.500_079aab57,risk_tolerant_top_conditional,Only after E101 beats E95 by edge/small-win scale and higher amplitude risk is acceptable.,active_all,0.5,False,False,50,50,48,0.62,-2.3874695975645288e-05,0.0005961224759748906,-0.0001295127300596638,-9.870684292926923e-05,0.75,0.9722222222222222,-2.9942366768144978e-05,-2.496942970351932e-06,0.9779837775202781,-1.3737075017548255e-05,-9.328641781306894e-07,-0.0055040556199305035,-1.2555821454351136e-05,-9.546124060927682e-06,1.0,1.0,-4.165340655080201e-06,-1.4591717452776365e-06,0.9973045822102424,1.0,1.5879678717104871e-06,0.6852459016393443
if_e101win_strict_amp038,submission_e108_if_e101win_strict_amp038_64514c53.csv,e104_amp_active_all_a0.380_64514c53,strict_e101_pass_conservative,Only after E101 beats E95 and the next slot should minimize private-risk while testing amplitude-up.,active_all,0.38,True,False,50,50,48,0.62,-2.4687013610247277e-05,0.0006421862308849387,-0.00015942497194293415,-0.00010698188363620908,0.75,0.9722222222222222,-2.3694925052941363e-05,-2.180983425952645e-06,0.9808806488991889,-7.48963330234464e-06,-6.169046337314025e-07,-0.002607184241019689,-6.863924106799931e-06,-5.292829066129208e-06,1.0,54.0,-2.3157643938615153e-06,-9.53804572327154e-07,1.0,49.0,6.795292666520416e-07,0.7344262295081967
