base_view,model,pairs,mean_delta_loss,median_delta_loss,p10_delta_loss,mean_delta_tail_auc,median_delta_tail_auc,promoted_by_nn,demoted_by_nn,nn_better_loss_rate,nn_better_tail_auc_rate
latent_no_targetid,hgb_shallow,624,5.734884682916462e-05,5.3880462013261056e-05,-0.0003482037271596576,-0.001351339506885211,0.0018578613041730918,46,52,0.42467948717948717,0.625
movement,hgb_shallow,624,0.00012264128565120922,5.755452373438724e-05,-0.0003487139809747111,-0.027702885500178496,-0.010021190181882522,26,55,0.42788461538461536,0.125
latent_no_targetid,lr_l2_c0p10,624,5.6997033870687644e-05,6.241782457595016e-05,-0.0002527631076642432,-0.013633994539290688,-0.011697393995079186,8,7,0.38621794871794873,0.0
movement,lr_l2_c0p10,624,0.00011373987083909503,8.704469848423279e-05,-0.00031157450510001743,-0.02949838566293013,-0.015066045911714565,51,54,0.3557692307692308,0.0625
