prior,n_sims,mean_delta,median_delta,std_delta,p05_delta,p95_delta,prob_win_delta_lt0,prob_loss_delta_gt0,prob_ge_half_observed,prob_ge_observed,near_observed_abs_delta_cut,near_observed_count,near_observed_mean_delta,ge_observed_count,ge_observed_mean_delta
global,200000,-0.00043181929148887845,-0.0004301538394657638,0.00048250521763354046,-0.0012292375822680588,0.00035830278561928644,0.814695,0.185305,0.0266,0.001215,0.00031357135602936995,2000,0.0008306553472738733,243,0.0011363834365926164
subject,200000,-0.00026834666520784663,-0.00026719879768542554,0.0004727309307218616,-0.0010470384641568216,0.000509944376714952,0.715185,0.284815,0.052845,0.003395,0.0001857377126990019,2000,0.0009356331821428218,679,0.0011355548701711103
nearest_hard085,200000,-0.0002529455369049528,-0.00025237216506783034,0.000466700822218447,-0.0010247355450149933,0.0005092662809001148,0.704235,0.295765,0.05265,0.00337,0.00019072407437589593,2000,0.0009310139476022486,674,0.001134198753817939
focus_mean,200000,-0.0003182281664231923,-0.0003167396985527889,0.0004791196810436632,-0.0011089659665913327,0.00046774030987216457,0.74618,0.25382,0.043915,0.00292,0.00021279320733366645,2000,0.0009161654907048597,584,0.0011322144530944828
