family,n,best_full_rank,best_compat_rank,best_full_expected,best_compat_expected,median_orth_to_a2c8,median_move_vs_a2c8,best_actual_anchor,best_raw05_rel_delta
public6_q3s4corr,160,209,1,0.5794580178510848,0.5754625308626703,0.19788568726878336,0.00028528774058666584,0.5778274703403593,
frontier_cvjepa,87,134,8,0.5794540806677718,0.5754626456013325,0.10642838583653501,7.918688209710296e-05,0.5778270696621507,-4.108591127982564e-06
known_best_a2c8,1,133,24,0.5794540558408203,0.5754628886510602,0.0,0.0,0.5778270681645602,-3.3478078246274023e-06
axisrepair,84,204,44,0.5794570965123215,0.575462927135119,0.1263960724514594,0.0001437126320238469,0.5778283410091377,
public6_drift,160,300,140,0.5794646996732484,0.5754636616332905,,,,
other,693,35,317,0.5775032998083567,0.575465166300364,0.9661854885801001,0.013636733555267884,0.5778402624423046,-3.106235171079774e-06
raw05,1,1264,1120,0.5796398765998874,0.5755076307707678,,,0.5779059943862466,0.0
public_minimax,24,12,1133,0.5774290577216936,0.5757489208387123,0.948778107825016,0.017939562374519,0.5782578799977462,
public_entropy,53,1,1151,0.5774190620100295,0.5758743555794572,0.9754142142068503,0.01728771730443506,0.5781870988839822,
public_maskaware,12,3,1162,0.5774204464028558,0.5759814423439488,0.9511083288690567,0.01819462959825897,0.5782109423814169,
