config,target,family,columns,n_columns,c_value,balanced,base_loss,proxy_loss,best_weight,best_blend_loss,delta_vs_base,subject_guard_mean_delta,subject_guard_median_delta,subject_guard_win_rate,subject_guard_p25_delta,subject_guard_p75_delta,subject_guard_mean_selected_weight,geometry_mean_delta,geometry_median_delta,geometry_win_rate,geometry_repeats,geometry_scored_rows,passes_loose,passes_strict
S4_waso_relative_c0p3_bal,S4,waso_relative,proxy_dyn_screen_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_step_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_active_burst_count_subj_center,5,0.3,True,0.6034040622125061,0.7055464468510402,0.02,0.6032162078710825,-0.0001878543414235434,0.0005817218868779829,0.0,0.10277777777777777,0.0,0.000713438768091379,0.03219444444444445,-0.0001871384664837994,-0.0003451443875385207,0.625,8,1075,False,False
S4_waso_relative_c0p1_bal,S4,waso_relative,proxy_dyn_screen_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_step_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_active_burst_count_subj_center,5,0.1,True,0.6034040622125061,0.7024845555012408,0.02,0.6032336100251966,-0.00017045218730948886,0.0005428977490056022,0.0,0.06944444444444445,0.0,0.00079740784276916,0.030305555555555554,-0.00019250966548153836,-0.0003958129082455297,0.625,8,1075,False,False
S4_waso_relative_c0p03_bal,S4,waso_relative,proxy_dyn_screen_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_step_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_active_burst_count_subj_center,5,0.03,True,0.6034040622125061,0.6994042970282789,0.02,0.6032369685168658,-0.00016709369564027465,0.0005498894226418635,0.0,0.075,0.0,0.0007178789131570829,0.030805555555555555,-0.0002053957252587807,-0.00045416972299994196,0.625,8,1075,False,False
S4_waso_fragment_c0p3_bal,S4,waso_fragment,proxy_frag_screen_fragmentation|proxy_frag_screen_step_fragmentation|proxy_frag_screen_gap_minutes_between_quiet|proxy_frag_screen_step_gap_minutes_between_quiet|proxy_dyn_screen_wake_after120_screen_on_core_min|proxy_dyn_screen_step_wake_after120_screen_on_core_min|proxy_dyn_screen_step_wake_after120_step_core_sum|proxy_dyn_screen_step_wake_after120_active_burst_count,8,0.3,True,0.6034040622125061,0.6887909579621581,0.02,0.6032474977524647,-0.00015656446004141955,0.0006865711759505847,0.0,0.18055555555555555,0.0,0.0013052043572638894,0.03716666666666667,-0.00010991013374123115,-0.0001616634282892715,0.75,8,1075,False,False
S4_waso_relative_c0p3_plain,S4,waso_relative,proxy_dyn_screen_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_step_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_active_burst_count_subj_center,5,0.3,False,0.6034040622125061,0.6999607404554906,0.02,0.6032634783687806,-0.0001405838437255058,0.0007511425402260821,0.0001378788346149129,0.07222222222222222,0.0,0.0015741291640805621,0.03627777777777778,-5.1557425678736e-05,-9.162052761563233e-05,0.625,8,1075,False,False
S4_waso_relative_c0p03_plain,S4,waso_relative,proxy_dyn_screen_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_step_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_active_burst_count_subj_center,5,0.03,False,0.6034040622125061,0.6936772951586984,0.02,0.6032718277803485,-0.00013223443215759634,0.0006150408973032993,0.0,0.07222222222222222,0.0,0.0009733200917888263,0.03141666666666667,-0.00010533449182176247,-0.00027709280808713155,0.625,8,1075,False,False
S4_waso_relative_c0p1_plain,S4,waso_relative,proxy_dyn_screen_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_screen_on_core_min_subj_center|proxy_dyn_screen_step_wake_after120_step_core_sum_subj_center|proxy_dyn_screen_step_wake_after120_active_burst_count_subj_center,5,0.1,False,0.6034040622125061,0.6967165122832712,0.02,0.6032768204421328,-0.00012724177037326534,0.00065617374138862,0.0,0.07222222222222222,0.0,0.000982984786028318,0.03144444444444445,-6.678354918758511e-05,-0.00016975003385250043,0.625,8,1075,False,False
S4_waso_fragment_c0p1_bal,S4,waso_fragment,proxy_frag_screen_fragmentation|proxy_frag_screen_step_fragmentation|proxy_frag_screen_gap_minutes_between_quiet|proxy_frag_screen_step_gap_minutes_between_quiet|proxy_dyn_screen_wake_after120_screen_on_core_min|proxy_dyn_screen_step_wake_after120_screen_on_core_min|proxy_dyn_screen_step_wake_after120_step_core_sum|proxy_dyn_screen_step_wake_after120_active_burst_count,8,0.1,True,0.6034040622125061,0.689411416363244,0.02,0.6032912589359364,-0.00011280327656970623,0.0006424185553752284,0.0,0.1527777777777778,0.0,0.0009509447438983964,0.03305555555555555,-9.363844694271206e-05,-0.0002189177262263975,0.625,8,1075,False,False
S4_waso_fragment_c0p3_plain,S4,waso_fragment,proxy_frag_screen_fragmentation|proxy_frag_screen_step_fragmentation|proxy_frag_screen_gap_minutes_between_quiet|proxy_frag_screen_step_gap_minutes_between_quiet|proxy_dyn_screen_wake_after120_screen_on_core_min|proxy_dyn_screen_step_wake_after120_screen_on_core_min|proxy_dyn_screen_step_wake_after120_step_core_sum|proxy_dyn_screen_step_wake_after120_active_burst_count,8,0.3,False,0.6034040622125061,0.683215260343469,0.02,0.6032922203180974,-0.00011184189440871517,0.0005993439510979405,0.0,0.12222222222222222,0.0,0.0005042710449546794,0.03391666666666667,2.09882011065754e-05,8.386102845509003e-05,0.375,8,1075,False,False
S4_waso_fragment_c0p03_bal,S4,waso_fragment,proxy_frag_screen_fragmentation|proxy_frag_screen_step_fragmentation|proxy_frag_screen_gap_minutes_between_quiet|proxy_frag_screen_step_gap_minutes_between_quiet|proxy_dyn_screen_wake_after120_screen_on_core_min|proxy_dyn_screen_step_wake_after120_screen_on_core_min|proxy_dyn_screen_step_wake_after120_step_core_sum|proxy_dyn_screen_step_wake_after120_active_burst_count,8,0.03,True,0.6034040622125061,0.6906860850491268,0.02,0.6033089108304365,-9.515138206961371e-05,0.0007001492118858193,0.0,0.1361111111111111,0.0,0.0010977929819777077,0.03269444444444444,-9.526207782761809e-05,-0.000288981353492479,0.625,8,1075,False,False
S4_waso_fragment_c0p1_plain,S4,waso_fragment,proxy_frag_screen_fragmentation|proxy_frag_screen_step_fragmentation|proxy_frag_screen_gap_minutes_between_quiet|proxy_frag_screen_step_gap_minutes_between_quiet|proxy_dyn_screen_wake_after120_screen_on_core_min|proxy_dyn_screen_step_wake_after120_screen_on_core_min|proxy_dyn_screen_step_wake_after120_step_core_sum|proxy_dyn_screen_step_wake_after120_active_burst_count,8,0.1,False,0.6034040622125061,0.683800190830854,0.02,0.6033345690892363,-6.949312326975932e-05,0.0006079854528254247,0.0,0.13333333333333333,0.0,0.0006960120317271445,0.02947222222222222,3.012230315985187e-05,2.3167832816028966e-05,0.375,8,1075,False,False
