selector_name,description,source_rows,source_variants,source_pairs,deployable_rate,strict_rate,loose_rate,best_source_all_delta,median_source_all_delta,best_source_hidden_q2s3,best_source_world
exact_asym_all,all exact E75 asym8/28 rows,94,94,1,0.5212765957446809,0.5212765957446809,1.0,-1.255997048288382e-05,-1.216470992210228e-05,-0.0003997658198847,-0.00025240431137
exact_asym_deployable,deployable exact E75 asym8/28 rows,49,49,1,1.0,1.0,1.0,-1.255997048288382e-05,-1.2260717820566924e-05,-0.0003997658198847,-0.0002297985733404
best_deployable_per_variant,best deployable row in each source variant,94,94,6,1.0,1.0,1.0,-1.255997048288382e-05,-1.2113207132569137e-05,-0.0003997658198847,-0.0002297985733404
best_s3_deployable_per_variant,best S3-heavy deployable row in each source variant,94,94,6,1.0,1.0,1.0,-1.255997048288382e-05,-1.2113207132569137e-05,-0.0003997658198847,-0.0002297985733404
all_s3_deployable,all S3-heavy deployable rows,810,94,14,1.0,1.0,1.0,-1.255997048288382e-05,-1.1776136741470378e-05,-0.0005102730685158,-0.0003429992333286
pair_all_q2a8_s3a22,all rows for stable pair q2a8_s3a22,94,94,1,1.0,1.0,1.0,-1.19731813119639e-05,-1.1709693488293205e-05,-0.0003439578000697,-0.0002269736514632
pair_deployable_q2a8_s3a22,deployable rows for stable pair q2a8_s3a22,94,94,1,1.0,1.0,1.0,-1.19731813119639e-05,-1.1709693488293205e-05,-0.0003439578000697,-0.0002269736514632
pair_all_q2a12_s3a22,all rows for stable pair q2a12_s3a22,94,94,1,1.0,1.0,1.0,-1.193601168647529e-05,-1.1660958006143307e-05,-0.0004060159092397,-0.0002893235492187
pair_deployable_q2a12_s3a22,deployable rows for stable pair q2a12_s3a22,94,94,1,1.0,1.0,1.0,-1.193601168647529e-05,-1.1660958006143307e-05,-0.0004060159092397,-0.0002893235492187
pair_all_q2a8_s3a20,all rows for stable pair q2a8_s3a20,94,94,1,1.0,1.0,1.0,-1.1680978940997733e-05,-1.1444463508925029e-05,-0.0003251331842516,-0.000218326112888
pair_deployable_q2a8_s3a20,deployable rows for stable pair q2a8_s3a20,94,94,1,1.0,1.0,1.0,-1.1680978940997733e-05,-1.1444463508925029e-05,-0.0003251331842516,-0.000218326112888
pair_all_q2a8_s3a24,all rows for stable pair q2a8_s3a24,94,94,1,0.8617021276595744,0.8617021276595744,1.0,-1.2226346005395072e-05,-1.1916494587926874e-05,-0.0003627650616152,-0.0002355455395834
pair_deployable_q2a8_s3a24,deployable rows for stable pair q2a8_s3a24,81,81,1,1.0,1.0,1.0,-1.2226346005395072e-05,-1.1960456816728636e-05,-0.0003627650616152,-0.0002136077152513
pair_all_q2a12_s3a24,all rows for stable pair q2a12_s3a24,94,94,1,0.8191489361702128,0.8191489361702128,1.0,-1.2185173307366348e-05,-1.18745925437036e-05,-0.0004243844882064,-0.0002977647247378
pair_deployable_q2a12_s3a24,deployable rows for stable pair q2a12_s3a24,77,77,1,1.0,1.0,1.0,-1.2185173307366348e-05,-1.1921921231561328e-05,-0.0004243844882064,-0.0002749736574934
pair_all_q2a8_s3a26,all rows for stable pair q2a8_s3a26,94,94,1,0.8085106382978723,0.8085106382978723,1.0,-1.2421613044599766e-05,-1.2081838103084053e-05,-0.0003813678258509,-0.0002440416986719
pair_deployable_q2a8_s3a26,deployable rows for stable pair q2a8_s3a26,76,76,1,1.0,1.0,1.0,-1.2421613044599766e-05,-1.2129368285707098e-05,-0.0003813678258509,-0.000221968977242
pair_all_sym16_e73,all rows for stable pair sym16_e73,94,94,1,0.7659574468085106,0.7659574468085106,1.0,-1.0572809503450742e-05,-1.0343986224237156e-05,-0.0004110105998719,-0.0003241661164649
pair_deployable_sym16_e73,deployable rows for stable pair sym16_e73,72,72,1,1.0,1.0,1.0,-1.0572809503450742e-05,-1.038345302439847e-05,-0.0004110105998719,-0.0003123119231608
