role,file,lane,question,source,raw_support_rate,raw_mean_delta,raw_worst_delta,anchor_low_half_better_rate,anchor_low_half_median_delta,anchor_low_half_max_delta,anchor_low_quarter_better_rate,anchor_low_quarter_max_delta,anchor_random_fit_better_rate,anchor_random_fit_max_delta,pair_p90_delta,pair_better_rate,old_p90_delta,old_better_rate,honest_cv_mean_delta,honest_cv_worst_delta,combo_delta_vs_b01,actual_anchor_score_final,bad_axis_abs_load,mean_abs_move_vs_a2c8,selector_hard_veto,normal_submit_gate_existing,raw_verdict,anchor_verdict,pair_verdict,old_verdict,honest_cv_verdict,better_view_count,worse_view_count,verdict_entropy,conflict_span,conflict_span_vs_raw05_gap,raw_anchor_better,selector_both_worse,selector_both_better,anchor_vs_selector,pair_vs_anchor,normal_submit_gate,public_sensor_gate,sensor_information_score,recommendation,expected_lb_anchor_low_half_max,expected_lb_pair_p90,expected_lb_old_p90
mixmin_0c916,analysis_outputs/submission_mixmin_0c916bb4.csv,anchor-loss worldview,Does binary/actual-anchor/anchor-loss geometry beat pair/old selector veto?,E35/E36/E32,0.5,6.510682797449263e-05,0.0004985744352835,1.0,-0.0008066753908312,-0.0005370960828407,1.0,-0.0005370960828407,1.0,-0.0005370960828407,0.0008791999010828,0.0,0.0010419327951444,0.0077220077220077,-0.0009519634945673,-0.000695966348303,-1.2877154548616498e-05,0.5777344877066474,0.2136258239978232,0.0456142000022373,True,False,worse,better,worse,worse,better,2,3,0.9709505944546686,0.0017378991434474,19.97902130967211,False,True,False,True,False,False,True,3.3551104205987574,top_anchor_worldview_sensor,0.5769022249171593,0.5783185209010827,0.5784812537951444
inverse7blend_1040,analysis_outputs/submission_inverse7blend_1040423d.csv,raw-structure bridge,Does raw observed structure plus anchor-loss support beat selector veto?,E35/E36/E32,1.0,-0.0007057272524655,-0.0005078258962346,1.0,-0.000190931698647,-2.461859097972654e-05,1.0,-3.527368882586863e-05,1.0,-2.461859097972654e-05,0.0001220375246895,0.0459459459459459,0.0006172916750013,0.0038610038610038,,,,,0.0524804220123769,0.0124130586636329,True,False,better,better,worse,worse,missing,2,2,1.0,0.0013230189274668,15.209526654421046,True,True,False,True,False,False,True,3.235599134483542,raw_anchor_vs_selector_sensor,0.5774147024090203,0.5775613585246895,0.5780566126750013
inv7_s1p00,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s1p00.csv,raw-structure bridge,Does scaled inverse7 raw+anchor support beat pair/old selector veto?,E37,1.0,-0.0007057272524655,-0.0005078258962346,1.0,-0.000190931698647,-2.4618590979796903e-05,1.0,-3.527368882594306e-05,1.0,-2.4618590979796903e-05,0.0001220375246895,0.0459459459459459,0.0006172916750013,0.0038610038610038,,,,,0.0524804220123769,0.0124130586636329,True,False,better,better,worse,worse,missing,2,2,1.0,0.0013230189274668,15.209526654421046,True,True,False,True,False,False,True,3.235599134483542,raw_anchor_vs_selector_sensor,0.5774147024090202,0.5775613585246895,0.5780566126750013
pair_sensor_6b,analysis_outputs/submission_label_flow_focused_6b9335b1.csv,S4/Q3 selector disambiguation,Does higher-amplitude pairwise S4/Q3 movement beat old/anchor veto?,E35/E36/E32,0.7,-0.0001394524908104,0.000603429617644,0.3333333333333333,0.0002141359057378,0.0028177427190922,0.4285714285714285,0.0006149607566271,0.4166666666666667,0.0006149607566271,-6.521725264083708e-05,0.9675675675675676,0.0006755146983331,0.277992277992278,,,,,0.0172468270509914,0.0072335045416533,True,False,worse,worse,better,worse,missing,1,3,0.8112781244591328,0.0029571952099026,33.99614203060486,False,False,False,False,True,False,True,3.084286676876321,pair_vs_anchor_sensor,0.5802570637190921,0.5773741037473591,0.578114835698333
inv7_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s0p50.csv,raw-structure bridge,Does scaled inverse7 raw+anchor support beat pair/old selector veto?,E37,1.0,-0.0003602767557135,-0.0002613260775981,1.0,-0.0001028789788043,-1.9722424970725072e-05,1.0,-2.504997389374264e-05,1.0,-1.9722424970725072e-05,6.437207479098403e-05,0.0567567567567567,0.000607067919051,0.0077220077220077,,,,,0.0431967658966854,0.0062065293318164,True,False,better,better,worse,worse,missing,2,2,1.0,0.0009673446747645,11.120668275709251,True,True,False,True,False,False,True,2.94491211738095,raw_anchor_vs_selector_sensor,0.5774195985750292,0.5775036930747909,0.5780463889190509
pair_sensor_1bb,analysis_outputs/submission_label_flow_focused_1bbfb735.csv,S4/Q3 selector disambiguation,Does pairwise S4/Q3 selector beat old/anchor veto?,E35/E36/E32,0.7,-0.0001404925614232,0.0004741205279003,0.4,0.0001565098496847,0.0023328880931438,0.5714285714285714,0.0004907685983111,0.5,0.0004907685983111,-5.43159145439421e-05,0.9675675675675676,0.0006386794295359,0.277992277992278,,,,,0.0206675265240304,0.0060476044624573,True,False,worse,worse,better,worse,missing,1,3,0.8112781244591328,0.002473380654567,28.434172944294613,False,False,False,False,True,False,True,2.943869455703201,pair_vs_anchor_sensor,0.5797722090931438,0.577385005085456,0.5780780004295358
blend_m0p25_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p25_s0p50.csv,raw-structure bridge,Does scaled inverse7 raw+anchor support beat pair/old selector veto?,E37,1.0,-0.0002899359858167,-0.0001682165174879,1.0,-0.0002096057220656,-0.0001111608806301,1.0,-0.0001255190593362,1.0,-0.0001111608806301,0.0001162079992036,0.027027027027027,0.0006402468424888,0.0038610038610038,,,,,0.0602971112812064,0.0093136863502087,True,False,better,better,worse,worse,missing,2,2,1.0,0.0009301828283055,10.693452850055527,True,True,False,True,False,False,True,2.9090290997119914,raw_anchor_vs_selector_sensor,0.5773281601193698,0.5775555289992036,0.5780795678424887
blend_m0p50_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p50_s0p50.csv,raw-structure bridge,Does scaled inverse7 raw+anchor support beat pair/old selector veto?,E37,1.0,-0.0002131411558768,-6.865289733504198e-05,1.0,-0.000304884683177,-0.0001961452762464,1.0,-0.0002195340847357,1.0,-0.0001961452762464,0.0002184295635827,0.0135135135135135,0.000677365566871,0.0038610038610038,,,,,0.0791921501081731,0.0137518449707207,True,False,better,better,worse,worse,missing,2,2,1.0,0.0008905067227478,10.237333309741086,True,True,False,True,False,False,True,2.869241566294271,raw_anchor_vs_selector_sensor,0.5772431757237535,0.5776577505635826,0.578116686566871
inv7_s0p25,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s0p25.csv,raw-structure bridge,Does scaled inverse7 raw+anchor support beat pair/old selector veto?,E37,1.0,-0.0001819907908916,-0.000132515451834,1.0,-5.3291902437080374e-05,-1.171362552032651e-05,1.0,-1.4377399981779782e-05,1.0,-1.171362552032651e-05,3.5423099748831004e-05,0.0621621621621621,0.0005875124809611,0.0077220077220077,,,,,0.0400512665637389,0.0031032646659081,True,False,better,better,worse,worse,missing,2,2,1.0,0.0007695032718527,8.84626839490287,True,True,False,True,False,False,True,2.7870925402477305,raw_anchor_vs_selector_sensor,0.5774276073744796,0.5774747440997487,0.5780268334809611
pair_sensor_1bb_s0p65,analysis_outputs/submission_label_flow_sensorcurve_conservative_1bb_full_s0p65_0ee928c4.csv,S4/Q3 selector disambiguation,Does lower-amplitude pairwise S4/Q3 movement still read on public?,E35/E36/E32,0.7,-0.0001228154239602,0.0002766830841002,0.4,7.023614326001236e-05,0.0014848820015084,0.5714285714285714,0.0002875043298671,0.5,0.0002875043298671,-3.4496031665569136e-05,0.9675675675675676,0.0005719581397896,0.277992277992278,,,,,0.026350910771397,0.0039309429005972,True,False,worse,worse,better,worse,missing,1,3,0.8112781244591328,0.0016076974254686,18.482212413792073,False,False,False,False,True,False,True,2.6090919039142033,pair_vs_anchor_sensor,0.5789242030015084,0.5774048249683343,0.5780112791397896
