direction,candidates_scored,anchor_beats_mixmin,movement_guard,world_guard,hidden_guard,eligible_submission_gate,diagnostic_reverse_gate,best_anchor_delta_vs_mixmin,best_anchor_candidate,best_hidden_core_mean_delta
reverse_control,300,260,300,0,0,0,0,-8.942778295661924e-09,reverse_control|all|q_targets|support60|grad_all_6of6|teacher_row_top50|w0.006|c0.018,9.790173918777789e-08
toward_teacher,1000,932,1000,1000,1000,0,0,-3.649590908483269e-06,toward_teacher|all|no_q2_s3|raw_agree|grad_core_top50|all|w0.070|c0.080,-0.00036859591856869267
