candidate,band,weight,actual_anchor_score_final,mean_actual_anchor,min_set_score,max_set_score,anchor_delta_vs_mixmin,world_all_better_rate,world_all_median_delta,world_all_p90_delta,world_all_max_delta,mean_abs_prob_move_vs_mixmin,mean_abs_logit_move_vs_mixmin,max_abs_logit_move_vs_mixmin,mean_prob_delta_Q1,mean_abs_prob_delta_Q1,mean_prob_delta_Q2,mean_abs_prob_delta_Q2,mean_prob_delta_Q3,mean_abs_prob_delta_Q3,mean_prob_delta_S1,mean_abs_prob_delta_S1,mean_prob_delta_S2,mean_abs_prob_delta_S2,mean_prob_delta_S3,mean_abs_prob_delta_S3,mean_prob_delta_S4,mean_abs_prob_delta_S4,world_loo_strict_gate,anchor_beats_mixmin,movement_guard,joint_candidate_gate,world_loo_better_rate,world_loo_median_delta,world_loo_p90_delta
mixmin,reference,0.0,0.5777344877066474,0.5776007350054972,0.5772305660209559,0.578037556989407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,,,
a2c8,reference,0.0,0.5778270681645602,0.5777841604763623,0.5777214450713848,0.5779985663687973,9.258045791282754e-05,0.0,0.001133869572843893,0.0012044671282973596,0.001255480694796085,0.00849582438014208,0.04561420000223732,0.08210850000001058,0.0028842975930164867,0.010344763402565453,-3.972765329302263e-05,0.005870504376167066,-6.051597053712154e-05,0.01153986754866692,0.0007004723587572088,0.007326381460496998,-0.00046836035675918244,0.008394042269370256,-0.006412316739629967,0.009688316880300302,0.0006053299563558174,0.006306894723427555,False,False,True,False,,,
posterior_all_w0.05,all,0.05,0.5778574184138373,0.5777041462142779,0.5772621335418137,0.5782116701882938,0.00012293070718993881,1.0,-0.0053910577177254115,-0.004568763056808822,-0.002734131410159435,0.00566612837198218,0.028631733700634127,0.12474620427726843,-0.00035509289718304796,0.005457067796913545,0.00024446199286367687,0.007712323810734995,0.00017096409052531325,0.006530173673870187,0.002014510176299118,0.005489316796482491,0.0013132921529893764,0.004486292857650433,0.0010323447760211648,0.0044088108147043404,-0.0005849340837847008,0.005578912853519265,True,False,True,False,1.0,-0.0047096873190688,-0.003821425775435
raw05,reference,0.0,0.5779059943862466,0.5778501495454361,0.5777302084275879,0.5781360888903859,0.00017150667959919819,0.0,0.0012176016900936615,0.0012823639390086017,0.001309997781336003,0.009174226027820472,0.049029823053049724,0.1855896083238608,0.003221414708536979,0.010815048553264909,-8.06166800899204e-05,0.005994654414077075,-7.023301284353467e-05,0.012938833707131715,0.0005079655492130482,0.006940251868232819,-0.0009931901137510948,0.009077372574019065,-0.007628551077253636,0.010991279840865044,0.000363298067201725,0.007462141237152681,False,False,True,False,,,
posterior_raw_energy_half_w0.05,raw_energy_half,0.05,0.5780262080846054,0.577876126637842,0.5774519414002866,0.5783670238528165,0.00029172037795799355,0.8888888888888888,-0.0011517900013555682,-5.894978994369531e-06,0.0006380310873238537,0.008865989103951252,0.0444813431352541,0.17883064907578738,0.0006992420195234368,0.008651925543554331,0.0016881313940618127,0.010630481309976911,0.002267133751665919,0.010120615222053712,0.004276887429652197,0.009222236985570186,0.004068522646602417,0.008293692273730027,0.003297362964847871,0.007238882628878953,0.0012443815102742566,0.00790408976389464,True,False,True,False,1.0,-0.0104133357778324,-0.0083515776002764
posterior_all_w0.10,all,0.1,0.57825156086751,0.5780687564546406,0.5775585964557242,0.5786609731455776,0.00051707316086258,1.0,-0.010520499901967906,-0.008875910580134904,-0.005206647286836064,0.011343438340078463,0.057263467401268225,0.24949240855453705,-0.0006905247201661822,0.010944208091669395,0.0004580495297972087,0.01543558864064263,0.00028935945626662105,0.013077461760582129,0.004008945776430318,0.011042614266005626,0.0026067877506108453,0.008961363854622968,0.00202136808954448,0.008791012264140035,-0.0011732093878488899,0.011151819502886446,True,False,True,False,1.0,-0.0091551334071007,-0.0073780195189463
posterior_raw_energy_quarter_w0.05,raw_energy_quarter,0.05,0.578357367539437,0.5782061370547645,0.577793656645181,0.5786907905317378,0.0006228798327896357,0.6444444444444445,-0.000894539707400277,0.0008504462964185501,0.0022197408592781187,0.014086044227932738,0.06809979235276527,0.2170928564143595,0.0009787178287609332,0.01409434680817785,0.003835192792116982,0.017499357767943015,0.004086247743702413,0.015430374222823076,0.006047755846115288,0.014026454253664377,0.0044734968252702016,0.012700746179774966,0.0045614050037191285,0.011657234818412916,0.001634855429974561,0.01319379554473296,True,False,True,False,1.0,-0.0303962653924318,-0.0156232039471726
posterior_raw_energy_half_w0.10,raw_energy_half,0.1,0.5789293540489816,0.5787277201456507,0.5782688253540673,0.5793038438793433,0.0011948663423342332,0.6888888888888889,-0.0017218066516604402,0.0005699833930620682,0.0018578355256986256,0.017745602443279006,0.08896268627050821,0.3576612981515739,0.0014523248666492236,0.017430034772649997,0.0033042227633271696,0.02128926542014671,0.00440570298877264,0.02023124235054373,0.00856501809668821,0.018588272681818403,0.008052599481441604,0.01650964499480028,0.006481274441267003,0.014389401811495724,0.002461955341186986,0.015781355071498204,True,False,False,False,1.0,-0.0202348056212615,-0.0161035832144169
posterior_all_w0.18,all,0.18,0.5794580042913376,0.5791970687216106,0.5785937816631739,0.5799619538797075,0.0017235165846902767,1.0,-0.018181752592824063,-0.015221491813524746,-0.00861681788558688,0.020438760102578748,0.1030742413222828,0.44908633539816734,-0.0011847978509228107,0.019780905394422666,0.0007375201348575596,0.02779110266675726,0.00037025931661879884,0.023572448944223546,0.007146898147387237,0.020051311505090794,0.004629809168809522,0.016090510102894605,0.0035130842575697035,0.015742500783558013,-0.002122484875876041,0.020042541321104345,True,False,False,False,1.0,-0.0157166263703389,-0.0125159550974939
posterior_raw_energy_quarter_w0.10,raw_energy_quarter,0.1,0.5802754628923098,0.5800428406085775,0.5796471760788228,0.5806194081819271,0.0025409751856624307,0.5333333333333333,-0.0005442244551733255,0.002945747552464351,0.005684336678183355,0.028202081676699686,0.13619958470553056,0.434185712828719,0.002018009616549966,0.02841816244901716,0.007543145751611402,0.03504160072254354,0.007952700920274006,0.03080672060502084,0.012108586933597983,0.028359848569989566,0.008816383621824757,0.02527408650680627,0.00892008805225503,0.023180834011554297,0.003218372222898782,0.026333318871966136,True,False,False,False,1.0,-0.0595652417109149,-0.0298921449132371
posterior_raw_energy_half_w0.18,raw_energy_half,0.18,0.5816588600072307,0.5812963001330781,0.5808309031146976,0.5820840215091887,0.00392437230058329,0.5555555555555556,-0.001416233595349481,0.0027089884851511097,0.005027122323896682,0.03194953648420653,0.16013283528691483,0.6437903366728333,0.0027758388195572507,0.03171678720459578,0.005740812216901102,0.03835144247092476,0.007559578938131056,0.0363486535385445,0.015416159675864759,0.03383081909602439,0.014231876565565883,0.029464775406980073,0.011333401404681392,0.025630941230570067,0.004347318292260893,0.028303336441806173,True,False,False,False,1.0,-0.0347101271538324,-0.0272514764200062
posterior_all_w0.28,all,0.28,0.5819796315020945,0.5815518264538121,0.5808701331949084,0.5826067836706854,0.004245143795447159,1.0,-0.02681224812396754,-0.022207398022835157,-0.011933460801598517,0.031802563334051924,0.16033770872355102,0.6985787439527045,-0.0017262058969887515,0.030914018654816442,0.0009852774244425695,0.043177914155072265,0.00028786937837422676,0.03668809125229608,0.010953398857775272,0.03150452083903925,0.007066800261725335,0.024932241900139686,0.0052201390777902555,0.024318531253153922,-0.003325756599933432,0.03108262528384582,True,False,False,False,1.0,-0.0229634154212675,-0.0179804943133458
posterior_raw_energy_quarter_w0.18,raw_energy_quarter,0.18,0.5860815161532211,0.5855686884666813,0.5853351444299056,0.5865028153248496,0.008347028446573757,0.4666666666666667,0.002631485093964381,0.008913434707712532,0.013842895134006716,0.050753650207283875,0.245159252469955,0.7815342830916938,0.003804678447054986,0.05173062256270038,0.013175759694826443,0.06304105951493864,0.0136693579576166,0.05519448376424904,0.02175843522378269,0.05181446677501136,0.015464219591446803,0.04505044255114665,0.015459519641992218,0.041284709401899086,0.005628167995590104,0.04715976688104192,True,False,False,False,1.0,-0.1036581551898701,-0.0498738990893559
posterior_raw_energy_half_w0.28,raw_energy_half,0.28,0.5873039015404312,0.5866023518575761,0.5862078489446175,0.5879282340157749,0.009569413833783846,0.4888888888888889,0.0010808341223710327,0.007497846247594465,0.011103832218976484,0.04962572441835227,0.24909552155742304,1.0014516348244076,0.004645931774186831,0.049938953395811475,0.008535851397376445,0.05957685357767875,0.0110472782793039,0.05630187123153925,0.023885508903016894,0.053225164724583884,0.021580012207244342,0.045270528503382694,0.01697070047294496,0.039307473266028625,0.006580227469064626,0.043759226229441214,True,False,False,False,0.9545454545454546,-0.050651346016539,-0.0390047902978288
