mask_index,mask_kind,mask_name,rows,prior_name,l2o_mae,l2o_median,l2o_p80,l2o_p90,l2o_max,l2o_signed_mean,l2o_signed_abs_mean,train_solution_score_mean,train_weighted_std_rmse_mean,train_shift_mean,n_pairs,n_anchor_errors,l2o_pair_mae,l2o_pair_p90,l2o_pair_max,l2o_source_score
1174,random_rows,frac0.40_rep009,100,entropy_g075,0.0005323412083253466,0.00035836150502742675,0.0008949342233860301,0.0011085298867239645,0.0017199655343161837,0.00018859888823599238,0.0005323412083253465,0.0002997114787698882,2.443360707533105e-11,0.009990381606937148,15,30,0.0005323412083253466,0.0011124684494603228,0.0017199655343161837,0.001585427239660148
1167,random_rows,frac0.40_rep002,100,entropy_g075,0.0005685012619819429,0.00041443862338069043,0.0009534585092896468,0.0012179406550250464,0.001834869010416689,0.00023675522633851773,0.0005685012619819428,0.0003232049264700918,2.765275443710084e-11,0.010773496416078538,15,30,0.0005685012619819429,0.0011739604691858511,0.001834869010416689,0.001709643208198856
243,subject_contiguous,frac0.40_rep052,101,entropy_g075,0.0006071551807861866,0.0005287588012252722,0.0011198807084407984,0.0012868517303315057,0.0016057390518153677,0.0001934551847240174,0.0006071551807861868,0.00032118526539561833,3.036276179763346e-11,0.010706174244963737,15,30,0.0006071551807861866,0.0012049014830970448,0.0016057390518153677,0.0017116766545655806
1205,random_rows,frac0.40_rep040,100,entropy_g075,0.0006215421867354116,0.0004248309068066354,0.0011873271399858688,0.0013773167118849615,0.0017062653526374867,0.0001896029327828786,0.0006215421867354116,0.0004393064558265859,8.721088350274217e-05,0.011024417337111419,15,30,0.0006215421867354116,0.0012580006315600358,0.0017062653526374867,0.0017928170534594924
128,subject_contiguous,frac0.25_rep099,64,entropy_g075,0.0006223987979959019,0.0004148609388202433,0.0013129686354011168,0.0013928127756164556,0.001865069721974615,-8.794749745426024e-05,0.0006223987979959019,0.00043274754701423717,2.1390837846894047e-11,0.01442491730978005,15,30,0.0006223987979959019,0.0011588395832495097,0.001865069721974615,0.0018074591183027389
1146,random_rows,frac0.30_rep221,75,entropy_g075,0.000614279560252363,0.0004131575368183818,0.0011474731236994326,0.0014065998075057737,0.0019823878747081197,0.000183913851517183,0.0006142795602523629,0.00033848362610159737,2.357993259796337e-11,0.011282786557233911,15,30,0.0006142795602523629,0.0012453584638269,0.0019823878747081197,0.0018381134361301588
799,random_rows,frac0.20_rep114,50,entropy_g075,0.0005894796655488333,0.00022719744052465197,0.0010707070061286865,0.0015911681393029583,0.00200859593509525,7.531159881371991e-05,0.0005894796655488332,0.0003165827348603653,1.86369368739082e-11,0.01055275704909934,15,30,0.0005894796655488332,0.0013407437176568026,0.00200859593509525,0.0018481505024543201
1257,random_rows,frac0.40_rep092,100,entropy_g075,0.0006647812443107235,0.0005651810063830366,0.0011760834547733475,0.001363743998100582,0.0018655398690612694,0.00022671618172177837,0.0006647812443107235,0.00043733828441402863,7.58238590632659e-05,0.011435335273141794,15,30,0.0006647812443107235,0.001337125364859185,0.0018655398690612694,0.0018972227666484566
1362,random_rows,frac0.40_rep197,100,entropy_g075,0.0006948546516903771,0.0006025917370195006,0.0012465935357754707,0.001441714712045765,0.0017140804282707793,0.0002307772419062758,0.0006948546516903773,0.00035856817520717605,3.408882964551068e-11,0.011952271092627644,15,30,0.0006948546516903771,0.0013193236464955928,0.0017140804282707793,0.0019106289319100866
800,random_rows,frac0.20_rep115,50,entropy_g075,0.0006038896622841738,0.0004392261825245013,0.0010237778026524265,0.0014954896095259725,0.0021228703394728975,0.00013025864016295074,0.0006038896622841738,0.0007329760580647426,0.00031504480323186454,0.011767549387253733,15,30,0.0006038896622841738,0.0013610958275115203,0.0021228703394728975,0.0019278067768905198
