scenario_id,feature_view,dropped_public,train_rows,feature_count,gated_count,top_variant,top_family,top_origin,top_file,top_score,generated_gated_count,train_spearman_ridge_10,train_spearman_ridge_1,train_spearman_knn3,train_spearman_extratrees,e365_rank,e365_score,top_beats_e365,top_is_e365,best_generated_variant,best_generated_family,best_generated_rank,best_generated_score
all__none,all,none,13,164,50,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,e367_generated,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,6.584220297029702,10,0.967032967032967,0.9945054945054945,1.0,0.9917393003710356,6.0,6.145142326732675,True,False,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,1.0,6.584220297029702
all__drop_submission_hybrid_0p578_logit_after_subjec,all,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,164,158,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,e367_generated,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,6.587438118811881,10,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,6.0,6.130847772277228,True,False,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,1.0,6.587438118811881
all__drop_submission_hybrid_0p567_foldsafe_stage2_q1,all,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,164,30,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,e367_generated,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,6.593069306930692,10,0.965034965034965,0.9930069930069931,1.0,0.9929823694376383,5.0,6.176825495049506,True,False,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,1.0,6.593069306930692
all__drop_submission_ordinal_q_constraints_ambnext_Q,all,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,164,56,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,e367_generated,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,6.585272277227722,10,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,6.0,6.141181930693071,True,False,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,1.0,6.585272277227722
all__drop_submission_mixmin_0c916bb4_csv,all,submission_mixmin_0c916bb4.csv,12,164,46,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,e367_generated,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,6.585086633663366,10,0.9720279720279721,0.9930069930069931,1.0,0.9964973622679555,6.0,6.1448948019801986,True,False,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,1.0,6.585086633663366
all__drop_submission_e72_topabs50_q2s3_gate_4e48cba2,all,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,12,164,32,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,e367_generated,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,6.585829207920791,10,0.9580419580419581,0.9930069930069931,1.0,0.9947414184151023,6.0,6.1286819306930695,True,False,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,1.0,6.585829207920791
all__drop_submission_e95_hardtail_541e3973_csv,all,submission_e95_hardtail_541e3973.csv,12,164,130,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,e367_generated,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,6.583787128712871,10,0.9860139860139862,1.0,1.0,0.99124495269876,6.0,6.1469987623762385,True,False,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,1.0,6.583787128712871
all__drop_submission_e101_q2s3tail_177569bc_csv,all,submission_e101_q2s3tail_177569bc.csv,12,164,185,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,e367_generated,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,6.585210396039603,10,0.9930069930069931,1.0,1.0,0.99124495269876,6.0,6.144090346534654,True,False,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,1.0,6.585210396039603
all__drop_submission_e176_abl_q2_to0p75_91e49725_csv,all,submission_e176_abl_q2_to0p75_91e49725.csv,12,164,30,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,e367_generated,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,6.579826732673267,10,0.965034965034965,0.9930069930069931,1.0,0.9947414184151023,6.0,6.173607673267327,True,False,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,1.0,6.579826732673267
all__drop_submission_e216_maskfam_jepa_s2_rank_e154_,all,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,12,164,187,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,e367_generated,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,6.435148514851485,10,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,10.0,5.471503712871288,True,False,e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,1.0,6.435148514851485
