task,feature_view,split,n_rows,n_pos,auc,avg_precision,logloss,topk_precision,topk_recall,exact_e95_e101_mean_prob,skipped_rows,n_groups,skipped_positive_rows
e72_frontier_neighbor,shape_target_context_abs,loo_pair_id,132,6,0.9788359788359788,0.8095238095238095,0.049932694314233673,0.6666666666666666,0.6666666666666666,0.16130623947825193,0,66,
e72_frontier_neighbor,shape_target_context_abs,loo_pair_context,132,6,0.9788359788359788,0.8095238095238095,0.050305020887853005,0.6666666666666666,0.6666666666666666,0.16130623947825193,0,56,
e72_frontier_neighbor,shape_target_context_abs,loo_new_file,132,6,1.0,1.0,0.01768157557440473,1.0,1.0,0.11354436899212587,0,12,
e72_frontier_neighbor,shape_target_context_abs,loo_base_file,132,6,1.0,1.0,0.01768157557440473,1.0,1.0,0.11354436899212587,0,12,
e72_frontier_neighbor,shape_target_context_abs,loo_any_file,242,6,0.9745762711864406,0.75,0.05268666758954269,0.6666666666666666,0.6666666666666666,0.2631357460763789,22,12,6.0
e72_frontier_neighbor,support_abs,loo_pair_id,132,6,0.8677248677248678,0.7023809523809523,0.15365178379397865,0.6666666666666666,0.6666666666666666,0.9679652555668188,0,66,
e72_frontier_neighbor,support_abs,loo_pair_context,132,6,0.8677248677248678,0.7023809523809523,0.1538888328490418,0.6666666666666666,0.6666666666666666,0.9679652555668188,0,56,
e72_frontier_neighbor,support_abs,loo_new_file,132,6,1.0,1.0,0.011980628683152278,1.0,1.0,0.08268535727624883,0,12,
e72_frontier_neighbor,support_abs,loo_base_file,132,6,1.0,1.0,0.011980628683152278,1.0,1.0,0.08268535727624883,0,12,
e72_frontier_neighbor,support_abs,loo_any_file,242,6,0.8700564971751412,0.6870748299319728,0.19220330240872122,0.6666666666666666,0.6666666666666666,0.9750404411207036,22,12,6.0
e72_frontier_neighbor,shape_target_context_support_abs,loo_pair_id,132,6,0.9312169312169313,0.7291666666666666,0.1278982065267245,0.6666666666666666,0.6666666666666666,0.9573690240143778,0,66,
e72_frontier_neighbor,shape_target_context_support_abs,loo_pair_context,132,6,0.9312169312169313,0.7291666666666666,0.12791593048586478,0.6666666666666666,0.6666666666666666,0.9573690240143778,0,56,
e72_frontier_neighbor,shape_target_context_support_abs,loo_new_file,132,6,1.0,1.0,0.007606357325850898,1.0,1.0,0.07025332994203229,0,12,
e72_frontier_neighbor,shape_target_context_support_abs,loo_base_file,132,6,1.0,1.0,0.007606357325850898,1.0,1.0,0.07025332994203229,0,12,
e72_frontier_neighbor,shape_target_context_support_abs,loo_any_file,242,6,0.943502824858757,0.7101449275362319,0.13444868682851108,0.6666666666666666,0.6666666666666666,0.9717634500573633,22,12,6.0
e72_frontier_neighbor,all_axis_free_abs,loo_pair_id,132,6,0.9312169312169313,0.7291666666666666,0.1278982065267245,0.6666666666666666,0.6666666666666666,0.9573690240143778,0,66,
e72_frontier_neighbor,all_axis_free_abs,loo_pair_context,132,6,0.9312169312169313,0.7291666666666666,0.12791593048586478,0.6666666666666666,0.6666666666666666,0.9573690240143778,0,56,
