translator,pairs,heldout_beats_base,heldout_tail_neutral_beats,train_beats_base,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,independent_gate,strict_independent_gate,best_heldout_minus_base,median_heldout_minus_base,best_heldout_set,best_block_win_rate
tail_soft_max_m1.00,69,46,44,69,69,69,69,44,44,-6.646495384066142e-07,-3.613447574490891e-07,raw05_compatible,0.9444444444444444
tail_p90_nonpos_m1.00,222,141,141,222,222,222,118,41,41,-1.2608162454075256e-06,-4.0386987565366184e-07,raw05_compatible,0.8611111111111112
tail_soft_p90_m1.00,75,50,34,75,75,75,75,34,34,-6.546892935554993e-07,-2.741662177285775e-07,inverse_top,0.9444444444444444
tail_soft_p90_m0.50,39,26,19,39,39,39,39,19,19,-3.402165830168613e-07,-1.6853866990906852e-07,inverse_top,0.9444444444444444
tail_p90_nonpos_m0.50,75,48,48,75,75,75,43,17,17,-7.542679336669522e-07,-3.845770124577541e-07,inverse_top,0.8611111111111112
tail_max_nonpos_m1.00,57,57,57,57,57,35,0,0,0,-1.6295884864847565e-06,-8.29076541197793e-07,raw05_compatible,0.4722222222222222
tail_max_nonpos_m0.50,3,3,3,3,3,3,0,0,0,-7.753062528648158e-07,-6.247483248511543e-07,raw05_compatible,0.3888888888888889
