task,view,model,split,target_kind,tail_q,policy,tail_auc,tail_logloss,tail_brier,corr_benefit,prob_mean,target_delta,full_target_delta,loss_vs_full,overall_delta,full_subject_delta,full_subject_win,subject_delta,subject_win_rate,mean_amp,dropped_rows,kept_rows,dropped_mean_benefit,kept_mean_benefit,dropped_support_rate,beats_full,stress_promote
s2_e216,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p15,0.862392482169641,0.3478013381483442,0.11314265655680951,-0.06406924617505713,0.1989890410710101,-0.00702405147425178,-0.004370424697455966,-0.0026536267767958144,-0.0010034359248931115,-0.004793060017721962,0.6,-0.006996569463092334,0.9,0.8488888888888889,68,382,-0.01756076543467792,0.008274406186945788,0.35294117647058826,True,True
s2_e216,movement,hgb_shallow,subject5,risk,0.2,drop_risk_top50,0.8487573473038588,0.3537008352274304,0.1156940428741132,-0.04767360020316491,0.18282339542283252,-0.006511271628800719,-0.004370424697455966,-0.002140846931344753,-0.0009301816612572456,-0.004793060017721962,0.6,-0.006735043545236935,0.8,0.8888888888888888,50,400,-0.019267622382102566,0.0073251805824008035,0.36,True,True
s2_e216,latent_no_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_p15,0.7548440417521197,0.5487507974904525,0.17418716722830618,-0.01787616849464149,0.3067635355332191,-0.006406024161692114,-0.004370424697455966,-0.0020355994642361486,-0.0009151463088131592,-0.004793060017721962,0.6,-0.007085876910966388,0.9,0.8488888888888889,68,382,-0.013470878807445194,0.007546363541260382,0.4264705882352941,True,True
s2_e216,latent_with_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_p15,0.7548440417521197,0.5487507974904526,0.1741871672283062,-0.017876168494641492,0.3067635355332192,-0.006406024161692114,-0.004370424697455966,-0.0020355994642361486,-0.0009151463088131592,-0.004793060017721962,0.6,-0.007085876910966388,0.9,0.8488888888888889,68,382,-0.013470878807445194,0.007546363541260382,0.4264705882352941,True,True
s2_e216,movement,hgb_shallow,subject5,risk,0.2,drop_risk_p10,0.8487573473038588,0.3537008352274304,0.1156940428741132,-0.04767360020316491,0.18282339542283252,-0.006318800769868238,-0.004370424697455966,-0.0019483760724122723,-0.0009026858242668911,-0.004793060017721962,0.6,-0.006513394937427902,0.8,0.9,45,405,-0.019483760724122338,0.007020889744298018,0.35555555555555557,True,True
s2_e216,movement,hgb_shallow,subject5,risk,0.2,drop_risk_top21,0.8487573473038588,0.3537008352274304,0.1156940428741132,-0.04767360020316491,0.18282339542283252,-0.006027594678358006,-0.004370424697455966,-0.0016571699809020402,-0.0008610849540511437,-0.004793060017721962,0.6,-0.006185482885959664,0.6,0.9533333333333334,21,429,-0.03551078530504503,0.006322651760515473,0.23809523809523808,True,True
s2_e216,movement,hgb_shallow,subject5,contrast,0.2,drop_lowpos_p05,0.5814571994062346,0.7167091772170731,0.25796224866670203,0.019174198662028092,0.5719533303004412,-0.006024314373066941,-0.004370424697455966,-0.0016538896756109756,-0.0008606163390095631,-0.004793060017721962,0.6,-0.006218265264247763,0.7,0.9511111111111111,22,428,-0.03382956154658909,0.006333975392243347,0.3181818181818182,True,True
s2_e216,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_p05,0.862392482169641,0.3478013381483442,0.11314265655680951,-0.06406924617505713,0.1989890410710101,-0.006008474099823746,-0.004370424697455966,-0.0016380494023677805,-0.0008583534428319638,-0.004793060017721962,0.6,-0.0063497847205537025,0.9,0.9511111111111111,22,428,-0.033505555957523386,0.006317320899347445,0.18181818181818182,True,True
s2_e216,movement,hgb_shallow,stratified5,risk,0.2,drop_risk_top25,0.862392482169641,0.3478013381483442,0.11314265655680951,-0.06406924617505713,0.1989890410710101,-0.00593235523641833,-0.004370424697455966,-0.0015619305389623639,-0.0008474793194883328,-0.004793060017721962,0.6,-0.006263155976857543,0.9,0.9444444444444444,25,425,-0.028114749701322213,0.006281317309148817,0.24,True,True
s2_e216,latent_no_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_top50,0.7548440417521197,0.5487507974904525,0.17418716722830618,-0.01787616849464149,0.3067635355332191,-0.005883142194624713,-0.004370424697455966,-0.0015127174971687474,-0.0008404488849463876,-0.004793060017721962,0.6,-0.006666169495581941,0.8,0.8888888888888888,50,400,-0.013614457474519672,0.006618534968952942,0.4,True,True
s2_e216,latent_with_targetid,lr_l2_c0p10,stratified5,risk,0.2,drop_risk_top50,0.7548440417521197,0.5487507974904526,0.1741871672283062,-0.017876168494641492,0.3067635355332192,-0.005883142194624713,-0.004370424697455966,-0.0015127174971687474,-0.0008404488849463876,-0.004793060017721962,0.6,-0.006666169495581941,0.8,0.8888888888888888,50,400,-0.013614457474519672,0.006618534968952942,0.4,True,True
