band,base_cell_gate,gradient_gate,row_gate,shape,scale,cap,base_no_q2_s3_anchor_delta,add_all_anchor_minus_no_q2_s3,add_all_mean_anchor_minus_no_q2_s3,add_all_max_set_minus_no_q2_s3,add_all_min_set_minus_no_q2_s3,add_all_hidden_core_minus_no_q2_s3,add_all_anchor_q2_s3_contrib,add_all_beats_no_q2_s3,add_no_q2_anchor_minus_no_q2_s3,add_no_q2_mean_anchor_minus_no_q2_s3,add_no_q2_max_set_minus_no_q2_s3,add_no_q2_min_set_minus_no_q2_s3,add_no_q2_hidden_core_minus_no_q2_s3,add_no_q2_anchor_q2_s3_contrib,add_no_q2_beats_no_q2_s3,add_no_s3_anchor_minus_no_q2_s3,add_no_s3_mean_anchor_minus_no_q2_s3,add_no_s3_max_set_minus_no_q2_s3,add_no_s3_min_set_minus_no_q2_s3,add_no_s3_hidden_core_minus_no_q2_s3,add_no_s3_anchor_q2_s3_contrib,add_no_s3_beats_no_q2_s3,add_q2_anchor_minus_no_q2_s3,add_q2_mean_anchor_minus_no_q2_s3,add_q2_max_set_minus_no_q2_s3,add_q2_min_set_minus_no_q2_s3,add_q2_hidden_core_minus_no_q2_s3,add_q2_anchor_q2_s3_contrib,add_q2_beats_no_q2_s3,add_s3_anchor_minus_no_q2_s3,add_s3_mean_anchor_minus_no_q2_s3,add_s3_max_set_minus_no_q2_s3,add_s3_min_set_minus_no_q2_s3,add_s3_hidden_core_minus_no_q2_s3,add_s3_anchor_q2_s3_contrib,add_s3_beats_no_q2_s3,add_q2_s3_anchor_minus_no_q2_s3,add_q2_s3_mean_anchor_minus_no_q2_s3,add_q2_s3_max_set_minus_no_q2_s3,add_q2_s3_min_set_minus_no_q2_s3,add_q2_s3_hidden_core_minus_no_q2_s3,add_q2_s3_anchor_q2_s3_contrib,add_q2_s3_beats_no_q2_s3
low_slack_half,raw_agree,grad_all_4of6,all,core_gain,0.07,0.08,-2.400618456355197e-06,2.512468046944605e-07,-5.711948544151468e-07,2.46002670212242e-06,-3.516645799672702e-06,-4.2652408571097755e-05,-5.711948543862184e-07,False,1.4976882611872355e-07,-5.441502127778719e-07,1.8565459708463905e-06,-2.727585181272474e-06,-1.543068058340591e-05,-5.441502127753288e-07,False,8.762942915740979e-08,-2.7044641526252633e-08,6.057481621857264e-07,-8.514861288277942e-07,-2.7221727987691846e-05,-2.7044641615348958e-08,False,2.542912468928016e-06,3.5531911117825388e-06,-1.0006912807281054e-06,9.255991750389825e-06,0.00015062899889720094,-2.7044641615348958e-08,False,2.4503238731377053e-06,3.036085540641942e-06,-2.624104156190299e-08,7.443288032815687e-06,0.00016242004630157014,-5.441502127753288e-07,False,2.5376571778368273e-06,3.009040899004667e-06,5.796299979987651e-07,6.597173722644456e-06,0.00013519831831385054,-5.711948543862184e-07,False
low_slack_half,support60,grad_all_abs50,teacher_row_top50,core_gain,0.07,0.08,-1.2496078394264032e-07,2.56364317108293e-07,-9.722822325031188e-09,9.539674988845448e-07,-9.319452052292121e-07,-9.68208543075666e-06,-9.722822321563507e-09,False,1.11328323115778e-07,-2.240655938567926e-08,5.749736475824108e-07,-7.187641158923341e-07,-2.8925433876725304e-06,-2.240655940897877e-08,False,1.591690867996931e-07,1.2683737171670373e-08,3.782209805347492e-07,-2.1320624288279078e-07,-6.789542043111885e-06,1.2683737082955601e-08,False,2.7406632785442753e-07,4.1883500689898767e-07,-3.269836196251319e-07,1.426762214817856e-06,1.7744690723797696e-05,1.2683737082955601e-08,False,2.1323060617195466e-07,3.8374471045266034e-07,-1.3424647293813763e-07,9.209605070781279e-07,2.164168937929256e-05,-2.240655940897877e-08,False,3.687605706348407e-07,3.964284475133084e-07,2.4809856435936695e-07,7.078645499758451e-07,1.4852147336180677e-05,-9.722822321563507e-09,False
all,all,grad_all_abs50,teacher_row_top50,core_gain,0.07,0.08,-1.521291250194956e-06,2.5693250316205507e-07,-1.3404718213205769e-07,1.3319900379338279e-06,-1.6992444878960455e-06,-2.4886979390903452e-05,-1.340471821085792e-07,False,1.8287521019733077e-07,-1.1456065562853723e-07,8.81259969998105e-07,-1.0732881217112578e-06,-6.293379762600804e-06,-1.1456065559816026e-07,False,9.451389537673549e-08,-1.948652650352045e-08,4.778120887838355e-07,-6.362853920416356e-07,-1.8593599628330404e-05,-1.948652651487867e-08,False,1.7231423506958166e-06,2.1890368021582063e-06,-2.5244879875430115e-07,5.614894895034084e-06,9.269137561124241e-05,-1.948652651487867e-08,False,1.6037264650714533e-06,2.0939626730331895e-06,-1.6662406088219228e-07,5.19542996957334e-06,0.0001049915954769165,-1.1456065559816026e-07,False,1.7999516016553585e-06,2.074476146529669e-06,4.80544857128784e-07,4.561580570272561e-06,8.639799584861385e-05,-1.340471821085792e-07,False
all,support60,grad_all_4of6,teacher_row_top50,core_gain,0.07,0.08,-9.143417356582972e-09,2.636994755889077e-07,-7.087674980255088e-08,1.040344413505423e-06,-1.1250341609425618e-06,-1.1667494748679452e-05,-7.087674983378621e-08,False,6.07477537162282e-08,-8.400954221166046e-08,5.498917269308734e-07,-8.101921539216406e-07,-3.208244961305784e-06,-8.400954217283603e-08,False,2.0274736289849216e-07,1.3132792298087281e-08,4.933378388027876e-07,-3.1472568340351614e-07,-8.45924978742918e-06,1.3132792334590184e-08,False,2.1136220973438924e-07,4.122540808726427e-07,-3.043775399502735e-07,1.2249947045628318e-06,1.7582048102177117e-05,1.3132792334590184e-08,False,5.51545462634806e-08,3.1511174636289496e-07,-2.442174132921693e-07,7.303193637619998e-07,2.2833052928328268e-05,-8.400954217283603e-08,False,2.531444487363643e-07,3.2824453866098224e-07,2.525341740167164e-07,4.133272363260332e-07,1.4373803140788066e-05,-7.087674983378621e-08,False
low_slack_half,support60,grad_all_4of6,teacher_row_top50,core_gain,0.07,0.08,-1.8511219113115374e-08,2.6497002336700604e-07,-2.6588432899821157e-08,1.0612624719019692e-06,-1.0465697637407345e-06,-1.021112050722528e-05,-2.6588432900815114e-08,False,1.1699753921234901e-07,-3.4626181366625985e-08,6.700401639081477e-07,-8.073485008308623e-07,-3.178464816122606e-06,-3.462618114112605e-08,False,1.352762341033653e-07,8.037748133737921e-09,3.893628707229979e-07,-2.3920037173219555e-07,-7.032655691158185e-06,8.037748235851228e-09,False,1.6445402639675422e-07,3.489722079086377e-07,-3.70179384034941e-07,1.2126732999995227e-06,1.8449098845546574e-05,8.037748235851228e-09,False,1.2321602060882952e-07,3.063082786303184e-07,-9.30131770493503e-08,6.441373127108463e-07,2.2303289720637665e-05,-3.462618114112605e-08,False,2.8012518760167637e-07,3.143460268750786e-07,2.9997355810440496e-07,4.050479427419873e-07,1.5270634029396213e-05,-2.6588432900815114e-08,False
low_slack_half,support60,grad_core_top50,teacher_row_top50,core_gain,0.07,0.08,1.5273172171426097e-08,2.662490120597383e-07,3.399820425187272e-10,9.96717745560538e-07,-9.425484970293496e-07,-1.0298438641753727e-05,3.399820831244279e-10,False,1.1766156060577515e-07,-7.445083660684304e-09,6.132063014030464e-07,-7.123634196970485e-07,-3.0951776454624103e-06,-7.445083690489558e-09,False,1.3555711531054726e-07,7.785065814225334e-09,3.8136165292357305e-07,-2.3019080486186283e-07,-7.203260996319072e-06,7.785065769154269e-09,False,1.3247015662187778e-07,3.1566126246218573e-07,-4.3426296003623577e-07,1.210339938384486e-06,1.8254242192816683e-05,7.785065769154269e-09,False,9.381586707490897e-08,3.004311130982984e-07,-2.061027638555757e-07,7.27832529356931e-07,2.23623255437011e-05,-7.445083690489558e-09,False,2.4699463352373385e-07,3.0821617891252373e-07,1.7904556903758362e-07,4.977684752160982e-07,1.5159064547298762e-05,3.399820831244279e-10,False
low_slack_half,raw_agree,grad_core_top50,all,core_gain,0.07,0.08,-2.366845822665553e-06,2.673318041379602e-07,-4.898948712250828e-07,2.416131623883544e-06,-3.455268776653142e-06,-4.3009632359036765e-05,-4.898948712039026e-07,False,1.7512601857561094e-07,-4.566185579646387e-07,1.8464134331486193e-06,-2.698958019964337e-06,-1.644968411870784e-05,-4.5661855795678266e-07,False,7.336249541189943e-08,-3.3276313371466415e-08,5.702249628036782e-07,-8.173120338295092e-07,-2.655994824035668e-05,-3.327631325157956e-08,False,2.501019201295307e-06,3.463243591794729e-06,-9.735808709221416e-07,9.155487507905846e-06,0.00014942823649499726,-3.327631325157956e-08,False,2.4414555792606762e-06,3.039901347201557e-06,2.1488410495429378e-08,7.330588118414916e-06,0.00015953850061667385,-4.5661855795678266e-07,False,2.5187752651367745e-06,3.0066250339411127e-06,5.918059802212383e-07,6.518426423740564e-06,0.00013297855237620615,-4.898948712039026e-07,False
all,raw_agree,grad_all_abs50,teacher_row_top50,core_gain,0.07,0.08,-1.56207969437272e-06,2.687051591232503e-07,-1.3737745951925007e-07,1.2979326551310066e-06,-1.6466095632550193e-06,-2.4544756156402725e-05,-1.3737745946857357e-07,False,1.9156908159789765e-07,-1.1789093290470731e-07,8.471867889436879e-07,-1.0103756099555383e-06,-5.951156528072321e-06,-1.1789093295815463e-07,False,1.165652825374508e-07,-1.948652639249815e-08,4.988866773025791e-07,-6.362810820448317e-07,-1.859359962835816e-05,-1.948652651487867e-08,False,,,,,,,,1.6427134067464877e-06,2.0807411537093756e-06,-1.0899622571169942e-07,5.190219071082858e-06,0.0001051936594117786,-1.1789093295815463e-07,False,1.8389351692515987e-06,2.061254627094833e-06,5.381726744246862e-07,4.556362249941159e-06,8.660005978350371e-05,-1.3737745946857357e-07,False
all,support60,grad_all_abs50,teacher_row_top50,flat,0.07,0.08,-1.5783923390522148e-08,2.7716135930777597e-07,-6.794089146833215e-08,1.173741197568745e-06,-1.3507973244397675e-06,-1.430124735996019e-05,-6.794089137385014e-08,False,3.055346609048826e-08,-1.2148660566424496e-07,5.884143053913604e-07,-1.0144989700533458e-06,-3.3673197182837455e-06,-1.2148660553188153e-07,False,2.550353099817215e-07,5.354571419591281e-08,5.85324047230884e-07,-3.368318022278771e-07,-1.09339276417042e-05,5.354571415357166e-08,False,2.6833281652205443e-07,6.074679662626536e-07,-5.723839568982925e-07,1.8753404938953722e-06,2.3318530423005468e-05,5.354571415357166e-08,False,2.9597603590225674e-08,4.324356466245405e-07,-5.623222821826701e-07,1.1973346059068746e-06,3.0885138346398167e-05,-1.2148660553188153e-07,False,2.751746318585546e-07,4.85981360709431e-07,2.828770495622024e-08,8.543845938513428e-07,1.9951210704749478e-05,-6.794089137385014e-08,False
all,support60,grad_core_top50,teacher_row_top50,core_gain,0.07,0.08,1.0125608129740726e-08,2.785651518344423e-07,-2.7814617054033874e-08,9.978598748405787e-07,-1.0235353853360607e-06,-1.1602178118824691e-05,-2.781461707257373e-08,False,6.58844129253211e-08,-4.6516277052433e-08,5.077563722810652e-07,-7.210293904158505e-07,-3.074284366161306e-06,-4.6516277099467466e-08,False,2.0424221680581667e-07,1.8701660109421425e-08,4.950513623480646e-07,-3.024326528100474e-07,-8.527893752607874e-06,1.8701660022434053e-08,False,1.9941510154275477e-07,4.1338176481886535e-07,-3.8284669667820737e-07,1.3078379567099674e-06,1.7182426933548545e-05,1.8701660022434053e-08,False,4.482057602839262e-08,3.4816382787905553e-07,-3.66400786488974e-07,8.907503598054589e-07,2.26360363199396e-05,-4.6516277099467466e-08,False,2.494377515649404e-07,3.6686548776643235e-07,1.3059248471503082e-07,5.864370049568635e-07,1.4108142567331727e-05,-2.781461707257373e-08,False
