band,base_cell_gate,gradient_gate,row_gate,shape,scale,cap,base_no_q2_s3_anchor_delta,add_all_anchor_minus_no_q2_s3,add_all_mean_anchor_minus_no_q2_s3,add_all_max_set_minus_no_q2_s3,add_all_min_set_minus_no_q2_s3,add_all_hidden_core_minus_no_q2_s3,add_all_anchor_q2_s3_contrib,add_all_beats_no_q2_s3,add_no_q2_anchor_minus_no_q2_s3,add_no_q2_mean_anchor_minus_no_q2_s3,add_no_q2_max_set_minus_no_q2_s3,add_no_q2_min_set_minus_no_q2_s3,add_no_q2_hidden_core_minus_no_q2_s3,add_no_q2_anchor_q2_s3_contrib,add_no_q2_beats_no_q2_s3,add_no_s3_anchor_minus_no_q2_s3,add_no_s3_mean_anchor_minus_no_q2_s3,add_no_s3_max_set_minus_no_q2_s3,add_no_s3_min_set_minus_no_q2_s3,add_no_s3_hidden_core_minus_no_q2_s3,add_no_s3_anchor_q2_s3_contrib,add_no_s3_beats_no_q2_s3,add_q2_anchor_minus_no_q2_s3,add_q2_mean_anchor_minus_no_q2_s3,add_q2_max_set_minus_no_q2_s3,add_q2_min_set_minus_no_q2_s3,add_q2_hidden_core_minus_no_q2_s3,add_q2_anchor_q2_s3_contrib,add_q2_beats_no_q2_s3,add_s3_anchor_minus_no_q2_s3,add_s3_mean_anchor_minus_no_q2_s3,add_s3_max_set_minus_no_q2_s3,add_s3_min_set_minus_no_q2_s3,add_s3_hidden_core_minus_no_q2_s3,add_s3_anchor_q2_s3_contrib,add_s3_beats_no_q2_s3,add_q2_s3_anchor_minus_no_q2_s3,add_q2_s3_mean_anchor_minus_no_q2_s3,add_q2_s3_max_set_minus_no_q2_s3,add_q2_s3_min_set_minus_no_q2_s3,add_q2_s3_hidden_core_minus_no_q2_s3,add_q2_s3_anchor_q2_s3_contrib,add_q2_s3_beats_no_q2_s3
low_slack_half,raw_agree,grad_all_abs50,all,core_gain,0.095,0.08,-2.9737067629431735e-06,4.5215068300574757e-07,-4.4670636445420797e-07,3.056774085519187e-06,-4.116601890924443e-06,-4.8798987254322634e-05,-4.4670636431670514e-07,False,2.778550646231892e-07,-4.3677733096991744e-07,2.268681152717278e-06,-3.0923059299858835e-06,-1.5323210178441737e-05,-4.367773308977561e-07,False,1.2781761438152017e-07,-9.929033484290528e-09,7.882376404921843e-07,-1.0750683535620809e-06,-3.347577707590865e-05,-9.92903342340887e-09,False,3.17982937858563e-06,4.2245860916168e-06,-1.0255064717412665e-06,1.1339434664248138e-05,0.00018708883359952466,-9.92903342340887e-09,False,3.2207337073986153e-06,3.797737794131173e-06,1.2985967534628884e-07,9.540516889061657e-06,0.00020524140049699158,-4.367773308977561e-07,False,3.34496395049122e-06,3.7878087607579047e-06,9.207645158548772e-07,8.455795814765743e-06,0.00017176562342105517,-4.4670636431670514e-07,False
all,all,grad_all_abs50,teacher_row_top50,flat,0.07,0.08,-2.1076194879343646e-06,4.537897014822434e-07,-9.910587439598828e-08,1.896532752843072e-06,-2.1679043661348985e-06,-3.190258235216681e-05,-9.910587436983571e-08,False,2.328703214704575e-07,-1.4049204688504346e-07,1.1482595241307791e-06,-1.4423105609839837e-06,-7.462534850621871e-06,-1.4049204705256024e-07,False,1.7980722932797732e-07,4.138617271109979e-08,7.483368583693917e-07,-8.456354847474756e-07,-2.4440047501600448e-05,4.13861726782648e-08,False,2.413675763479617e-06,3.0262713361928206e-06,-6.524316791267637e-07,8.375416720274309e-06,0.00013236190055351815,4.13861726782648e-08,False,2.241172523453905e-06,2.8443931165966774e-06,-6.18032039323424e-07,7.889348555556452e-06,0.00014933941320446897,-1.4049204705256024e-07,False,2.5171052772110514e-06,2.885779289307777e-06,3.145280103034054e-07,7.021127873985122e-06,0.00012489936570292404,-9.910587436983571e-08,False
all,all,grad_all_abs50,all,core_gain,0.07,0.12,-3.2902360440623113e-06,4.5590805042294846e-07,-5.513795260370102e-07,3.372665505096961e-06,-4.6905008903586065e-06,-5.6044549950118316e-05,-5.513795260467705e-07,False,2.980558818643786e-07,-5.550605397530717e-07,2.4979355190968278e-06,-3.549778119560365e-06,-1.778724917503305e-05,-5.550605397775598e-07,False,1.454632372333009e-07,3.681013716061443e-09,8.748694652060962e-07,-1.1969389188681845e-06,-3.8257300775002e-05,3.681013726329741e-09,False,3.5202541972534362e-06,4.7192452115041306e-06,-9.223686651127494e-07,1.203111386760547e-05,0.00020122690683832545,3.681013726329741e-09,False,3.4990142028235027e-06,4.160503657923975e-06,3.883149395367269e-07,9.797873864791917e-06,0.0002216969584383499,-5.550605397775598e-07,False,3.6470133916166603e-06,4.164184671751059e-06,1.2668574621566009e-06,8.591670940027996e-06,0.00018343965766326464,-5.513795260467705e-07,False
all,support60,grad_all_4of6,teacher_row_top50,core_gain,0.07,0.12,3.726448649654657e-08,4.5990449293320523e-07,-6.372014860200892e-08,1.601733664258198e-06,-1.62564618855221e-06,-1.7450753745984482e-05,-6.372014881385603e-08,False,1.1298286417549264e-07,-1.117695370700389e-07,8.301025022916519e-07,-1.1883751040997481e-06,-4.790186963199439e-06,-1.1176953718090142e-07,False,3.4737818854768676e-07,4.8049388468029974e-08,7.716445756811297e-07,-4.3701581231569975e-07,-1.2660566782785043e-05,4.804938836258572e-08,False,2.980768115667942e-07,5.687680273425144e-07,-4.860482001323163e-07,1.8879717397224383e-06,2.6314780019381923e-05,4.804938836258572e-08,False,4.474286297018182e-08,4.0894910180444555e-07,-4.2266587962913604e-07,1.1305342078049563e-06,3.4185159838912016e-05,-1.1176953718090142e-07,False,3.858562835912238e-07,4.569984901614532e-07,3.589083048538555e-07,6.828689895765905e-07,2.1524593056182484e-05,-6.372014881385603e-08,False
all,all,grad_all_4of6,teacher_row_top50,core_gain,0.095,0.08,-1.8550593878785548e-06,4.599496721269247e-07,-1.4104180878771189e-07,2.118669596207212e-06,-2.4709847906700944e-06,-3.772345121658138e-05,-1.4104180879061792e-07,False,2.9696835923687104e-07,-1.6519177092888526e-07,1.413344648315551e-06,-1.6391534597426372e-06,-1.115326150888385e-05,-1.6519177104935762e-07,False,1.4195615050116572e-07,2.4149962252195678e-08,7.05426287939126e-07,-8.545324471365134e-07,-2.657018970772529e-05,2.4149962254280157e-08,False,2.177941699543773e-06,2.93027104592003e-06,-6.933964420419159e-07,7.894383088569157e-06,0.00013403783468407537,2.4149962254280157e-08,False,2.0926131822918137e-06,2.740929312738949e-06,-4.307149467086546e-07,7.2630275113061415e-06,0.00014945476288297233,-1.6519177104935762e-07,False,2.384732779914245e-06,2.7650792748801223e-06,5.145832924213778e-07,6.38031649757842e-06,0.00012288457317519152,-1.4104180879061792e-07,False
all,support60,grad_core_top50,all,core_gain,0.07,0.12,3.257355063457368e-08,4.6054836533304666e-07,-1.8966526427188768e-07,2.1514806494149497e-06,-2.3502866511870835e-06,-2.0991341159515287e-05,-1.8966526427288654e-07,False,1.0482520151899877e-07,-2.333073793048257e-07,1.3366669717740365e-06,-1.860972963396712e-06,-6.881728085633698e-06,-2.3330737923316468e-07,False,3.384171897158339e-07,4.364211503293802e-08,8.148692834941684e-07,-4.742979479166465e-07,-1.41096130739371e-05,4.3642114955818564e-08,False,2.950637094656372e-07,6.856341194794169e-07,-7.560923165339517e-07,2.393192752636608e-06,3.719254790904292e-05,4.3642114955818564e-08,False,7.50697021212332e-08,4.0868462536369776e-07,-1.8760631981251663e-07,9.268309981713685e-07,4.4420432897429585e-05,-2.3330737923316468e-07,False,3.7976485367519075e-07,4.523267403966358e-07,5.853847249159827e-07,4.3570983299101584e-07,3.031081982352024e-05,-1.8966526427288654e-07,False
low_slack_half,support60,grad_all_abs50,all,flat,0.07,0.08,-1.4652843416396166e-07,4.673919059561271e-07,2.661567244377494e-08,1.678481404532306e-06,-1.5449150519986077e-06,-1.574691573641429e-05,2.661567247894396e-08,False,2.368251337259153e-07,-5.066503505624098e-08,1.0969248973591306e-06,-1.2034135883354224e-06,-5.435663159358839e-06,-5.0665035000688464e-08,False,2.3400217230573617e-07,7.728070738899362e-08,5.81540044675144e-07,-3.1563376579057945e-07,-1.0311252577083208e-05,7.728070747517275e-08,False,3.7911189820771796e-07,7.233419347940639e-07,-6.245643940916423e-07,2.2154996868195553e-06,4.0417905136702625e-05,7.728070747517275e-08,False,3.9518476879774056e-07,5.953961923488293e-07,-5.56293402453889e-08,1.3125308842010242e-06,4.5293494554426994e-05,-5.0665035000688464e-08,False,5.809134693279816e-07,6.72676899737823e-07,4.7258091961932536e-07,9.696794306401912e-07,3.4982241977343786e-05,2.661567247894396e-08,False
low_slack_half,support60,grad_all_4of6,all,flat,0.07,0.08,1.9336818191106886e-07,4.7092959787331523e-07,-2.1416490458836535e-07,2.21926248145099e-06,-2.30020949409937e-06,-1.9120947713835434e-05,-2.1416490466459527e-07,False,1.8496207376816898e-07,-2.948849374684315e-07,1.5649260806105403e-06,-1.990923245709375e-06,-7.187529114910385e-06,-2.9488493756188033e-07,False,2.576468893789041e-07,8.072003299108843e-08,6.562461967174471e-07,-3.0892217695033253e-07,-1.1933418599008316e-05,8.072003289282555e-08,False,7.419072700631801e-08,4.6598850467205466e-07,-6.836978825308648e-07,1.5293976534103138e-06,4.357354367884314e-05,8.072003289282555e-08,False,4.99602326176074e-08,9.038353410151245e-08,3.339903962285007e-07,-1.5665985741986077e-07,4.831943316291332e-05,-2.9488493756188033e-07,False,2.5283261462227813e-07,1.7110356709260088e-07,9.137450331930808e-07,-5.194141388109585e-07,3.638601456396051e-05,-2.1416490466459527e-07,False
low_slack_half,all,grad_all_4of6,all,core_gain,0.095,0.08,-3.0269372413016526e-06,4.728951319421526e-07,-6.725662932138832e-07,3.5285662793871353e-06,-4.800291691697822e-06,-5.85827853955001e-05,-6.725662933589398e-07,False,3.0679772233810354e-07,-6.871972982880337e-07,2.6544292279773174e-06,-3.771311896771934e-06,-2.154739897772262e-05,-6.871972983811951e-07,False,1.8914970401073816e-07,1.4631005074150494e-08,8.764013806894511e-07,-1.0985794689499784e-06,-3.703538641761095e-05,1.4631005017795415e-08,False,3.2688904385569373e-06,4.697118011987023e-06,-1.6384347802933519e-06,1.2550052020054991e-05,0.00020505541150642181,1.4631005017795415e-08,False,3.2160333179875877e-06,3.995289708513816e-06,-1.6784006195980083e-07,9.976169464187556e-06,0.0002205433989463379,-6.871972983811951e-07,False,3.3897568820773216e-06,4.009920713587967e-06,7.091654593560648e-07,8.867933735889899e-06,0.00018350801252861593,-6.725662933589398e-07,False
low_slack_half,all,grad_all_4of6,teacher_row_top50,core_gain,0.095,0.08,-1.8441819404912962e-06,4.7545215187128065e-07,-2.0370063280594763e-07,2.2498004110804715e-06,-2.606520495440634e-06,-3.506603614586434e-05,-2.037006327698598e-07,False,3.420786021113287e-07,-2.0960984548068495e-07,1.6255110728558009e-06,-1.835773420277853e-06,-1.0931818365117474e-05,-2.0960984548346195e-07,False,2.3536852400418695e-07,5.909212674737319e-09,7.537014654612761e-07,-7.707899332132229e-07,-2.413421778074687e-05,5.909212709142315e-09,False,2.1568431691765255e-06,3.1179896927691075e-06,-1.2373746643978834e-06,8.512313110609071e-06,0.00013197329542344316,5.909212709142315e-09,False,2.1163498176157702e-06,2.9024706346136853e-06,-7.171946360129411e-07,7.607744234139346e-06,0.00014517569483912807,-2.0960984548346195e-07,False,2.3243209108514407e-06,2.9083798472884226e-06,5.760765897644404e-08,6.8080774339174255e-06,0.00012104147705835344,-2.037006327698598e-07,False
low_slack_half,support60,grad_core_top50,all,flat,0.07,0.08,3.8744317565342357e-07,4.783661641249992e-07,-1.1201244942693478e-07,2.0067296675474466e-06,-1.948320107802992e-06,-1.8812949493157705e-05,-1.1201244950139194e-07,False,1.9262677797282635e-07,-2.0391357513638297e-07,1.3607486442079875e-06,-1.6294227533908412e-06,-6.889167768309168e-06,-2.0391357516648152e-07,False,2.634698297310223e-07,9.19011257094482e-08,6.11207791267887e-07,-2.751613363827232e-07,-1.1923781724848537e-05,9.190112566062981e-08,False,-1.0266743177833604e-07,3.34537398893886e-07,-1.0444926362707108e-06,1.570640205117435e-06,4.314574477903843e-05,9.190112566062981e-08,True,-1.58371295411186e-07,3.872269815907714e-08,-2.5396718139614194e-07,1.734916746931603e-07,4.8180358735661066e-05,-2.0391357516648152e-07,True,5.366880251322925e-08,1.3062382375750303e-07,3.164337767369574e-07,-1.4595991371102457e-07,3.625657701070151e-05,-1.1201244950139194e-07,False
all,support60,grad_core_top50,teacher_row_top50,core_gain,0.07,0.12,6.3193984156662e-08,4.806454019234963e-07,-2.602185134037427e-10,1.5375743328549518e-06,-1.4770594481960941e-06,-1.7361201915394586e-05,-2.6021862133818654e-10,False,1.2524698023153036e-07,-5.684669845962276e-08,7.662013570275406e-07,-1.055761748247619e-06,-4.597854776355881e-06,-5.6846698616103975e-08,False,3.5586216740046694e-07,5.6586479946219015e-08,7.713613761062277e-07,-4.2113466569571045e-07,-1.2763347139038705e-05,5.65864799903062e-08,False,2.831728386221144e-07,5.734746236774058e-07,-6.043032584335251e-07,2.00596511590323e-06,2.5725320935449103e-05,5.65864799903062e-08,False,3.324404906912548e-08,4.600414450495194e-07,-6.043563651747519e-07,1.3619410715870472e-06,3.3890813298020905e-05,-5.6846698616103975e-08,False,3.870781838388737e-07,5.166279249957384e-07,1.778652546358117e-07,9.333051839144346e-07,2.1127466159120978e-05,-2.6021862133818654e-10,False
low_slack_half,raw_agree,grad_core_top50,teacher_row_top50,core_gain,0.095,0.08,-1.813641994030668e-06,4.808970019976044e-07,-1.2786101766248947e-07,2.13623336631219e-06,-2.3606684190768945e-06,-3.530049542596614e-05,-1.2786101758451932e-07,False,3.744365009161754e-07,-1.224820330714138e-07,1.539055223265251e-06,-1.610148316122384e-06,-1.1394080663307271e-05,-1.2248203299206292e-07,False,2.2299095381317358e-07,-5.378984813120269e-09,7.527973215903927e-07,-7.397436646572331e-07,-2.3906414762603356e-05,-5.3789845969160264e-09,False,2.1161203166419895e-06,3.0463844182815336e-06,-1.2651265159924208e-06,8.514738686460355e-06,0.000130955169141328,-5.3789845969160264e-09,False,2.1047699759746408e-06,2.9292813699122178e-06,-8.105498093824437e-07,7.762288298462927e-06,0.00014346750324062407,-1.2248203299206292e-07,False,2.2829162887871846e-06,2.923902385321142e-06,-7.537345980690446e-08,6.978602841045678e-06,0.0001195610884779652,-1.2786101758451932e-07,False
low_slack_half,raw_agree,grad_all_4of6,all,core_gain,0.07,0.12,-3.2894716670561763e-06,4.831249090786471e-07,-7.343727916886422e-07,3.776195100169133e-06,-5.1741345052924714e-06,-6.331464087158678e-05,-7.343727917353926e-07,False,2.654194153350886e-07,-7.647646591557589e-07,2.800483997256187e-06,-4.059286943358664e-06,-2.2783820774335828e-05,-7.647646591307138e-07,False,2.0593430116733202e-07,3.039186746711664e-08,9.75866787156221e-07,-1.187121081103193e-06,-4.05308200972232e-05,3.039186739086144e-08,False,3.579072530901506e-06,5.05824435248492e-06,-1.7222855036580498e-06,1.3691972945761854e-05,0.00022419493924524803,3.039186739086144e-08,False,3.4804490540718547e-06,4.263087825862044e-06,-2.286683178365223e-07,1.0984674664538119e-05,0.00024194193856816315,-7.647646591307138e-07,False,3.690237100562044e-06,4.293479693329161e-06,7.511117194880512e-07,9.78413970420533e-06,0.00020141111847093995,-7.343727917353926e-07,False
all,support60,grad_all_abs50,all,flat,0.07,0.12,-2.5717056040264197e-08,4.922470736579143e-07,-3.3351209682841443e-07,2.8180550287748574e-06,-3.3061035297210495e-06,-2.623818880234663e-05,-3.335120969334252e-07,False,1.802502325176647e-08,-4.854237576346065e-07,1.7232989145687938e-06,-2.70537450097752e-06,-7.979846299022153e-06,-4.854237576438697e-07,False,4.494333809557105e-07,1.5191166069516981e-07,1.0641505853170585e-06,-5.984724922303286e-07,-1.8258342503379987e-05,1.519116607059851e-07,False,4.806225241127393e-07,9.983862274687283e-07,-1.1470251553014066e-06,3.5635724857652207e-06,5.298011953949744e-05,1.519116607059851e-07,False,7.531792656223502e-08,3.6105080902792963e-07,-3.9643409743828073e-07,1.3059107256685465e-06,6.325861574385527e-05,-4.854237576438697e-07,False,4.527330965675702e-07,5.129624698341217e-07,5.822684413514523e-07,6.633517611875916e-07,4.5000273240475286e-05,-3.335120969334252e-07,False
low_slack_half,all,grad_all_abs50,teacher_row_top50,flat,0.07,0.08,-2.2653576254860752e-06,4.988243060832787e-07,-7.951139346928926e-08,2.0855088292970336e-06,-2.167819590614961e-06,-3.0007580663987676e-05,-7.951139336110911e-08,False,3.486564008614579e-07,-1.2017796902075162e-07,1.4143266691135636e-06,-1.4396799187244014e-06,-7.7461693161196e-06,-1.2017796907207398e-07,False,2.5874113396273657e-07,4.066657577350696e-08,8.341040186321536e-07,-7.282111104123246e-07,-2.226141134778481e-05,4.066657570650526e-08,False,2.547041863087962e-06,3.343203506589454e-06,-1.0216057699796721e-06,9.406876641637751e-06,0.00012899168497007563,4.066657570650526e-08,False,2.526743997810499e-06,3.1823589619062176e-06,-6.519855195730173e-07,8.809786902985728e-06,0.00014350692700174084,-1.2017796907207398e-07,False,2.7533162412218815e-06,3.2230255375687022e-06,1.220300067661384e-07,8.065905074294832e-06,0.00012124551565390052,-7.951139336110911e-08,False
all,support60,grad_all_abs50,teacher_row_top50,core_gain,0.13,0.08,-3.392318459471966e-08,4.994277031933336e-07,-3.720390706618559e-08,1.7485745912315664e-06,-1.8179621453784378e-06,-2.0505684294208626e-05,-3.720390706446287e-08,False,5.4571342111842114e-08,-1.2031031182413443e-07,8.006481445610447e-07,-1.3363449117287374e-06,-5.10651792479111e-06,-1.2031031188531798e-07,False,4.407064753131351e-07,8.310640486897114e-08,9.479763189990109e-07,-4.814613674408719e-07,-1.5399166369473027e-05,8.310640481639549e-08,False,4.760016319993454e-07,7.392922148907743e-07,-6.708505152497324e-07,2.799866260949635e-06,3.1153971368075295e-05,8.310640481639549e-08,False,5.916959811003153e-08,5.358754981976688e-07,-8.131567886815461e-07,1.9272880587006824e-06,4.144661981284048e-05,-1.2031031188531798e-07,False,5.041476711653559e-07,6.189819029556176e-07,1.446503201663063e-07,1.4424828592707328e-06,2.6047453443339696e-05,-3.720390706446287e-08,False
low_slack_half,raw_agree,grad_all_abs50,teacher_row_top50,core_gain,0.095,0.08,-2.034867540690044e-06,5.034639665169038e-07,-1.256797158566414e-07,2.113451038510128e-06,-2.3264903997732844e-06,-3.154272004424197e-05,-1.2567971571657086e-07,False,3.4605589638303513e-07,-1.4155360239520576e-07,1.4754864240407173e-06,-1.5861251402293775e-06,-8.572145498708661e-06,-1.4155360232798543e-07,False,2.999092281186222e-07,1.5873886538564363e-08,8.494254438717874e-07,-7.454152441965789e-07,-2.297057454545004e-05,1.5873886606954862e-08,False,,,,,,,,2.296894326181409e-06,2.9063159743270006e-06,-3.681358790030842e-07,7.541089618312569e-06,0.00013757814101000854,-1.4155360232798543e-07,False,2.5358293866961645e-06,2.9221898610876096e-06,4.309238604838228e-07,6.775633004219017e-06,0.0001146075664645585,-1.2567971571657086e-07,False
low_slack_half,raw_agree,grad_core_top50,teacher_row_top50,flat,0.07,0.08,-1.9037946541455852e-06,5.092858288424651e-07,-5.6429995676232636e-08,2.1093112222425603e-06,-2.0509903924104123e-06,-3.587285764952708e-05,-5.642999553179263e-08,False,4.293547574141243e-07,-6.098220484140882e-08,1.526916480587559e-06,-1.337163754611126e-06,-1.1471733147416785e-05,-6.098220475197774e-08,False,1.3500817974687607e-07,4.552209276198482e-09,6.6500280992976e-07,-7.137334451234878e-07,-2.4401124502054783e-05,4.552209215725482e-09,False,2.1376013817908657e-06,3.325450883107095e-06,-1.9490274455469248e-06,9.850467804994878e-06,0.00014347858484178855,4.552209215725482e-09,False,2.2511063985097834e-06,3.2599164692115323e-06,-1.4125747412885303e-06,9.317744858683419e-06,0.00015640797619642655,-6.098220475197774e-08,False,2.399104901296134e-06,3.264468678487731e-06,-7.396510453006044e-07,8.546801349540445e-06,0.00013200685169431625,-5.642999553179263e-08,False
low_slack_half,support60,grad_all_abs50,teacher_row_top50,flat,0.095,0.08,8.877330825995955e-08,5.09566770223735e-07,7.529453061039248e-08,1.719439403191636e-06,-1.530274422845146e-06,-1.5843215668387423e-05,7.529453032611595e-08,False,1.9557748609511094e-07,-1.5423763377597766e-08,1.0410273871830356e-06,-1.250717584055927e-06,-4.573925508677412e-06,-1.5423763470866823e-08,False,3.109335532380797e-07,9.071829387696795e-08,6.784036084006573e-07,-2.795576551362089e-07,-1.1269290159793277e-05,9.071829379252306e-08,False,2.0546115031550016e-07,6.127029452684951e-07,-1.034475338390628e-06,2.59061103780045e-06,3.405436567352482e-05,9.071829379252306e-08,False,1.8130004619809625e-07,5.065608881249517e-07,-6.145345977648375e-07,1.7657982753771506e-06,4.074973032461293e-05,-1.5423763470866823e-08,False,4.4316068770200445e-07,5.972791818908973e-07,7.612075636487248e-09,1.474964236969356e-06,2.9480440164958432e-05,7.529453032611595e-08,False
low_slack_half,raw_agree,grad_all_4of6,teacher_row_top50,core_gain,0.07,0.12,-1.9906737732666713e-06,5.100007043346011e-07,-2.2298309754198442e-07,2.420947163184195e-06,-2.7360585742597365e-06,-3.789508240947814e-05,-2.2298309759227205e-07,False,3.67154268765546e-07,-2.3982872865424554e-07,1.7143727900625905e-06,-1.8933864437409298e-06,-1.1380587501580441e-05,-2.3982872867814473e-07,False,2.6927153840006213e-07,1.6845631112261117e-08,8.577878207738365e-07,-8.254623229397851e-07,-2.6514494907953212e-05,1.6845631081412812e-08,False,2.355123949748794e-06,3.3479205261421896e-06,-1.310416994693142e-06,9.294555510686031e-06,0.0001450465278795554,1.6845631081412812e-08,False,2.292642418466606e-06,3.091246166375683e-06,-8.20124664180355e-07,8.39216460823966e-06,0.00016018043528587267,-2.3982872867814473e-07,False,2.512624859729584e-06,3.108091797487944e-06,3.4274207028062165e-08,7.5164984165709825e-06,0.00013366594037803048,-2.2298309759227205e-07,False
all,support60,grad_all_abs50,all,core_gain,0.13,0.08,-6.499742988275159e-08,5.105324141219114e-07,-2.6250560081209073e-07,2.5170063512325314e-06,-2.865872417157078e-06,-2.475723776043659e-05,-2.62505600852919e-07,False,6.113393802298361e-08,-3.325028108402961e-07,1.5069286048996489e-06,-2.281944170290373e-06,-7.7216503360511e-06,-3.3250281081358443e-07,False,4.241218491962684e-07,6.999720980616075e-08,1.0172598587931958e-06,-5.838241425859536e-07,-1.7035587424441e-05,6.99972099562059e-08,False,4.859845903482096e-07,8.300877147870978e-07,-8.361137110446393e-07,3.1641705168228285e-06,4.406862118583321e-05,6.99972099562059e-08,False,1.327764016512134e-07,4.275876941406409e-07,-2.606061549892402e-07,1.3283576388856133e-06,5.338255827425087e-05,-3.3250281081358443e-07,False,4.879761247300607e-07,4.975849039468017e-07,6.647829564609964e-07,7.293855280865458e-07,3.634697084980987e-05,-2.62505600852919e-07,False
all,support60,grad_all_abs50,teacher_row_top50,flat,0.07,0.12,1.923988934837695e-08,5.151556684568348e-07,-2.998231074524682e-08,1.8345265057062576e-06,-1.943008166471749e-06,-2.1379603034527017e-05,-2.9982310690769685e-08,False,7.115577316252342e-08,-1.6341376485318193e-07,8.981522489071025e-07,-1.4912225974050841e-06,-5.031527089610632e-06,-1.634137648492756e-07,False,4.563295830095626e-07,1.334314541079351e-07,9.363684405627737e-07,-4.515072947741672e-07,-1.634807594513843e-05,1.3343145415404623e-07,False,4.1871603151388825e-07,8.144520553532431e-07,-9.322971114000822e-07,3.0261988664959105e-06,3.4874293376147e-05,1.3343145415404623e-07,False,1.4204038056853108e-08,5.176068365031483e-07,-9.604096766757664e-07,1.9733295987256483e-06,4.619084223161929e-05,-1.634137648492756e-07,False,4.458556274178349e-07,6.510382906110834e-07,-1.563495433121176e-08,1.5100231691711485e-06,2.9842766286591882e-05,-2.9982310690769685e-08,False
low_slack_half,raw_agree,grad_all_abs50,teacher_row_top50,flat,0.07,0.08,-2.2963885852878008e-06,5.160804876780389e-07,-8.42995840910632e-08,2.0407878998929263e-06,-2.086756261454603e-06,-2.9562935549981573e-05,-8.429958409703535e-08,False,3.6405713887965874e-07,-1.2496615975354786e-07,1.3695893146259408e-06,-1.364169832873685e-06,-7.3015242021690074e-06,-1.249661598080005e-07,False,2.946037577222782e-07,4.066657577350696e-08,8.591738331897858e-07,-7.120762287593507e-07,-2.226141134778481e-05,4.066657570650526e-08,False,,,,,,,,2.555038015383815e-06,3.1496115429074933e-06,-5.894263922501253e-07,8.769140644515616e-06,0.00014342218225774084,-1.249661598080005e-07,False,2.7765958303671567e-06,3.190278118569978e-06,1.8458893924488962e-07,8.025250156196151e-06,0.0001211607709097895,-8.429958409703535e-08,False
low_slack_half,all,grad_all_abs50,all,core_gain,0.095,0.08,-2.9541007408040443e-06,5.190992574677367e-07,-4.316374545565438e-07,3.1427241315995502e-06,-4.148046406915462e-06,-4.940138037273778e-05,-4.31637454438705e-07,False,3.4007505911315405e-07,-4.2443855119422835e-07,2.347233160726603e-06,-3.116587863560838e-06,-1.5866841882455907e-05,-4.244385511245012e-07,False,1.4551138161067456e-07,-7.198903473337737e-09,7.956230835270972e-07,-1.0819240263693075e-06,-3.353453849030963e-05,-7.19890331866345e-09,False,3.1638251062338085e-06,4.247098236653812e-06,-1.1354408602226584e-06,1.14452194807102e-05,0.00018736912711120324,-7.19890331866345e-09,False,3.223599723489734e-06,3.829858588710877e-06,9.595356409430877e-08,9.565250523202451e-06,0.00020503682371914023,-4.244385511245012e-07,False,3.3487874567805775e-06,3.822659685459584e-06,8.935571533807973e-07,8.474120824608633e-06,0.0001715022852288861,-4.31637454438705e-07,False
all,raw_agree,grad_core_top50,teacher_row_top50,core_gain,0.095,0.08,-1.8928729503819852e-06,5.266548004367877e-07,-1.4480498355951e-08,2.0282724454423473e-06,-2.236700368696276e-06,-3.761961058418306e-05,-1.4480498317835504e-08,False,3.8769179622200056e-07,-1.9408416651600646e-08,1.3960437804660941e-06,-1.4454312295963945e-06,-1.157550141298036e-05,-1.9408416710762863e-08,False,1.2977804131342197e-07,4.9279184066719495e-09,6.323734609292586e-07,-8.096650845335063e-07,-2.6044109171174945e-05,4.927918388467659e-09,False,2.1826881071440596e-06,2.914937693332398e-06,-6.685029538822107e-07,7.851063940855774e-06,0.00013339307425014324,4.927918388467659e-09,False,2.211445789157551e-06,2.8906013582741252e-06,-3.4174394458741375e-07,7.376784249113477e-06,0.00014786168200833782,-1.9408416710762863e-08,False,2.449143496230377e-06,2.895529276569775e-06,5.084812162436947e-07,6.539360061119659e-06,0.0001218175728372739,-1.4480498317835504e-08,False
low_slack_half,raw_agree,grad_core_top50,all,core_gain,0.07,0.12,-3.2605775981409124e-06,5.270359092479637e-07,-6.08787719347248e-07,3.7247476777357846e-06,-5.069752118558313e-06,-6.411984408366544e-05,-6.087877191218351e-07,False,3.117659154172614e-07,-6.306333517613893e-07,2.7990904298835773e-06,-4.006563775194039e-06,-2.440131565079051e-05,-6.306333516305677e-07,False,1.881058235841948e-07,2.184563241414139e-08,9.258721657134927e-07,-1.1331120147728413e-06,-3.971852843290269e-05,2.184563250427304e-08,False,3.540737930851634e-06,4.957058826193794e-06,-1.7063560769914332e-06,1.3627495177859217e-05,0.00022301502081284452,2.184563250427304e-08,False,3.4858118442837593e-06,4.304579842129286e-06,-1.6956986226279724e-07,1.0904754009111173e-05,0.00023833223359487343,-6.306333516305677e-07,False,3.691174703446265e-06,4.326425474543427e-06,7.582520594739961e-07,9.756714266062616e-06,0.000198613705161943,-6.087877191218351e-07,False
