selector,rows,pass_rows,dominates_e101,mean_better_rows,mean_p95_better_but_beat_worse_rows,e101_like_alpha,e101_like_mean_vs_e95,e101_like_p95_vs_e95,e101_like_beat,best_mean_alpha,best_mean_vs_e95,best_mean_p95_vs_e95,best_mean_beat,best_pass_alpha,best_pass_mean_vs_e95,best_pass_p95_vs_e95,best_pass_beat,first_alpha_above_0p25_with_beat_drop
active_all,101,76,0,50,50,0.25,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,0.5,-2.9942366768144978e-05,-2.496942970351932e-06,0.9779837775202781,0.38,-2.3694925052941363e-05,-2.180983425952645e-06,0.9808806488991889,0.255
active_topgap40,101,76,0,49,23,0.25,-1.576194796981069e-05,-1.219496391781683e-06,0.973638470451912,0.5,-2.914027434264572e-05,-1.6907547732007508e-06,0.9690034762456546,0.38,-2.306164427829225e-05,-1.546316512789932e-06,0.9716106604866744,0.255
active_s3_all,101,76,0,49,7,0.25,-1.5727718731460097e-05,-1.1945263639024126e-06,0.9733487833140209,0.5,-2.9124428089863164e-05,-1.5938714496280512e-06,0.9687137891077636,0.38,-2.3019024365470983e-05,-1.49899428480344e-06,0.9710312862108922,0.255
active_edge,101,0,0,0,0,0.25,-7.702840913095648e-06,5.894173360517262e-07,0.8942641946697567,0.5,-1.4214313608217904e-05,1.8834057928773261e-06,0.8736964078794901,,,,,0.255
active_interior,101,0,0,0,0,0.25,-8.565190162208473e-06,6.698133508671237e-07,0.8638470451911935,0.5,-1.615878981628881e-05,1.871121136629258e-06,0.8455967555040557,,,,,0.255
