prior,bucket,n_worlds,world_rate,delta_mean,delta_p05,delta_p50,delta_p95,abs_error_mean,support_cells_mean,support_cells_p05,support_cells_p95,support_flip_share_mean,support_flip_share_p05,support_flip_share_p95,top10_support_rate,top22_support_rate,top23_support_rate,s3_support_rate,q2_support_rate,edge_like_support_rate,interior_support_rate,conflict_support_rate
global,all,300000,1.0,4.898161933289226e-05,1.0839362562277143e-05,4.882504675013235e-05,8.775201185405601e-05,4.06999660533366e-05,24.894636666666667,19.0,30.0,0.5276220103516412,0.4018891992982823,0.6513177702300225,0.5973166666666667,0.5588174242424242,0.5633017391304348,0.4957469230769231,0.5055006060606061,0.5091623655913978,0.47950543859649125,0.44792027777777776
global,exact_observed_pm1e-6,2389,0.007963333333333333,9.051800404689346e-06,8.14396588341415e-06,9.041432795076551e-06,9.942815055710672e-06,5.060737386503122e-07,30.059857681038093,27.0,33.0,0.6571148540455506,0.6542252836935997,0.6600589714224615,0.7641691084135621,0.7109479051714297,0.7137605328771361,0.6184971718667825,0.539860725293961,0.6115664537733428,0.5842788217928664,0.5296846658294962
global,exact_observed_pm2e-6,4796,0.015986666666666666,9.134351647253453e-06,7.253089792349458e-06,9.170312439886807e-06,1.0861835414082338e-05,1.006830840814854e-06,30.022727272727273,27.0,33.0,0.6568471394543748,0.6512448905234701,0.6629480924229425,0.7652001668056714,0.7114451436803397,0.7146081879827393,0.6177209640512393,0.5392372431571765,0.611773251903468,0.5819871823010403,0.5298860161245482
global,small_loss_preband,25145,0.08381666666666666,1.313232427415425e-05,4.5995703298404416e-06,1.3840610100670789e-05,1.950112718335457e-05,5.356046365610062e-06,29.488804931397894,27.0,32.0,0.6438816700792523,0.6232275719196458,0.6715534853403324,0.7505189898588188,0.6963665286791156,0.6995253615983815,0.6052648484941188,0.5348614400115692,0.6004271996613192,0.5723979864156314,0.5204812089878703
global,beats_e95,4902,0.01634,-7.672743332195878e-06,-2.139898009866485e-05,-5.612606261671728e-06,-3.9904657873201063e-07,1.6708943332230235e-05,32.30028559771522,29.0,35.0,0.7113527340586444,0.6877640551701475,0.755867071459021,0.8267237862097103,0.7735896294647825,0.7758412715306974,0.6717300107752984,0.55480137977078,0.6578026085468736,0.6267581438295862,0.569563443492452
global,beats_mixmin,22126,0.07375333333333334,5.349538750762604e-06,-1.1757437364965936e-05,7.5747134105833e-06,1.4689125158231865e-05,6.544018319724346e-06,30.529738768869205,27.0,34.0,0.6691213294700428,0.6388329476218109,0.7245994419105888,0.779924071228419,0.7255778886213669,0.7284740753549828,0.6299805079069293,0.5418635418635419,0.6213766901003928,0.5930032303030015,0.5380246467202989
global,fails_mixmin,277874,0.9262466666666667,5.2455868146959796e-05,2.1556972034982502e-05,5.099677862796218e-05,8.858943129431091e-05,4.341966814692544e-05,24.44593592779461,19.0,29.0,0.516354983084557,0.39917343880665224,0.6165604443649371,0.5827763662667252,0.5455389525795538,0.5501497237878538,0.4850584372957823,0.502605170296282,0.5002271858189613,0.4704680614424637,0.4407456257152522
subject,all,300000,1.0,7.889109463769309e-06,-2.058983790243494e-05,7.526635167783521e-06,3.773924457510948e-05,1.4209428785203345e-05,29.38046,25.0,34.0,0.6608854736055242,0.5640811558307526,0.7532430143820041,0.8153543333333333,0.7282312121212121,0.7382301449275362,0.6043145299145299,0.5283812121212121,0.6184455913978495,0.5372971929824562,0.5074433333333334
subject,exact_observed_pm1e-6,13233,0.04411,9.031361211839562e-06,8.135335447712985e-06,9.039165970563344e-06,9.93498080907133e-06,4.997827298922823e-07,29.166251039068992,27.0,32.0,0.6571811385736543,0.654250690241958,0.6600869600207385,0.8138517343006121,0.7258540975385228,0.7358481267187762,0.5996605223537892,0.5254082424792015,0.615414055282127,0.5309692276485819,0.4983437869971536
subject,exact_observed_pm2e-6,26622,0.08874,9.026274729364627e-06,7.239504035260724e-06,9.028162037846668e-06,1.0835800304631095e-05,1.0004281422392415e-06,29.173766058147397,27.0,32.0,0.6571976340924861,0.651329322670903,0.6629921511831964,0.8134625497708662,0.7253638480819008,0.7355717566053575,0.5998374199861691,0.5254642435169818,0.6152636310982186,0.531610183900138,0.4986633861718378
subject,small_loss_preband,106705,0.35568333333333335,1.1186939762541476e-05,3.828267288114844e-06,1.1034617453494322e-05,1.8998899410761248e-05,4.411358964987992e-06,28.87293941239867,26.0,32.0,0.6501905735315767,0.6248563021318244,0.6740548296214669,0.8049107352045358,0.7177494451567832,0.7281570685534886,0.5928405536952466,0.5229234380258231,0.6097081038920993,0.5248414837759785,0.4926495165799791
subject,beats_e95,100728,0.33576,-1.1196257238746091e-05,-2.8248018656220406e-05,-9.235089956450821e-06,-8.123083269919248e-07,2.0232457238780447e-05,32.07883607338575,29.0,35.0,0.7227795285646409,0.6891042675830394,0.778078579129061,0.889349535382416,0.7947920953639324,0.8026549329576337,0.666377235265727,0.5536476270929451,0.667784016232793,0.5988174510615352,0.5722531636354009
subject,beats_mixmin,200219,0.6673966666666666,-1.8527960255330808e-06,-2.3655821350553393e-05,-1.0014844424025401e-07,1.3677493892697118e-05,1.212058746271548e-05,30.731788691382935,27.0,35.0,0.6924785806785957,0.6421136789864914,0.7631860325592011,0.8546901143248143,0.7627849777221215,0.7717093261139921,0.6355650818763711,0.5404318634731333,0.6434473606239877,0.5676273953704903,0.5385269796239784
subject,fails_mixmin,99781,0.3326033333333333,2.7437065238542414e-05,1.6138695043876217e-05,2.504188931126204e-05,4.6884094447227234e-05,1.840086523850806e-05,26.6689049017348,23.0,30.0,0.5974912371771129,0.5344243067169684,0.6341319764763456,0.7364237680520339,0.6588961644182578,0.6710513415684697,0.5416076592352637,0.5042005628690468,0.5682774307992569,0.47643708141883356,0.4450713729734786
prev_beta,all,300000,1.0,1.0816866471790916e-05,-1.7094694812213897e-05,1.0414633024829716e-05,3.995392463896402e-05,1.3920566057974991e-05,28.85502333333333,24.0,33.0,0.6513907252998735,0.5568989239289146,0.7419082267466369,0.816791,0.7243266666666667,0.7348456521739131,0.5884063247863248,0.5370160606060606,0.5960605376344086,0.5461656140350877,0.45333
prev_beta,exact_observed_pm1e-6,13760,0.04586666666666667,9.046737223732373e-06,8.13502386566005e-06,9.05454054928533e-06,9.941146647353944e-06,5.057927206796739e-07,29.058720930232557,27.0,31.0,0.6571312739973023,0.6542306943603238,0.6600879704847771,0.8277979651162791,0.7318380021141649,0.7421669615773508,0.5933102265951103,0.5381474630021141,0.6002086459114778,0.5501185740514076,0.4557594476744186
prev_beta,exact_observed_pm2e-6,27364,0.09121333333333333,9.050030745855868e-06,7.241617833152578e-06,9.063891160864559e-06,1.0844222056733454e-05,1.0004007305497624e-06,29.048677093992108,27.0,31.0,0.6571205930686884,0.6513020108358409,0.6629852961132928,0.8283255372021634,0.7318092118377164,0.7421715614930439,0.5932771487149502,0.5373516631008226,0.5999453013377595,0.5500196185537664,0.4541611850119378
prev_beta,small_loss_preband,111860,0.3728666666666667,1.1349848599193003e-05,3.86353021919903e-06,1.1300420056305208e-05,1.900928745097154e-05,4.478234669992896e-06,28.73051135347756,26.0,31.0,0.6496622583754573,0.6248226136027168,0.6739404715465847,0.8183175397818702,0.7237581879947337,0.7343465045592705,0.585845860439102,0.5347747996684167,0.5940931348517444,0.5428223248986045,0.4467228380713988
prev_beta,beats_e95,81552,0.27184,-1.0111736278571064e-05,-2.5938535955072848e-05,-8.238351814548558e-06,-7.110487011599501e-07,1.9147936278605418e-05,31.81668138120463,29.0,35.0,0.7192624151153856,0.6887758814983457,0.7705889012276604,0.900300421816755,0.7972431421335189,0.8052562888655731,0.6563859837108807,0.5652389105891166,0.6496725619751024,0.6145701031566556,0.5311038764632791
prev_beta,beats_mixmin,182871,0.60957,-2.0089214109036778e-07,-2.0660363850216024e-05,1.6530032338028285e-06,1.3926779022729756e-05,1.0678421395004731e-05,30.386102771899317,27.0,34.0,0.6871214381408314,0.6413052445571595,0.7534717308094137,0.863190445724035,0.7634865312408499,0.7726938899433267,0.6236340903893441,0.5513066587922634,0.6239766054019041,0.5812014739179099,0.4915764846986856
prev_beta,fails_mixmin,117129,0.39043,2.8018657106870302e-05,1.6226195271812206e-05,2.570153338455032e-05,4.7991319511716206e-05,1.8982457106835943e-05,26.464581785894186,23.0,30.0,0.5956051283261199,0.5308335636067221,0.6338482122709609,0.7443485387905643,0.6631872085090331,0.6757540088649935,0.533405968567201,0.5147044556157585,0.5524757787044282,0.4914648761082585,0.39361658228676644
next_beta,all,300000,1.0,7.174576342449723e-06,-2.082812329024058e-05,6.7898025987978086e-06,3.6496278688121175e-05,1.399407674160285e-05,29.22368,25.0,34.0,0.6632027124079222,0.5681121079272301,0.7540157765258335,0.8259723333333333,0.7369107575757575,0.7465307246376811,0.6074029914529915,0.5031784848484848,0.6102189247311828,0.5424680701754386,0.5174858333333333
next_beta,exact_observed_pm1e-6,13473,0.04491,9.034544877680041e-06,8.131283760988521e-06,9.032550552040615e-06,9.9310934441372e-06,5.036506976212665e-07,28.902248942329102,26.0,31.0,0.6571708139101793,0.6542632970093639,0.6601000996855251,0.8232242262302383,0.731807048440315,0.7417249958854908,0.6001023890135446,0.49984143370916917,0.6039007525205728,0.5358592428521761,0.5064882852124001
next_beta,exact_observed_pm2e-6,27038,0.09012666666666666,9.02751982210988e-06,7.236254714832354e-06,9.020182212107002e-06,1.0825245525754596e-05,1.003483503273877e-06,28.90513351579259,26.0,31.0,0.6571935962429648,0.6513635519353467,0.6630026887652257,0.8226237147718026,0.7318605464363287,0.741675966514117,0.600210340242887,0.49972093148363583,0.6042857245119772,0.5353829503116472,0.5071904973247529
next_beta,small_loss_preband,107528,0.35842666666666667,1.1089040154446281e-05,3.79052207300449e-06,1.0911813144447898e-05,1.8950275497850417e-05,4.3632854494883605e-06,28.624460605609702,26.0,31.0,0.6505080630416484,0.6250139900183054,0.6741772377708576,0.8136131984227364,0.7245288330819541,0.7346001688538961,0.5939247308751066,0.4964905546800495,0.5995272649164449,0.5283744943789427,0.5008765158842348
next_beta,beats_e95,104243,0.34747666666666666,-1.1147823255750702e-05,-2.8037529322482465e-05,-9.192018351801501e-06,-8.042286311414345e-07,2.018402325578506e-05,31.843346795468282,29.0,35.0,0.7226224566229731,0.6890780650401794,0.7773959598955014,0.8955431060119144,0.8003236319334283,0.8079149512280879,0.6672867661039529,0.5290148106740108,0.6581548138298449,0.6021340824601626,0.581309216606071
