task,heldout_experiment,n_valid,positive_rate,auc,average_precision,pred_mean,mae,spearman
selector_visible,e279,66,0.19696969696969696,0.9738751814223513,0.8337187385264309,0.20092342379732545,,
selector_visible,e284,9,0.0,,,0.003592508930043262,,
selector_visible,e285,158,0.0,,,0.00982003034598697,,
selector_visible,e286,533,0.0,,,0.01482950361581762,,
selector_visible,e287,3,0.0,,,0.020780032960332692,,
selector_visible,e289,28,0.42857142857142855,1.0,1.0,0.26676928042881093,,
selector_visible,e290,48,0.6875,1.0,1.0,0.693261643695446,,
selector_visible,e291,40,0.45,1.0,1.0,0.4519462879330832,,
selector_visible,e292,56,0.32142857142857145,1.0,1.0,0.28329045916588763,,
selector_visible,e293,64,0.75,1.0,1.0,0.7592546652355627,,
selector_visible,e297,39,0.5128205128205128,1.0,1.0000000000000002,0.5779654430540422,,
selector_visible,e299,71,0.704225352112676,1.0,1.0,0.7114116996742511,,
selector_visible,e300,120,0.725,1.0,0.9999999999999999,0.864914565289172,,
selector_visible,e301,1,0.0,,,0.14062525165584236,,
selector_visible,e303,12,1.0,,,0.9948033290200069,,
selector_visible,e305,14,1.0,,,0.983938345358253,,
selector_visible,e306,20,1.0,,,0.9760112372319325,,
selector_visible,e307,22,1.0,,,0.9990955334352037,,
selector_visible,__global_oof__,1304,0.28144171779141103,0.9988571561508555,0.9971929569170461,0.2992992198870042,,
null_rare,e279,66,0.696969696969697,0.9228260869565217,0.9584868504771714,0.8296886112715633,,
null_rare,e284,9,1.0,,,0.9808895417621112,,
null_rare,e285,158,1.0,,,0.9417168906072637,,
null_rare,e286,533,1.0,,,0.9481596323128975,,
null_rare,e287,3,1.0,,,0.8301967707290371,,
null_rare,e289,28,0.5357142857142857,0.9435897435897437,0.9268402893402893,0.4532311957804948,,
null_rare,e290,48,0.25,1.0,1.0,0.26662673133971104,,
null_rare,e291,40,0.55,1.0,1.0,0.5410753427136591,,
null_rare,e292,56,0.6785714285714286,1.0,1.0,0.707243517657299,,
null_rare,e293,64,0.21875,1.0,0.9999999999999998,0.2608052949000924,,
null_rare,e297,39,0.4358974358974359,0.9893048128342246,0.9872721018231856,0.4456697433405752,,
null_rare,e299,71,0.29577464788732394,0.9885714285714285,0.963721666845285,0.22471167453466295,,
null_rare,e300,120,0.25,0.9414814814814816,0.8302636801221793,0.04114712815066744,,
