feature_block,task,heldout_experiment,n_valid,positive_rate,auc,average_precision,pred_mean,mae,spearman
human_signature,null_common,e279,66,0.24242424242424243,0.38125,0.19676081037416965,0.20754844512094944,,
human_signature,null_common,e284,9,0.0,,,0.025196613784874047,,
human_signature,null_common,e285,158,0.0,,,0.14081219751672402,,
human_signature,null_common,e286,533,0.0,,,0.08214449431146392,,
human_signature,null_common,e287,3,0.0,,,0.45633572888600443,,
human_signature,null_common,e289,28,0.42857142857142855,0.8333333333333333,0.8201463161021985,0.6820993031239979,,
human_signature,null_common,e290,48,0.7083333333333334,0.7951680672268908,0.9043708099855623,0.8420670025592097,,
human_signature,null_common,e291,40,0.45,0.9823232323232323,0.9830246913580247,0.4026462604592204,,
human_signature,null_common,e292,56,0.2857142857142857,0.84453125,0.5818992186859034,0.49568684887724873,,
human_signature,null_common,e293,64,0.75,0.6588541666666666,0.9006040981943567,0.8305332249969466,,
human_signature,null_common,e297,39,0.5128205128205128,0.5657894736842106,0.534457781025719,0.44410519869882964,,
human_signature,null_common,e299,71,0.6619718309859155,0.8138297872340426,0.8875593178449893,0.8492054945730825,,
human_signature,null_common,e300,120,0.7,0.6541005291005291,0.7734761895296967,0.7267075554393493,,
human_signature,null_common,e301,1,0.0,,,0.5026241295369994,,
human_signature,null_common,e303,12,0.9166666666666666,0.6363636363636364,0.9649678604224059,0.7930387684405339,,
human_signature,null_common,e305,14,1.0,,,0.9738348120661181,,
human_signature,null_common,e306,20,1.0,,,0.6082386103381905,,
human_signature,null_common,e307,22,1.0,,,0.5552770091097099,,
human_signature,null_common,e310,42,0.5714285714285714,0.5069444444444444,0.5464781134448465,0.7126948020852174,,
human_signature,null_common,e311,37,0.7567567567567568,0.46031746031746035,0.7300602095450992,0.7610203431038441,,
human_signature,null_common,__global_oof__,1383,0.2993492407809111,0.8666736463209744,0.6072075374524699,0.36789944378596057,,
human_signature,null_rare,e279,66,0.696969696969697,0.43369565217391304,0.7521191682683042,0.758974173250331,,
human_signature,null_rare,e284,9,1.0,,,0.9730313742355529,,
human_signature,null_rare,e285,158,1.0,,,0.8410388857587339,,
human_signature,null_rare,e286,533,1.0,,,0.9194323758179627,,
human_signature,null_rare,e287,3,1.0,,,0.5179272448948901,,
human_signature,null_rare,e289,28,0.5357142857142857,0.8205128205128205,0.8827449937976253,0.2772742671322906,,
human_signature,null_rare,e290,48,0.25,0.8032407407407407,0.647934822076979,0.16442653059496734,,
human_signature,null_rare,e291,40,0.55,0.9823232323232323,0.9847911790495522,0.5812410276636188,,
human_signature,null_rare,e292,56,0.6785714285714286,0.8421052631578948,0.931600115365208,0.47326922930266374,,
human_signature,null_rare,e293,64,0.21875,0.54,0.24483769950997766,0.16697225732992893,,
human_signature,null_rare,e297,39,0.4358974358974359,0.48930481283422467,0.535613147997049,0.36191043419110774,,
human_signature,null_rare,e299,71,0.29577464788732394,0.6523809523809524,0.5287511126498675,0.12389842652087202,,
human_signature,null_rare,e300,120,0.25,0.6155555555555555,0.3893868198381075,0.1641923501283334,,
human_signature,null_rare,e301,1,0.0,,,0.42280481247268653,,
human_signature,null_rare,e303,12,0.0,,,0.18255129994216449,,
human_signature,null_rare,e305,14,0.0,,,0.01075577682866209,,
human_signature,null_rare,e306,20,0.0,,,0.26816633350605096,,
human_signature,null_rare,e307,22,0.0,,,0.2822765683978102,,
human_signature,null_rare,e310,42,0.21428571428571427,0.468013468013468,0.4954410076682221,0.2212232357245242,,
human_signature,null_rare,e311,37,0.08108108108108109,0.3578431372549019,0.08194444444444444,0.1312112600317647,,
human_signature,null_rare,__global_oof__,1383,0.6724511930585684,0.881310973438724,0.95057060969473,0.6005336495869456,,
human_signature,visible_null_common,e279,66,0.19696969696969696,0.36139332365747456,0.15873556880018436,0.20031412078104488,,
human_signature,visible_null_common,e284,9,0.0,,,0.02864314583119608,,
human_signature,visible_null_common,e285,158,0.0,,,0.1359007448118467,,
human_signature,visible_null_common,e286,533,0.0,,,0.08285120700163193,,
human_signature,visible_null_common,e287,3,0.0,,,0.4741448093032134,,
human_signature,visible_null_common,e289,28,0.42857142857142855,0.7708333333333333,0.7555787493093995,0.6793805326337592,,
human_signature,visible_null_common,e290,48,0.6875,0.7656565656565657,0.8827838996806934,0.8530089653901772,,
human_signature,visible_null_common,e291,40,0.45,0.9873737373737372,0.9868125701459036,0.39825446831750716,,
human_signature,visible_null_common,e292,56,0.2857142857142857,0.8484375,0.6708665014031862,0.48877929791051117,,
human_signature,visible_null_common,e293,64,0.75,0.6588541666666666,0.9006040981943567,0.8477785220535645,,
human_signature,visible_null_common,e297,39,0.5128205128205128,0.5631578947368422,0.5254101619780999,0.42057378981431026,,
human_signature,visible_null_common,e299,71,0.6619718309859155,0.8138297872340425,0.8874805885360358,0.8534189246714731,,
human_signature,visible_null_common,e300,120,0.6916666666666667,0.6577661999348746,0.7680034334800159,0.7136804167674641,,
human_signature,visible_null_common,e301,1,0.0,,,0.5161445483840672,,
human_signature,visible_null_common,e303,12,0.9166666666666666,0.6363636363636364,0.9649678604224059,0.8242025100538316,,
human_signature,visible_null_common,e305,14,1.0,,,0.9661019272697974,,
human_signature,visible_null_common,e306,20,1.0,,,0.6347963674575248,,
human_signature,visible_null_common,e307,22,1.0,,,0.5368581123338767,,
human_signature,visible_null_common,e310,42,0.5476190476190477,0.5663615560640732,0.5558490511909363,0.7163433356181338,,
human_signature,visible_null_common,e311,37,0.7567567567567568,0.4007936507936508,0.7010097997698995,0.7574172184350585,,
human_signature,visible_null_common,__global_oof__,1383,0.2950108459869848,0.869380341880342,0.6108877380188197,0.36677232965984236,,
human_signature,action_cliff,e279,66,0.19696969696969696,0.37880986937590716,0.16267147302205145,0.21330677191793906,,
human_signature,action_cliff,e284,9,0.0,,,0.029421574314085826,,
human_signature,action_cliff,e285,158,0.0,,,0.13614319082346923,,
human_signature,action_cliff,e286,533,0.0,,,0.07984475988331448,,
human_signature,action_cliff,e287,3,0.0,,,0.4503757307595732,,
human_signature,action_cliff,e289,28,0.42857142857142855,0.8541666666666666,0.8430419389978212,0.6653427146187552,,
human_signature,action_cliff,e290,48,0.6875,0.8464646464646465,0.9323518638982897,0.8451123797509665,,
human_signature,action_cliff,e291,40,0.45,0.9924242424242424,0.9913580246913583,0.4134631213240885,,
human_signature,action_cliff,e292,56,0.32142857142857145,0.8450292397660819,0.686417569056458,0.5093268083661046,,
human_signature,action_cliff,e293,64,0.75,0.5703125,0.8526293579768801,0.8613072638547243,,
human_signature,action_cliff,e297,39,0.5128205128205128,0.5789473684210527,0.5359140910518232,0.42098335472143905,,
human_signature,action_cliff,e299,71,0.6901408450704225,0.8112244897959183,0.8997768169235955,0.8636345288406537,,
human_signature,action_cliff,e300,120,0.7166666666666667,0.5961012311901505,0.757236201384673,0.8115569042494833,,
human_signature,action_cliff,e301,1,0.0,,,0.6428782563598668,,
human_signature,action_cliff,e303,12,1.0,,,0.8486475774292588,,
human_signature,action_cliff,e305,14,1.0,,,0.9701134614833026,,
human_signature,action_cliff,e306,20,1.0,,,0.6368506376216405,,
human_signature,action_cliff,e307,22,1.0,,,0.5090149775345009,,
human_signature,action_cliff,e310,42,0.5476190476190477,0.5560640732265446,0.5483322979101165,0.7194090012650678,,
human_signature,action_cliff,e311,37,0.7567567567567568,0.4444444444444445,0.7269680676924531,0.7570608937315056,,
human_signature,action_cliff,__global_oof__,1383,0.3007953723788865,0.8765748051069923,0.6276521561600715,0.37659781101849,,
human_signature,safe_invisible,e279,66,0.696969696969697,0.4331521739130435,0.7517488628989717,0.7599821544832259,,
human_signature,safe_invisible,e284,9,1.0,,,0.9741795252037316,,
human_signature,safe_invisible,e285,158,1.0,,,0.8418094051413935,,
human_signature,safe_invisible,e286,533,1.0,,,0.9223719629582253,,
human_signature,safe_invisible,e287,3,1.0,,,0.5176656685496562,,
human_signature,safe_invisible,e289,28,0.5357142857142857,0.8205128205128205,0.8827449937976253,0.2780966840363274,,
human_signature,safe_invisible,e290,48,0.25,0.8032407407407407,0.647934822076979,0.16827590384475558,,
human_signature,safe_invisible,e291,40,0.55,0.9898989898989898,0.9915203702753107,0.5824806551824204,,
human_signature,safe_invisible,e292,56,0.6785714285714286,0.8421052631578948,0.9315375073616732,0.4718296332364812,,
human_signature,safe_invisible,e293,64,0.21875,0.54,0.24462959055882086,0.1570239555487969,,
human_signature,safe_invisible,e297,39,0.4358974358974359,0.4866310160427807,0.5352913020869677,0.3689476035426188,,
human_signature,safe_invisible,e299,71,0.28169014084507044,0.6245098039215686,0.4464600090720386,0.1227792452606163,,
human_signature,safe_invisible,e300,120,0.24166666666666667,0.5725653656688139,0.3515141517758164,0.13806303862414646,,
human_signature,safe_invisible,e301,1,0.0,,,0.3253719876736971,,
human_signature,safe_invisible,e303,12,0.0,,,0.17610524450509024,,
human_signature,safe_invisible,e305,14,0.0,,,0.010228808002872593,,
human_signature,safe_invisible,e306,20,0.0,,,0.2707200608308729,,
human_signature,safe_invisible,e307,22,0.0,,,0.28940026580175315,,
human_signature,safe_invisible,e310,42,0.21428571428571427,0.468013468013468,0.5009965632237776,0.21598359241017034,,
human_signature,safe_invisible,e311,37,0.08108108108108109,0.37745098039215685,0.08516483516483517,0.1337635041466885,,
human_signature,safe_invisible,__global_oof__,1383,0.6710050614605929,0.8831612353164078,0.95132268821875,0.5992785249298099,,
human_signature,strict_health,e279,66,0.0,,,0.000665154859717035,,
