pred_index,base_index,tag,strategy,source,fallback,selector,target_scope,graft_alpha,selected_cells,selected_rows,move_cells,move_rows,move_edge_cells,move_edge_rate,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,structural_all_sets_tail_neutral,structural_all_sets_beat_base,structural_hidden_core_beats_base,structural_world_nonworse,structural_raw_energy_nonworse,structural_strict_gate,structural_loose_gate,e72_adverse_positive_exposure_all,e72_adverse_weighted_positive_mean,e72_adverse_positive_weight_frac,hard_worst_tail_mean,kl_if_mixmin_calibrated,move_l1_vs_e95,active_cells_vs_e95,is_graft,is_strict_like,beat_e95_rate_broad_plausible,beat_e95_rate_broad_q2s3,beat_e95_rate_near_unit_tail,beat_e95_rate_tight_plausible,mean_pred_delta_broad_plausible,mean_pred_delta_broad_q2s3,mean_pred_delta_near_unit_tail,mean_pred_delta_tight_plausible,mean_vs_e95_broad_plausible,mean_vs_e95_broad_q2s3,mean_vs_e95_near_unit_tail,mean_vs_e95_tight_plausible,p95_vs_e95_broad_plausible,p95_vs_e95_broad_q2s3,p95_vs_e95_near_unit_tail,p95_vs_e95_tight_plausible,e101_pass,mean_gain_vs_e101,p95_gain_vs_e101,beat_gap_vs_e101,dominates_e101,beats_mean_p95_loses_beat,e101_ref_mean_vs_e95,e101_ref_p95_vs_e95,e101_ref_beat_rate
5,0,e104_control_a3f7c96f,control,e86,,,,,,,,,,,-2.7705869828476004e-05,-2.7705869828476004e-05,-3.498042661254086e-05,-6.9100032192848104e-06,-6.9100032192848104e-06,-1.3700079533940368e-05,-3.533869208549589e-05,-3.533869208549589e-05,-3.498042661254086e-05,-4.086891418064731e-05,-4.086891418064731e-05,-3.498042661254086e-05,-4.086891418064731e-05,-6.9100032192848104e-06,3,3,5,-0.0003074391775771235,-0.00017278562923006557,-0.00023918120377530716,-0.000290814306410897,-0.00046435628805567564,-0.0003775852972332863,-0.0005349503017766005,6.344131569286608e-17,0.75,1.0,True,0.006064145347338554,0.005556388911177608,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0010102416357210917,0.0033252470618392728,0.40808492206760344,0.00292307752318128,1.333451444160868e-05,0.0005158669242698437,134,False,False,0.00028968713789107763,0.0,0.0004248088360237893,0.00035842293906810036,5.033944904413055e-06,2.487548290270845e-05,1.977582109812559e-06,3.170313020004565e-06,2.0344644904461583e-05,4.018618290275698e-05,1.7288282109861087e-05,1.8481013020053092e-05,4.660642555632791e-05,4.917921991988985e-05,4.518135510693425e-05,4.598739589983163e-05,False,3.65499366550583e-05,4.817050434854915e-05,-0.9831981460023175,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086
6,0,e104_control_28925de5,control,e90,,,,,,,,,,,-2.6932385085221e-05,-2.6932385085221e-05,-3.1945072631711646e-05,-6.1633542025596455e-06,-6.1633542025596455e-06,-1.2825509790648226e-05,-3.453015277210536e-05,-3.453015277210536e-05,-3.1945072631711646e-05,-4.010364828088697e-05,-4.010364828088697e-05,-3.1945072631711646e-05,-4.010364828088697e-05,-6.1633542025596455e-06,3,3,6,-0.000250999367211191,-0.0001371198192592349,-0.0002161681491864298,-0.00014939940246563865,-0.00045027753282264604,-0.00029983846764414235,-0.0004585389359312461,8.326672684688674e-17,0.75,1.0,True,0.005777398679573552,0.00490186612030714,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009340306314570177,0.0029883889789963968,0.37181946833365975,0.00279194413055124,1.2516592119249648e-05,0.00045289608918243953,162,False,False,0.002607184241019699,0.002717391304347826,0.002973661852166525,0.0025089605734767025,-1.9384001653974126e-06,5.843104420419096e-06,-3.625782807051655e-06,-3.0098603560129998e-06,1.3372299834651114e-05,2.1153804420467624e-05,1.1684917192996872e-05,1.2300839644035527e-05,3.124429880987986e-05,3.4259935062827696e-05,2.4938911743229367e-05,2.71915261385158e-05,False,2.9577591585247835e-05,3.2808377602101105e-05,-0.9808806488991889,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086
1,0,e104_control_541e3973,control,e95,,,,,,,,,,,-2.6207391227939247e-05,-2.6207391227939247e-05,-3.206587268245187e-05,-5.237699563953591e-06,-5.237699563953591e-06,-1.1858257184638177e-05,-3.382512599237053e-05,-3.382512599237053e-05,-3.206587268245187e-05,-3.955934812749362e-05,-3.955934812749362e-05,-3.206587268245187e-05,-3.955934812749362e-05,-5.237699563953591e-06,3,3,1,-0.000132931105064088,-5.0461039464821944e-05,-0.0001750389610192249,-6.0655941758358534e-05,-0.00044162306692771547,-0.000251139504343037,-0.0004165212412064805,4.949975109809384e-05,0.7222222222222222,0.9722222222222222,True,0.005548278423068733,0.0043169757420437,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007889140929277208,0.002542592130590844,0.33569169885030703,0.0027017499803879156,1.14525787886106e-05,0.0,0,False,False,0.0,0.0,0.0,0.0,-1.5310700000044092e-05,-1.531070000003636e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,4.435812413452495e-18,1.2164608430713466e-17,-1.3385567390764643e-22,-9.107881153272047e-23,2.710505431213761e-20,1.0121975957053102e-16,1.3552527156068805e-20,1.3552527156068805e-20,False,1.6205291750601158e-05,1.5640787922212697e-06,-0.9834878331402086,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086
1,0,e104_e95_q2s3_tail_graft_541e3973,e95_q2s3_tail_graft,e95,mixmin,active_all,Q2+S3,0.0,50.0,48.0,50.0,48.0,31.0,0.62,-2.6207391227939247e-05,-2.6207391227939247e-05,-3.206587268245187e-05,-5.237699563953591e-06,-5.237699563953591e-06,-1.1858257184638177e-05,-3.382512599237053e-05,-3.382512599237053e-05,-3.206587268245187e-05,-3.955934812749362e-05,-3.955934812749362e-05,-3.206587268245187e-05,-3.955934812749362e-05,-5.237699563953591e-06,3,3,7,-0.000132931105064088,-5.0461039464821944e-05,-0.0001750389610192249,-6.0655941758358534e-05,-0.00044162306692771547,-0.000251139504343037,-0.0004165212412064805,4.949975109809384e-05,0.7222222222222222,0.9722222222222222,True,0.005548278423068733,0.0043169757420437,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007889140929277208,0.002542592130590844,0.33569169885030703,0.0027017499803879156,1.14525787886106e-05,0.0,0,True,True,0.0,0.0,0.0,0.0,-1.5310700000044092e-05,-1.531070000003636e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,4.435812413452495e-18,1.2164608430713466e-17,-1.3385567390764643e-22,-9.107881153272047e-23,2.710505431213761e-20,1.0121975957053102e-16,1.3552527156068805e-20,1.3552527156068805e-20,False,1.6205291750601158e-05,1.5640787922212697e-06,-0.9834878331402086,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086
1,0,e104_e95_q2s3_tail_graft_541e3973,e95_q2s3_tail_graft,e95,mixmin,active_s3_all,S3,0.0,39.0,39.0,39.0,39.0,25.0,0.6410256410256411,-2.6207391227939247e-05,-2.6207391227939247e-05,-3.206587268245187e-05,-5.237699563953591e-06,-5.237699563953591e-06,-1.1858257184638177e-05,-3.382512599237053e-05,-3.382512599237053e-05,-3.206587268245187e-05,-3.955934812749362e-05,-3.955934812749362e-05,-3.206587268245187e-05,-3.955934812749362e-05,-5.237699563953591e-06,3,3,108,-0.000132931105064088,-5.0461039464821944e-05,-0.0001750389610192249,-6.0655941758358534e-05,-0.00044162306692771547,-0.000251139504343037,-0.0004165212412064805,4.949975109809384e-05,0.7222222222222222,0.9722222222222222,True,0.005548278423068733,0.0043169757420437,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007889140929277208,0.002542592130590844,0.33569169885030703,0.0027017499803879156,1.14525787886106e-05,0.0,0,True,True,0.0,0.0,0.0,0.0,-1.5310700000044092e-05,-1.531070000003636e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,4.435812413452495e-18,1.2164608430713466e-17,-1.3385567390764643e-22,-9.107881153272047e-23,2.710505431213761e-20,1.0121975957053102e-16,1.3552527156068805e-20,1.3552527156068805e-20,False,1.6205291750601158e-05,1.5640787922212697e-06,-0.9834878331402086,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086
1,0,e104_e95_q2s3_tail_graft_541e3973,e95_q2s3_tail_graft,e95,mixmin,active_topgap40,Q2+S3,0.0,40.0,40.0,40.0,40.0,25.0,0.625,-2.6207391227939247e-05,-2.6207391227939247e-05,-3.206587268245187e-05,-5.237699563953591e-06,-5.237699563953591e-06,-1.1858257184638177e-05,-3.382512599237053e-05,-3.382512599237053e-05,-3.206587268245187e-05,-3.955934812749362e-05,-3.955934812749362e-05,-3.206587268245187e-05,-3.955934812749362e-05,-5.237699563953591e-06,3,3,209,-0.000132931105064088,-5.0461039464821944e-05,-0.0001750389610192249,-6.0655941758358534e-05,-0.00044162306692771547,-0.000251139504343037,-0.0004165212412064805,4.949975109809384e-05,0.7222222222222222,0.9722222222222222,True,0.005548278423068733,0.0043169757420437,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007889140929277208,0.002542592130590844,0.33569169885030703,0.0027017499803879156,1.14525787886106e-05,0.0,0,True,True,0.0,0.0,0.0,0.0,-1.5310700000044092e-05,-1.531070000003636e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,4.435812413452495e-18,1.2164608430713466e-17,-1.3385567390764643e-22,-9.107881153272047e-23,2.710505431213761e-20,1.0121975957053102e-16,1.3552527156068805e-20,1.3552527156068805e-20,False,1.6205291750601158e-05,1.5640787922212697e-06,-0.9834878331402086,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086
1,0,e104_e95_q2s3_tail_graft_541e3973,e95_q2s3_tail_graft,e95,mixmin,active_edge,Q2+S3,0.0,31.0,29.0,31.0,29.0,31.0,1.0,-2.6207391227939247e-05,-2.6207391227939247e-05,-3.206587268245187e-05,-5.237699563953591e-06,-5.237699563953591e-06,-1.1858257184638177e-05,-3.382512599237053e-05,-3.382512599237053e-05,-3.206587268245187e-05,-3.955934812749362e-05,-3.955934812749362e-05,-3.206587268245187e-05,-3.955934812749362e-05,-5.237699563953591e-06,3,3,310,-0.000132931105064088,-5.0461039464821944e-05,-0.0001750389610192249,-6.0655941758358534e-05,-0.00044162306692771547,-0.000251139504343037,-0.0004165212412064805,4.949975109809384e-05,0.7222222222222222,0.9722222222222222,True,0.005548278423068733,0.0043169757420437,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007889140929277208,0.002542592130590844,0.33569169885030703,0.0027017499803879156,1.14525787886106e-05,0.0,0,True,True,0.0,0.0,0.0,0.0,-1.5310700000044092e-05,-1.531070000003636e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,4.435812413452495e-18,1.2164608430713466e-17,-1.3385567390764643e-22,-9.107881153272047e-23,2.710505431213761e-20,1.0121975957053102e-16,1.3552527156068805e-20,1.3552527156068805e-20,False,1.6205291750601158e-05,1.5640787922212697e-06,-0.9834878331402086,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086
1,0,e104_e95_q2s3_tail_graft_541e3973,e95_q2s3_tail_graft,e95,mixmin,active_interior,Q2+S3,0.0,19.0,19.0,19.0,19.0,0.0,0.0,-2.6207391227939247e-05,-2.6207391227939247e-05,-3.206587268245187e-05,-5.237699563953591e-06,-5.237699563953591e-06,-1.1858257184638177e-05,-3.382512599237053e-05,-3.382512599237053e-05,-3.206587268245187e-05,-3.955934812749362e-05,-3.955934812749362e-05,-3.206587268245187e-05,-3.955934812749362e-05,-5.237699563953591e-06,3,3,411,-0.000132931105064088,-5.0461039464821944e-05,-0.0001750389610192249,-6.0655941758358534e-05,-0.00044162306692771547,-0.000251139504343037,-0.0004165212412064805,4.949975109809384e-05,0.7222222222222222,0.9722222222222222,True,0.005548278423068733,0.0043169757420437,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007889140929277208,0.002542592130590844,0.33569169885030703,0.0027017499803879156,1.14525787886106e-05,0.0,0,True,True,0.0,0.0,0.0,0.0,-1.5310700000044092e-05,-1.531070000003636e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,4.435812413452495e-18,1.2164608430713466e-17,-1.3385567390764643e-22,-9.107881153272047e-23,2.710505431213761e-20,1.0121975957053102e-16,1.3552527156068805e-20,1.3552527156068805e-20,False,1.6205291750601158e-05,1.5640787922212697e-06,-0.9834878331402086,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086
306,0,e104_e95_q2s3_tail_graft_5e336f05,e95_q2s3_tail_graft,e95,mixmin,active_edge,Q2+S3,0.005,31.0,29.0,31.0,29.0,31.0,1.0,-2.620195391900282e-05,-2.620195391900282e-05,-3.2058352758768116e-05,-5.206293131276851e-06,-5.206293131276851e-06,-1.1862677425256152e-05,-3.383118155630971e-05,-3.383118155630971e-05,-3.2058352758768116e-05,-3.956838706931087e-05,-3.956838706931087e-05,-3.2058352758768116e-05,-3.956838706931087e-05,-5.206293131276851e-06,3,3,311,-0.00013283702343541703,-5.0510410532611516e-05,-0.00017480436912331587,-6.054244952802268e-05,-0.00044009441588709064,-0.00025031843270755666,-0.0004147519427884509,4.9145385047545577e-05,0.75,0.9722222222222222,True,0.0055444579961612,0.004303604247867308,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007878631669394418,0.002537795412208544,0.3480563223557736,0.0027006990543996376,1.1427860850498322e-05,3.8204269075949544e-06,31,True,True,0.910196987253766,0.9945652173913043,0.8920985556499575,0.8978494623655914,-1.5476398286603523e-05,-1.5626952090467164e-05,-1.5432144183104218e-05,-1.544768645491168e-05,-1.6569828655499757e-07,-3.162520904186383e-07,-1.2144418305569296e-07,-1.3698645486315427e-07,6.2867211634450135e-09,-7.793133668686771e-08,8.687191415836164e-09,7.72318677234561e-09,False,1.6039593464041724e-05,1.5703655133846876e-06,-0.07329084588644263,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086
406,0,e104_e95_q2s3_tail_graft_d60b6362,e95_q2s3_tail_graft,e95,mixmin,active_interior,Q2+S3,0.005,19.0,19.0,19.0,19.0,0.0,0.0,-2.6201893039146107e-05,-2.6201893039146107e-05,-3.2068362907589076e-05,-5.20917263469034e-06,-5.20917263469034e-06,-1.1825201537085661e-05,-3.382711233046454e-05,-3.382711233046454e-05,-3.2068362907589076e-05,-3.9569394152283444e-05,-3.9569394152283444e-05,-3.2068362907589076e-05,-3.9569394152283444e-05,-5.20917263469034e-06,3,3,412,-0.0001326718639704072,-5.0602210006522874e-05,-0.00017493726596634618,-6.046998247391522e-05,-0.0004410971608421327,-0.00025078357165802395,-0.00041628734494511966,4.9499751098091703e-05,0.75,0.9722222222222222,True,0.005545931741773363,0.004308762357509881,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007880258846258022,0.002537949849116744,0.3480563223557736,0.002700861772085998,1.1432347767962175e-05,2.3466812954368805e-06,19,True,True,0.8760139049826188,0.9891304347826086,0.8530161427357689,0.8630824372759857,-1.5490682416993586e-05,-1.5608113008866097e-05,-1.5437061350166654e-05,-1.5455264960690114e-05,-1.7998241694505814e-07,-2.974130088175707e-07,-1.263613501181285e-07,-1.4456496064158398e-07,8.8925504727936e-09,-4.110328747227471e-08,1.0439265500379845e-08,9.827847466839178e-09,False,1.6025309333651664e-05,1.5729713426940362e-06,-0.10747392815758983,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086
