gate,kind,top_n,mean,max,p90,active_frac_0p5
blockfit24,fit,24,0.41343575189117915,1.0,0.983701847692546,0.48
blockfit64,fit,64,0.394569394596329,1.0,0.9952630138163404,0.384
blockfit128,fit,128,0.30966243147792694,1.0,0.9878616583769507,0.26
blockrawcompat24,rawcompat,24,0.3202243774396578,1.0,1.0,0.24
blockrawcompat64,rawcompat,64,0.32020733119957107,1.0,1.0,0.24
blockrawcompat128,rawcompat,128,0.32015469300766136,1.0,1.0,0.24
blockallsign24,allsign,24,0.23626324094372492,1.0,1.0,0.236
blockallsign64,allsign,64,0.23642559784363879,1.0,1.0,0.236
blockallsign128,allsign,128,0.2365112742131364,1.0,1.0,0.236
blocktarget24_Q3,targetgain,24,0.6018833007039249,1.0,1.0,0.612
blocktarget24_S4,targetgain,24,0.7423999164797533,1.0,1.0,0.868
blockrawcompat24_jepa,block_public_jepa,24,0.06967195942353913,0.47195867309306766,0.23333333333333334,0.0
blockfit24_jepa,block_public_jepa,24,0.09814967687494695,0.7077303431599303,0.24314909765378015,0.026
blocktarget24_jepa,target_public_jepa,24,0.16300965912576837,0.8508936810108658,0.4776780552664459,0.056
blocktarget64_Q3,targetgain,64,0.6413722783071991,1.0,1.0,0.672
blocktarget64_S4,targetgain,64,0.736892089039453,1.0,1.0,0.884
blockrawcompat64_jepa,block_public_jepa,64,0.06966879788216586,0.4720414054767717,0.23333333333333334,0.0
blockfit64_jepa,block_public_jepa,64,0.09572149604221562,0.7077303431599303,0.2419973037376249,0.026
blocktarget64_jepa,target_public_jepa,64,0.16255642469029938,0.7505310469855535,0.46695128057338076,0.03
