feature,coef_null_common,abs_coef
human_signed__diary_routine_calendar_pc4,0.6490906442848227,0.6490906442848227
human_q_minus_s__story_weekend_social_jetlag_subj_z,0.6373670873072282,0.6373670873072282
human_q_minus_s__story_bright_light_late_subj_z,-0.5928043252671803,0.5928043252671803
human_q_minus_s__story_weekend_social_jetlag,0.5886837195880282,0.5886837195880282
human_q_minus_s__diary_jepa_prednorm_dateblock_bedtime_phone,0.5051561259747953,0.5051561259747953
human_signed__diary_jepa_prednorm_dateblock_routine_calendar,-0.4526164059899774,0.4526164059899774
human_q_minus_s__diary_physiology_activity_pc2,-0.45062970837616473,0.45062970837616473
human_q_minus_s__diary_routine_calendar_pc4,-0.41604981381117223,0.41604981381117223
human_active__diary_sensor_measurement_pc2,0.41214169285770597,0.41214169285770597
human_absw__cash_pay25_pre3_cash_stress_active,-0.4078624185425844,0.4078624185425844
human_q_minus_s__story_bright_light_late,-0.40491084122933274,0.40491084122933274
human_q_minus_s__diary_jepa_resid_dateblock_cognitive_money,0.3989289407384457,0.3989289407384457
human_q_minus_s__diary_jepa_prednorm_subject_bedtime_phone,0.37850196547098336,0.37850196547098336
human_absw__story_screen_fragmentation,-0.37819885842572376,0.37819885842572376
human_q_minus_s__cash_pay15_post3_relief_home_subj_z,0.37344205656833873,0.37344205656833873
human_q_minus_s__story_social_isolation_media,-0.37201080923293167,0.37201080923293167
human_q_minus_s__diary_routine_calendar_pc2,0.3718644785283952,0.3718644785283952
human_absw__cash_payeom_pre3_cash_stress_active,0.3682417501806268,0.3682417501806268
human_signed__diary_physiology_activity_pc4,0.36713976980323637,0.36713976980323637
human_signed__diary_routine_calendar_pc3,0.3648023730578454,0.3648023730578454
human_absw__story_night_out_mobility,-0.35440700884783843,0.35440700884783843
human_signed__cash_paymonth_start_pre3_cash_stress_active,-0.33478467786054233,0.33478467786054233
human_signed__diary_diary_state_k10_3,-0.33444828544614996,0.33444828544614996
human_active__cash_monthstart_spending_reset_subj_z,0.3277222520193888,0.3277222520193888
human_absw__diary_mobility_context_pc2,0.3232966864973674,0.3232966864973674
human_active__cash_payeom_post3_spend_outing_subj_z,-0.31983354723660895,0.31983354723660895
human_signed__story_screen_fragmentation_subj_z,-0.3176707665096578,0.3176707665096578
human_active__diary_jepa_prednorm_subject_social_comm,-0.31287746080637513,0.31287746080637513
human_q_minus_s__diary_social_comm_pc1,0.30661579965314245,0.30661579965314245
human_absw__cash_pay25_pre7_budget_squeeze_subj_z,-0.30491234352451574,0.30491234352451574
human_active__story_weekend_social_jetlag,0.3034855955728339,0.3034855955728339
human_absw__story_low_hr_recovery,-0.3012886927945002,0.3012886927945002
human_absw__diary_routine_calendar_pc2,0.3010142554460498,0.3010142554460498
human_q_minus_s__cash_pay20_pre3_cash_stress_subj_z,-0.30081951123209577,0.30081951123209577
human_q_minus_s__diary_diary_state_k8,-0.3001018441743679,0.3001018441743679
human_signed__diary_physiology_activity_pc2,0.29787640440155205,0.29787640440155205
human_signed__cash_paymonth_start_near3_money_rumination_active,-0.29750228623744523,0.29750228623744523
human_active__diary_jepa_prednorm_dateblock_bedtime_phone,-0.2957464571204353,0.2957464571204353
human_q_minus_s__cash_pay15_post7_spend_outing_subj_z,-0.2928295972674118,0.2928295972674118
human_signed__story_screen_fragmentation,-0.290839462637289,0.290839462637289
human_active__diary_diary_state_pc6,-0.2899521303343622,0.2899521303343622
human_q_minus_s__story_sedentary_screen_day_subj_z,0.2865428357687997,0.2865428357687997
human_signed__diary_media_game_pc3,0.2848468180342844,0.2848468180342844
human_absw__diary_diary_state_k8_3,0.2806514265763755,0.2806514265763755
human_active__diary_bedtime_phone_energy,-0.2788714422203002,0.2788714422203002
human_absw__cash_monthstart_spending_reset_subj_z,0.27871774980508174,0.27871774980508174
human_q_minus_s__diary_sensor_measurement_pc4,0.27818188841669644,0.27818188841669644
human_q_minus_s__cash_payeom_post7_spend_outing_active,0.277701396943461,0.277701396943461
human_absw__story_screen_fragmentation_subj_z,-0.27620549490882645,0.27620549490882645
human_q_minus_s__diary_diary_state_k6,-0.27408931812202714,0.27408931812202714
human_q_minus_s__diary_routine_calendar_energy,0.2720666850948064,0.2720666850948064
human_q_minus_s__diary_diary_state_k6_0,0.2698324311952098,0.2698324311952098
human_q_minus_s__diary_bedtime_phone_pc4,-0.2669071736592281,0.2669071736592281
human_signed__cash_pay15_post7_spend_outing_subj_z,-0.2662080934296144,0.2662080934296144
human_q_minus_s__cash_payeom_pre3_cash_stress_active,-0.26362153798916954,0.26362153798916954
human_q_minus_s__diary_social_comm_energy,-0.2617235907938582,0.2617235907938582
human_q_minus_s__diary_sensor_measurement_energy,0.2602565067840238,0.2602565067840238
human_active__story_media_binge_late,0.257492007057526,0.257492007057526
human_absw__story_media_binge_late,0.2572645860004183,0.2572645860004183
human_q_minus_s__story_phone_in_bed,0.2560079035389733,0.2560079035389733
