mask_name,family,complete_scenarios,winner_mode,e95_win_rate,e95_rank_mean,e95_minus_e89_mean,e95_minus_e90_mean,e95_minus_e86_mean,e85_mean_delta,e85_win_count,e86_mean_delta,e86_win_count,noq2_mean_delta,noq2_win_count,e90_mean_delta,e90_win_count,e89_mean_delta,e89_win_count,e95_mean_delta,e95_win_count
all,deterministic,3,e95,0.6666666666666666,1.0,-2.2445980421269228e-06,-5.005322420231821e-06,-9.092392771342628e-06,4.506703217801002e-05,1,5.1104274694588294e-05,0,5.4210975684740186e-05,0,4.7017204343477497e-05,0,4.425647996537259e-05,0,4.201188192324567e-05,2
all,random_weighted,480,e95,0.55,1.6958333333333333,-1.1266911155842147e-06,-7.563629573372876e-06,-1.2769087199116669e-05,3.3707087684598265e-05,130,4.558797101938032e-05,0,4.0719335601318045e-05,1,4.0382513393636537e-05,0,3.394557493584788e-05,85,3.2818883820263655e-05,264
e72_top20_abs,deterministic,3,e89,0.0,3.0,4.165735468871336e-06,-2.4313612080017525e-06,-7.4496024937343185e-06,6.551035943094527e-05,1,7.712569739355084e-05,0,7.868572205976889e-05,0,7.21074561078183e-05,0,6.55103594309452e-05,2,6.967609489981654e-05,0
e72_top50_hard,deterministic,3,e85,0.3333333333333333,2.0,-2.305525554029795e-07,-4.159103503160684e-06,-8.137591438544392e-06,5.1616622553200514e-05,2,6.047177264468158e-05,0,6.219171806026666e-05,0,5.6493284709297875e-05,0,5.256473376154017e-05,0,5.233418120613719e-05,1
e72_top50_hard,random_weighted,480,e95,0.59375,1.6083333333333334,-1.5786769865380817e-06,-8.374342153297673e-06,-1.3406016377160787e-05,3.6552766279756924e-05,140,4.890915832766733e-05,0,4.4112561468406166e-05,2,4.387748410380422e-05,0,3.7081818937044615e-05,53,3.550314195050654e-05,285
e86_moved_vs_mixmin,deterministic,3,e95,0.6666666666666666,1.0,-5.763515445339492e-06,-8.617629001521952e-06,-1.4036575924505949e-05,5.9723793802238104e-05,1,6.911465348975107e-05,0,7.306302013732081e-05,0,6.369570656676707e-05,0,6.084159301058461e-05,0,5.507807756524512e-05,2
e86_moved_vs_mixmin,random_weighted,480,e95,0.6666666666666666,1.4666666666666666,-2.43292407692036e-06,-1.2710655930377007e-05,-2.004514209994028e-05,4.6389982310257e-05,93,6.445235237505173e-05,0,5.613398810773948e-05,1,5.711786620548846e-05,0,4.6840134352031804e-05,66,4.440721027511145e-05,320
e89_moved_vs_mixmin,deterministic,3,e95,0.6666666666666666,1.0,-4.65504501849742e-06,-8.143058689793564e-06,-1.1392477019810015e-05,6.222769329085707e-05,1,6.913213365320339e-05,0,7.578244720776054e-05,0,6.588271532318693e-05,0,6.23947016518908e-05,0,5.773965663339337e-05,2
e90_moved_vs_mixmin,deterministic,3,e95,0.6666666666666666,1.0,-5.979176439543874e-06,-9.790905764242741e-06,-1.295372926074032e-05,6.927425541976363e-05,1,7.786605807833315e-05,0,8.447923535305031e-05,0,7.470323458183557e-05,0,7.08915052571367e-05,0,6.491232881759283e-05,2
e95_fallback_cells,deterministic,3,e85,0.3333333333333333,1.0,-1.1488465338814818e-05,-2.0287858708325584e-05,-2.693452305581605e-05,0.000145298224998103,2,0.000172232748053919,0,0.00017801162310810087,0,0.00016558608370642854,0,0.00015678669033691777,0,0.00014529822499810294,1
e95_fallback_cells,random_weighted,480,e85,0.07291666666666667,1.0,-4.3825370917707084e-06,-1.892716803983275e-05,-3.065745849067162e-05,9.786568196063277e-05,445,0.00012852314045130438,0,0.00011871400310388407,0,0.0001167928500004655,0,0.00010224821905240346,0,9.786568196063274e-05,35
e95_fallback_q2s3,deterministic,3,e85,0.0,1.0,0.0,-1.676199537765888e-05,-3.339220796289548e-05,8.448834725458078e-05,2,0.00011788055521747622,0,0.0001010100115679826,0,0.00010125034263223963,0,8.448834725458074e-05,1,8.448834725458074e-05,0
e95_fallback_s1s2s3,deterministic,3,e85,0.3333333333333333,1.0,-1.1745076101647155e-05,-2.0724951604345358e-05,-2.5463932493366452e-05,0.00015250270988901194,2,0.00017796664238237838,0,0.00018668632919277843,0,0.00017322766149335727,0,0.0001642477859906591,0,0.00015250270988901194,1
e95_moved_vs_mixmin,deterministic,3,e95,0.6666666666666666,1.0,-5.038378802835167e-06,-8.591374133328596e-06,-1.1754197629826219e-05,6.150673840340694e-05,1,6.831052090196974e-05,0,7.492153665058964e-05,0,6.514769740547212e-05,0,6.15947020749787e-05,0,5.655632327214352e-05,2
e95_moved_vs_mixmin,random_weighted,480,e95,0.7291666666666666,1.4083333333333334,-3.089130489926848e-06,-8.320533082577187e-06,-1.0412030353421709e-05,6.045206746492588e-05,74,6.855142330879323e-05,0,7.318043406953134e-05,0,6.64599260379487e-05,0,6.122852344529835e-05,56,5.8139392955371516e-05,350
e95_nonfallback_cells,deterministic,3,e86,0.0,2.3333333333333335,-2.0511674288052594e-06,-3.138527332779948e-07,-9.938519914450457e-20,-3.06825209296719e-05,0,-3.740657987391723e-05,1,-3.736833534959124e-05,1,-3.709272714063934e-05,0,-3.5355412445112076e-05,1,-3.740657987391733e-05,0
live_q2s1s2s3,deterministic,3,e95,0.6666666666666666,1.0,-5.763515445339492e-06,-8.617629001521952e-06,-1.4036575924505949e-05,5.9723793802238104e-05,1,6.911465348975107e-05,0,7.306302013732081e-05,0,6.369570656676707e-05,0,6.084159301058461e-05,0,5.507807756524512e-05,2
live_q2s1s2s3,random_weighted,480,e95,0.66875,1.5083333333333333,-2.4683848478284954e-06,-1.2098001055171407e-05,-1.9892958865888222e-05,4.8993708557108206e-05,108,6.706637171578724e-05,0,5.928686536122054e-05,1,5.927141390507044e-05,0,4.9641797697727515e-05,50,4.717341284989902e-05,321
q2,deterministic,3,e85,0.0,3.0,1.0015700012823416e-05,-2.2599007696334704e-05,-4.943793170208334e-05,-8.458842092382145e-20,3,5.945363171490668e-05,0,-8.458842092382145e-20,0,3.261470770915804e-05,0,-8.458842092382145e-20,0,1.0015700012823333e-05,0
q2s3,deterministic,3,e85,0.0,2.6666666666666665,1.0432796975756907e-05,-1.0136424267122166e-05,-2.2876710375718704e-05,8.484519631438717e-05,2,0.00011815470366586275,0,0.00010146029609426064,0,0.00010541441755726619,0,8.484519631438713e-05,1,9.527799329014405e-05,0
q2s3,random_weighted,480,e85,0.0,2.6041666666666665,3.831788123697292e-06,-1.4905199895534047e-05,-2.8782977255577276e-05,8.68957260806119e-05,407,0.00011951049145988643,0,0.00010385308869073391,0,0.00010563271409984322,0,8.689572608061187e-05,73,9.072751420430918e-05,0
s1,deterministic,3,e85,0.3333333333333333,1.6666666666666667,-5.141970644980716e-06,-9.356276261782664e-06,-1.1597070394395368e-05,4.596129015647395e-05,2,5.8953465590513906e-05,0,5.894419747516906e-05,0,5.671267145790119e-05,0,5.249836584109925e-05,0,4.735639519611853e-05,1
s1s2s3,deterministic,3,e95,0.6666666666666666,1.0,-4.65504501849742e-06,-8.143058689793564e-06,-1.1392477019810015e-05,6.222769329085707e-05,1,6.913213365320339e-05,0,7.578244720776054e-05,0,6.588271532318693e-05,0,6.23947016518908e-05,0,5.773965663339337e-05,2
s1s2s3,random_weighted,480,e95,0.9541666666666667,1.0520833333333333,-5.3887142591097025e-06,-8.630506212226901e-06,-1.0576006316979312e-05,6.0522934503447926e-05,15,6.654364115938673e-05,0,7.332390051216293e-05,0,6.459814105463432e-05,0,6.135634910151712e-05,7,5.596763484240742e-05,458
s2,deterministic,3,e95,1.0,1.0,-1.243362547982338e-05,-9.360559259073971e-06,-9.39416539923946e-06,-4.0443211643646136e-05,0,-4.8805080144382956e-05,0,-4.882538389854949e-05,0,-4.8838686284548446e-05,0,-4.5765620063799046e-05,0,-5.8199245543622425e-05,3
s3,deterministic,3,e89,0.0,2.3333333333333335,5.980599028072256e-07,-7.437609022103395e-06,-1.1891528399913553e-05,0.00015241160638962883,1,0.00016490119469234955,0,0.0001822717727577841,0,0.00016044727531453937,0,0.00015241160638962872,2,0.00015300966629243598,0
